"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.172681063308167,0,0
"RCP2.6_SFM","noAFM",0.173307743325457,0,0
"REF_MFM","noAFM",0.107245948461728,0,0
"REF_SFM","noAFM",0.108137028877049,0,0
"RCP2.6_MFM","AFMfree",0.136540501669954,0,0
"RCP2.6_SFM","AFMfree",0.134336053436641,0,0
"REF_MFM","AFMfree",0.0736992122514677,0,0
"REF_SFM","AFMfree",0.0745928520009053,0,0
"RCP2.6_MFM","AFM25",0.14168885874102,0,0
"RCP2.6_SFM","AFM25",0.156934198148281,0,0
"REF_MFM","AFM25",0.0762118424246368,0,0
"REF_SFM","AFM25",0.0859698294122341,0,0
"RCP2.6_MFM","AFM50",0.149279761461322,0,0
"RCP2.6_SFM","AFM50",0.205868849939938,0,0
"REF_MFM","AFM50",0.0800725653801442,0,0
"REF_SFM","AFM50",0.127155081809441,0,0
"RCP2.6_MFM","AFM75",0.167015634268325,0,0
"RCP2.6_SFM","AFM75",0.231191894400531,0,0
"REF_MFM","AFM75",0.0913189417190087,0,0
"REF_SFM","AFM75",0.163793575207153,0,0
"RCP2.6_MFM","AFM100",0.183503948099402,0,0
"RCP2.6_SFM","AFM100",0.274680938698955,0,0
"REF_MFM","AFM100",0.106934126132024,0,0
"REF_SFM","AFM100",0.212159484650808,0,0
