"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0.0296808672023745
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0.000833837652091551
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.00599831272065476
"RCP2.6_SFM","noAFM","Clear_cut",0.0296842116575216
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0.000832002629448428
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.00599516605990235
"REF_MFM","noAFM","Clear_cut",0.0210803826697735
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0.00536959852839243
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.0048054118093557
"REF_SFM","noAFM","Clear_cut",0.0210863485041142
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0.00536746615759386
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.00481024689149366
"RCP2.6_MFM","AFMfree","Clear_cut",0.0248045740655438
"RCP2.6_MFM","AFMfree","Retention",0.00227112834312099
"RCP2.6_MFM","AFMfree","Selection",0.00121763613429171
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0.00609715750849617
"RCP2.6_SFM","AFMfree","Clear_cut",0.0249324739053563
"RCP2.6_SFM","AFMfree","Retention",0.00226703042044641
"RCP2.6_SFM","AFMfree","Selection",0.000942992678429682
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0.00610991754807131
"REF_MFM","AFMfree","Clear_cut",0.0182416468495986
"REF_MFM","AFMfree","Retention",0.00152099463803117
"REF_MFM","AFMfree","Selection",0.00537994636190046
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0.00487799821855697
"REF_SFM","AFMfree","Clear_cut",0.0188068686436623
"REF_SFM","AFMfree","Retention",0.0015775389762643
"REF_SFM","AFMfree","Selection",0.00396686045286335
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0.00490299666752935
"RCP2.6_MFM","AFM25","Clear_cut",0.023614951841046
"RCP2.6_MFM","AFM25","Retention",0.00181002105682776
"RCP2.6_MFM","AFM25","Selection",0.00227968683068661
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0.00607848441305293
"RCP2.6_SFM","AFM25","Clear_cut",0.0238416673363013
"RCP2.6_SFM","AFM25","Retention",0.00189096354027087
"RCP2.6_SFM","AFM25","Selection",0.000644370405843659
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0.00605540389281396
"REF_MFM","AFM25","Clear_cut",0.0187876451949467
"REF_MFM","AFM25","Retention",0.0012950249903731
"REF_MFM","AFM25","Selection",0.00552738799742545
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0.00485550102906289
"REF_SFM","AFM25","Clear_cut",0.0197908077262106
"REF_SFM","AFM25","Retention",0.00142496507251657
"REF_SFM","AFM25","Selection",0.00305523693923213
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0.00486781221792432
"RCP2.6_MFM","AFM50","Clear_cut",0.0222619680282502
"RCP2.6_MFM","AFM50","Retention",0.00131258269076273
"RCP2.6_MFM","AFM50","Selection",0.0034776353719423
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0.00601275580620043
"RCP2.6_SFM","AFM50","Clear_cut",0.0227936463671458
"RCP2.6_SFM","AFM50","Retention",0.00132159653624111
"RCP2.6_SFM","AFM50","Selection",0.000545647464056091
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",0.00600907928401407
"REF_MFM","AFM50","Clear_cut",0.0182292063041387
"REF_MFM","AFM50","Retention",0.00100828811928252
"REF_MFM","AFM50","Selection",0.00610500695848647
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",0.00484776484452001
"REF_SFM","AFM50","Clear_cut",0.0188328853109813
"REF_SFM","AFM50","Retention",0.00104171757730165
"REF_SFM","AFM50","Selection",0.00284079070789605
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",0.004817361833402
"RCP2.6_MFM","AFM75","Clear_cut",0.0209667070081705
"RCP2.6_MFM","AFM75","Retention",0.000699499061307446
"RCP2.6_MFM","AFM75","Selection",0.00463785338683578
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",0.00598563877991681
"RCP2.6_SFM","AFM75","Clear_cut",0.0218672873572839
"RCP2.6_SFM","AFM75","Retention",0.000687091855310591
"RCP2.6_SFM","AFM75","Selection",0.00040487634801105
"RCP2.6_SFM","AFM75","Timber",0
"RCP2.6_SFM","AFM75","Other_management",0.00589238123196286
"REF_MFM","AFM75","Clear_cut",0.0168793592210262
"REF_MFM","AFM75","Retention",0.000555483626009118
"REF_MFM","AFM75","Selection",0.00705495327050493
"REF_MFM","AFM75","Timber",0
"REF_MFM","AFM75","Other_management",0.00480142332656317
"REF_SFM","AFM75","Clear_cut",0.0169597814846856
"REF_SFM","AFM75","Retention",0.000669888411615841
"REF_SFM","AFM75","Selection",0.00288224262860388
"REF_SFM","AFM75","Timber",0
"REF_SFM","AFM75","Other_management",0.00477745979651629
"RCP2.6_MFM","AFM100","Clear_cut",0.0193624561591448
"RCP2.6_MFM","AFM100","Retention",0
"RCP2.6_MFM","AFM100","Selection",0.00589741908039525
"RCP2.6_MFM","AFM100","Timber",0
"RCP2.6_MFM","AFM100","Other_management",0.00596587325208483
"RCP2.6_SFM","AFM100","Clear_cut",0.0212753769267066
"RCP2.6_SFM","AFM100","Retention",0
"RCP2.6_SFM","AFM100","Selection",0.000170337247704665
"RCP2.6_SFM","AFM100","Timber",0
"RCP2.6_SFM","AFM100","Other_management",0.00581019995249219
"REF_MFM","AFM100","Clear_cut",0.0155043797954023
"REF_MFM","AFM100","Retention",0
"REF_MFM","AFM100","Selection",0.00805922727721125
"REF_MFM","AFM100","Timber",0
"REF_MFM","AFM100","Other_management",0.00478385183163283
"REF_SFM","AFM100","Clear_cut",0.0168739107143432
"REF_SFM","AFM100","Retention",0
"REF_SFM","AFM100","Selection",0.0021804524242113
"REF_SFM","AFM100","Timber",0
"REF_SFM","AFM100","Other_management",0.0047016017117373
