"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0365130175751208,0,0
"RCP2.6_SFM","noAFM",0.0365113803468724,0,0
"REF_MFM","noAFM",0.0312553930075217,0,0
"REF_SFM","noAFM",0.0312640615532017,0,0
"RCP2.6_MFM","AFMfree",0.0343904960514526,0,0
"RCP2.6_SFM","AFMfree",0.0342524145523037,0,0
"REF_MFM","AFMfree",0.0300205860680872,0,0
"REF_SFM","AFMfree",0.0292542647403193,0,0
"RCP2.6_MFM","AFM25",0.0337831441416133,0,0
"RCP2.6_SFM","AFM25",0.0324324051752298,0,0
"REF_MFM","AFM25",0.0304655592118081,0,0
"REF_SFM","AFM25",0.0291388219558836,0,0
"RCP2.6_MFM","AFM50",0.0330649418971557,0,0
"RCP2.6_SFM","AFM50",0.0306699696514571,0,0
"REF_MFM","AFM50",0.0301902662264277,0,0
"REF_SFM","AFM50",0.027532755429581,0,0
"RCP2.6_MFM","AFM75",0.0322896982362306,0,0
"RCP2.6_SFM","AFM75",0.0288516367925684,0,0
"REF_MFM","AFM75",0.0292912194441034,0,0
"REF_SFM","AFM75",0.0252893723214216,0,0
"RCP2.6_MFM","AFM100",0.0312257484916249,0,0
"RCP2.6_SFM","AFM100",0.0272559141269035,0,0
"REF_MFM","AFM100",0.0283474589042464,0,0
"REF_SFM","AFM100",0.0237559648502918,0,0
