"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0308534744065511,0,0,"noAFM","2020"
"RCP2.6_SFM",0.0308534758314947,0,0,"noAFM","2020"
"REF_MFM",0.0308507089377063,0,0,"noAFM","2020"
"REF_SFM",0.0308505734096322,0,0,"noAFM","2020"
"RCP2.6_MFM",0.0309057303154346,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.0308924115611087,0,0,"AFMfree","2020"
"REF_MFM",0.0308762895506868,0,0,"AFMfree","2020"
"REF_SFM",0.0308693590006053,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.0309063940176514,0,0,"AFM25","2020"
"RCP2.6_SFM",0.0308980050002229,0,0,"AFM25","2020"
"REF_MFM",0.0308505936889153,0,0,"AFM25","2020"
"REF_SFM",0.0308842017068619,0,0,"AFM25","2020"
"RCP2.6_MFM",0.0308542458421881,0,0,"AFM50","2020"
"RCP2.6_SFM",0.0308999242058163,0,0,"AFM50","2020"
"REF_MFM",0.0308984384014632,0,0,"AFM50","2020"
"REF_SFM",0.0308838570538702,0,0,"AFM50","2020"
"RCP2.6_MFM",0.0308544644309736,0,0,"AFM75","2020"
"RCP2.6_SFM",0.0309153998303835,0,0,"AFM75","2020"
"REF_MFM",0.030899823712561,0,0,"AFM75","2020"
"REF_SFM",0.0309488949326369,0,0,"AFM75","2020"
"RCP2.6_MFM",0.0308542541621571,0,0,"AFM100","2020"
"RCP2.6_SFM",0.0309148371367751,0,0,"AFM100","2020"
"REF_MFM",0.030875838958231,0,0,"AFM100","2020"
"REF_SFM",0.0309122578707891,0,0,"AFM100","2020"
"RCP2.6_MFM",0.0313949650404707,0,0,"noAFM","2030"
"RCP2.6_SFM",0.0313950074140714,0,0,"noAFM","2030"
"REF_MFM",0.0308665652987638,0,0,"noAFM","2030"
"REF_SFM",0.0308662019563686,0,0,"noAFM","2030"
"RCP2.6_MFM",0.0311747739997997,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.0309116262723541,0,0,"AFMfree","2030"
"REF_MFM",0.0306141336286912,0,0,"AFMfree","2030"
"REF_SFM",0.0303396805029961,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.0311435484602072,0,0,"AFM25","2030"
"RCP2.6_SFM",0.0308834964562761,0,0,"AFM25","2030"
"REF_MFM",0.0305511344038165,0,0,"AFM25","2030"
"REF_SFM",0.0302947210715507,0,0,"AFM25","2030"
"RCP2.6_MFM",0.0310165268142688,0,0,"AFM50","2030"
"RCP2.6_SFM",0.0308086368736523,0,0,"AFM50","2030"
"REF_MFM",0.0305400515938887,0,0,"AFM50","2030"
"REF_SFM",0.0301974010200401,0,0,"AFM50","2030"
"RCP2.6_MFM",0.0309863885169691,0,0,"AFM75","2030"
"RCP2.6_SFM",0.0307641697225299,0,0,"AFM75","2030"
"REF_MFM",0.0304949075262005,0,0,"AFM75","2030"
"REF_SFM",0.0301092781687506,0,0,"AFM75","2030"
"RCP2.6_MFM",0.0309521013008372,0,0,"AFM100","2030"
