"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",0.0365130175751208
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.0168994918007536
"RCP2.6_MFM","noAFM","Annual_crops",0.00717067501800988
"RCP2.6_MFM","noAFM","Pasture",0.0283310075719861
"RCP2.6_MFM","noAFM","Permanent_crops",0.0361281774876661
"RCP2.6_MFM","noAFM","Urban",0.0179945589558613
"RCP2.6_SFM","noAFM","Afforestation",0
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",0.0365113803468724
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.01690001236497
"RCP2.6_SFM","noAFM","Annual_crops",0.00717073360132038
"RCP2.6_SFM","noAFM","Pasture",0.0283306730617944
"RCP2.6_SFM","noAFM","Permanent_crops",0.0361281774876661
"RCP2.6_SFM","noAFM","Urban",0.0179945589558613
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",0.0312553930075217
"REF_MFM","noAFM","Energy_crops_and_plantations",0.00426633772411322
"REF_MFM","noAFM","Annual_crops",0.0425379064167353
"REF_MFM","noAFM","Pasture",0.0313929551204275
"REF_MFM","noAFM","Permanent_crops",0.0361261439264522
"REF_MFM","noAFM","Urban",0.0179945589558613
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",0.0312640615532017
"REF_SFM","noAFM","Energy_crops_and_plantations",0.0042736055684828
"REF_SFM","noAFM","Annual_crops",0.0425243549422014
"REF_SFM","noAFM","Pasture",0.0313941017944571
"REF_SFM","noAFM","Permanent_crops",0.0361261439264522
"REF_SFM","noAFM","Urban",0.0179945589558613
"RCP2.6_MFM","AFMfree","Afforestation",0
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",0.0343904960514526
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.0166633949450384
"RCP2.6_MFM","AFMfree","Annual_crops",0.00730940548879928
"RCP2.6_MFM","AFMfree","Pasture",0.0283988677476755
"RCP2.6_MFM","AFMfree","Permanent_crops",0.0361281774876661
"RCP2.6_MFM","AFMfree","Urban",0.0179945589558613
"RCP2.6_SFM","AFMfree","Afforestation",0
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",0.0342524145523037
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.0166516068332337
"RCP2.6_SFM","AFMfree","Annual_crops",0.00728178778362976
"RCP2.6_SFM","AFMfree","Pasture",0.0283960119699565
"RCP2.6_SFM","AFMfree","Permanent_crops",0.0361281774876661
"RCP2.6_SFM","AFMfree","Urban",0.0179945589558613
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",0.0300205860680872
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.00413672887780951
"REF_MFM","AFMfree","Annual_crops",0.0425951226836356
"REF_MFM","AFMfree","Pasture",0.0314344469025821
"REF_MFM","AFMfree","Permanent_crops",0.0361261439264522
