"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.143036928409398,0,0
"RCP2.6_SFM","noAFM",0.143035535818485,0,0
"REF_MFM","noAFM",0.163573295151111,0,0
"REF_SFM","noAFM",0.163576826740656,0,0
"RCP2.6_MFM","AFMfree",0.140884900676493,0,0
"RCP2.6_SFM","AFMfree",0.140704557582651,0,0
"REF_MFM","AFMfree",0.162307587414428,0,0
"REF_SFM","AFMfree",0.16155237267115,0,0
"RCP2.6_MFM","AFM25",0.140295657568117,0,0
"RCP2.6_SFM","AFM25",0.139004546489672,0,0
"REF_MFM","AFM25",0.16276770106587,0,0
"REF_SFM","AFM25",0.161411739517502,0,0
"RCP2.6_MFM","AFM50",0.139676861791727,0,0
"RCP2.6_SFM","AFM50",0.137418563568948,0,0
"REF_MFM","AFM50",0.162485795635822,0,0
"REF_SFM","AFM50",0.159850623886692,0,0
"RCP2.6_MFM","AFM75",0.138959733009556,0,0
"RCP2.6_SFM","AFM75",0.135682180614703,0,0
"REF_MFM","AFM75",0.161594229941279,0,0
"REF_SFM","AFM75",0.157572515901101,0,0
"RCP2.6_MFM","AFM100",0.137955514358538,0,0
"RCP2.6_SFM","AFM100",0.134204526536231,0,0
"REF_MFM","AFM100",0.160643703689296,0,0
"REF_SFM","AFM100",0.15600042440594,0,0
