"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",11.3271074009187,0,0
"RCP2.6_SFM","noAFM",11.3278855505783,0,0
"REF_MFM","noAFM",12.5184285230867,0,0
"REF_SFM","noAFM",12.5185178310509,0,0
"RCP2.6_MFM","AFMfree",11.3177037294471,0,0
"RCP2.6_SFM","AFMfree",11.3181901276637,0,0
"REF_MFM","AFMfree",12.5074697429226,0,0
"REF_SFM","AFMfree",12.5070993627271,0,0
"RCP2.6_MFM","AFM25",11.3182814034089,0,0
"RCP2.6_SFM","AFM25",11.3171052467518,0,0
"REF_MFM","AFM25",12.5076803073782,0,0
"REF_SFM","AFM25",12.5093842364389,0,0
"RCP2.6_MFM","AFM50",11.3181368959977,0,0
"RCP2.6_SFM","AFM50",11.3263269908775,0,0
"REF_MFM","AFM50",12.5079523687059,0,0
"REF_SFM","AFM50",12.5196005293181,0,0
"RCP2.6_MFM","AFM75",11.3188839293789,0,0
"RCP2.6_SFM","AFM75",11.3308246376757,0,0
"REF_MFM","AFM75",12.5110246785833,0,0
"REF_SFM","AFM75",12.5207366964564,0,0
"RCP2.6_MFM","AFM100",11.323101355887,0,0
"RCP2.6_SFM","AFM100",11.3432885084552,0,0
"REF_MFM","AFM100",12.5135057793908,0,0
"REF_SFM","AFM100",12.530784455826,0,0
