"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0.0357737392919877
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.0122685247393898
"RCP2.6_MFM","noAFM","EP_EU",0.0183774201430536
"RCP2.6_SFM","noAFM","Clear_cut",0.0357805076365854
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.0122609979086376
"RCP2.6_SFM","noAFM","EP_EU",0.0183777259713025
"REF_MFM","noAFM","Clear_cut",0.0216525852268197
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.00841166167180418
"REF_MFM","noAFM","EP_EU",0.00408379630373966
"REF_SFM","noAFM","Clear_cut",0.0216599957665364
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.00841917366467296
"REF_SFM","noAFM","EP_EU",0.00408602198733206
"RCP2.6_MFM","AFMfree","Clear_cut",0.0261786342152172
"RCP2.6_MFM","AFMfree","Retention",0.0080982619323515
"RCP2.6_MFM","AFMfree","Selection",0
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0.0125152321428636
"RCP2.6_MFM","AFMfree","EP_EU",0.018120831879777
"RCP2.6_SFM","AFMfree","Clear_cut",0.0263548778914804
"RCP2.6_SFM","AFMfree","Retention",0.00807875237805521
"RCP2.6_SFM","AFMfree","Selection",0
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0.0125148351116567
"RCP2.6_SFM","AFMfree","EP_EU",0.0181140357535896
"REF_MFM","AFMfree","Clear_cut",0.0161512673259823
"REF_MFM","AFMfree","Retention",0.00541270147709696
"REF_MFM","AFMfree","Selection",0
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0.0085332606574658
"REF_MFM","AFMfree","EP_EU",0.00391798331878216
"REF_SFM","AFMfree","Clear_cut",0.017422677251391
"REF_SFM","AFMfree","Retention",0.00552074312604512
"REF_SFM","AFMfree","Selection",0
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0.00858280283939721
"REF_SFM","AFMfree","EP_EU",0.00392347879104243
"RCP2.6_MFM","AFM25","Clear_cut",0.0242642660735315
"RCP2.6_MFM","AFM25","Retention",0.0064842865729322
"RCP2.6_MFM","AFM25","Selection",0
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0.012487734021407
"RCP2.6_MFM","AFM25","EP_EU",0.0183185952971455
"RCP2.6_SFM","AFM25","Clear_cut",0.0244071584193208
"RCP2.6_SFM","AFM25","Retention",0.00679293091700139
"RCP2.6_SFM","AFM25","Selection",0
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0.0124134570550927
"RCP2.6_SFM","AFM25","EP_EU",0.0185764268187038
"REF_MFM","AFM25","Clear_cut",0.0169725350506433
"REF_MFM","AFM25","Retention",0.00452065534522568
"REF_MFM","AFM25","Selection",0
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0.0084938653536329
"REF_MFM","AFM25","EP_EU",0.00395102736212577
"REF_SFM","AFM25","Clear_cut",0.0186792480341263
"REF_SFM","AFM25","Retention",0.00500245629414773
"REF_SFM","AFM25","Selection",0
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0.00852509268246834
"REF_SFM","AFM25","EP_EU",0.00397966215995034
"RCP2.6_MFM","AFM50","Clear_cut",0.0220247404408771
"RCP2.6_MFM","AFM50","Retention",0.00472818676080626
"RCP2.6_MFM","AFM50","Selection",0
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0.0122933344275512
"RCP2.6_MFM","AFM50","EP_EU",0.0185010610419839
"RCP2.6_SFM","AFM50","Clear_cut",0.0222041143845362
"RCP2.6_SFM","AFM50","Retention",0.00477750555199694
"RCP2.6_SFM","AFM50","Selection",0
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",0.0123327950440338
"RCP2.6_SFM","AFM50","EP_EU",0.018939768071904
"REF_MFM","AFM50","Clear_cut",0.0160273401422449
"REF_MFM","AFM50","Retention",0.00353272867412863
"REF_MFM","AFM50","Selection",0
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",0.00848601087582772
"REF_MFM","AFM50","EP_EU",0.00398606391388754
"REF_SFM","AFM50","Clear_cut",0.0167351743820349
"REF_SFM","AFM50","Retention",0.00368268467685684
"REF_SFM","AFM50","Selection",0
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",0.0084430114808113
"REF_SFM","AFM50","EP_EU",0.00429139209304648
"RCP2.6_MFM","AFM75","Clear_cut",0.0200609704859953
"RCP2.6_MFM","AFM75","Retention",0.00253446154296767
"RCP2.6_MFM","AFM75","Selection",0
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",0.0122407881508283
"RCP2.6_MFM","AFM75","EP_EU",0.0187333914183447
"RCP2.6_SFM","AFM75","Clear_cut",0.019961068178255
"RCP2.6_SFM","AFM75","Retention",0.00247484083123651
"RCP2.6_SFM","AFM75","Selection",0
"RCP2.6_SFM","AFM75","Timber",0
"RCP2.6_SFM","AFM75","Other_management",0.0121048227706814
