"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0664196841744312,0,0
"RCP2.6_SFM","noAFM",0.0664192315165255,0,0
"REF_MFM","noAFM",0.0341480432023635,0,0
"REF_SFM","noAFM",0.0341651914185414,0,0
"RCP2.6_MFM","AFMfree",0.0649129601702093,0,0
"RCP2.6_SFM","AFMfree",0.0650625011347819,0,0
"REF_MFM","AFMfree",0.0340152127793272,0,0
"REF_SFM","AFMfree",0.0354497020078757,0,0
"RCP2.6_MFM","AFM25",0.0615548819650162,0,0
"RCP2.6_SFM","AFM25",0.0621899732101187,0,0
"REF_MFM","AFM25",0.0339380831116277,0,0
"REF_SFM","AFM25",0.0361864591706927,0,0
"RCP2.6_MFM","AFM50",0.0575473226712184,0,0
"RCP2.6_SFM","AFM50",0.0582541830524709,0,0
"REF_MFM","AFM50",0.0320321436060888,0,0
"REF_SFM","AFM50",0.0331522626327495,0,0
"RCP2.6_MFM","AFM75",0.053569611598136,0,0
"RCP2.6_SFM","AFM75",0.053771989216936,0,0
"REF_MFM","AFM75",0.0285997007342323,0,0
"REF_SFM","AFM75",0.0284532657741231,0,0
"RCP2.6_MFM","AFM100",0.048688323959192,0,0
"RCP2.6_SFM","AFM100",0.0493889461227705,0,0
"REF_MFM","AFM100",0.0249206553948532,0,0
"REF_SFM","AFM100",0.0242267467846911,0,0
