"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",1.51741168796208
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.601964298901359
"RCP2.6_MFM","noAFM","Annual_crops",1.78137716501936
"RCP2.6_MFM","noAFM","Pasture",4.63572123788728
"RCP2.6_MFM","noAFM","Permanent_crops",1.17600066329972
"RCP2.6_MFM","noAFM","Urban",0.535327677526153
"RCP2.6_SFM","noAFM","Afforestation",0
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",1.51861988363926
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.601787239099663
"RCP2.6_SFM","noAFM","Annual_crops",1.78140239042969
"RCP2.6_SFM","noAFM","Pasture",4.63579540714052
"RCP2.6_SFM","noAFM","Permanent_crops",1.17600066329972
"RCP2.6_SFM","noAFM","Urban",0.535327677526153
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",1.46893389813568
"REF_MFM","noAFM","Energy_crops_and_plantations",0.128680478447416
"REF_MFM","noAFM","Annual_crops",2.12179574946591
"REF_MFM","noAFM","Pasture",5.90149989358866
"REF_MFM","noAFM","Permanent_crops",1.17599792279085
"REF_MFM","noAFM","Urban",0.535327677526153
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",1.46907086686714
"REF_SFM","noAFM","Energy_crops_and_plantations",0.128594772381158
"REF_SFM","noAFM","Annual_crops",2.12185003303909
"REF_SFM","noAFM","Pasture",5.90150417899559
"REF_SFM","noAFM","Permanent_crops",1.17599792279085
"REF_SFM","noAFM","Urban",0.535327677526153
"RCP2.6_MFM","AFMfree","Afforestation",0
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",1.50385266105909
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.601507532960222
"RCP2.6_MFM","AFMfree","Annual_crops",1.78170142073326
"RCP2.6_MFM","AFMfree","Pasture",4.63579532874726
"RCP2.6_MFM","AFMfree","Permanent_crops",1.17600066329972
"RCP2.6_MFM","AFMfree","Urban",0.535327677526153
"RCP2.6_SFM","AFMfree","Afforestation",0
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",1.50546322160457
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.601105828146518
"RCP2.6_SFM","AFMfree","Annual_crops",1.781773989044
"RCP2.6_SFM","AFMfree","Pasture",4.63594424721185
"RCP2.6_SFM","AFMfree","Permanent_crops",1.17600066329972
"RCP2.6_SFM","AFMfree","Urban",0.535327677526153
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",1.45319753643101
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.128656539243897
"REF_MFM","AFMfree","Annual_crops",2.1217847698475
"REF_MFM","AFMfree","Pasture",5.90151285013338
"REF_MFM","AFMfree","Permanent_crops",1.17599792279085
"REF_MFM","AFMfree","Urban",0.535327677526153
"REF_SFM","AFMfree","Afforestation",0
