"Group","Scenario","Year","Category","PDFx100"
"RCP2.6","noAFM","2020","Afforestation",0
"RCP2.6","noAFM","2020","Regrowth",0
"RCP2.6","noAFM","2020","Forest",1.24816256653957
"RCP2.6","noAFM","2020","Energy_crops_and_plantations",0.0425596522277681
"RCP2.6","noAFM","2020","Annual_crops",1.83508844091774
"RCP2.6","noAFM","2020","Pasture",5.39676900811419
"RCP2.6","noAFM","2020","Permanent_crops",1.17600811229744
"RCP2.6","noAFM","2020","Urban",0.535327677526153
"REF","noAFM","2020","Afforestation",0
"REF","noAFM","2020","Regrowth",0
"REF","noAFM","2020","Forest",1.24790425445371
"REF","noAFM","2020","Energy_crops_and_plantations",0.0425707689814123
"REF","noAFM","2020","Annual_crops",1.83509149527605
"REF","noAFM","2020","Pasture",5.39686151454352
"REF","noAFM","2020","Permanent_crops",1.17599161998383
"REF","noAFM","2020","Urban",0.535327677526153
"RCP2.6","noAFM","2030","Afforestation",0
"RCP2.6","noAFM","2030","Regrowth",0
"RCP2.6","noAFM","2030","Forest",1.34110931824979
"RCP2.6","noAFM","2030","Energy_crops_and_plantations",0.305701326648669
"RCP2.6","noAFM","2030","Annual_crops",1.78863260365203
"RCP2.6","noAFM","2030","Pasture",5.02107781523758
"RCP2.6","noAFM","2030","Permanent_crops",1.17600578404774
"RCP2.6","noAFM","2030","Urban",0.535327677526153
"REF","noAFM","2030","Afforestation",0
"REF","noAFM","2030","Regrowth",0
"REF","noAFM","2030","Forest",1.33503920676334
"REF","noAFM","2030","Energy_crops_and_plantations",0.125878523269321
"REF","noAFM","2030","Annual_crops",1.92793436555589
"REF","noAFM","2030","Pasture",5.60822026483095
"REF","noAFM","2030","Permanent_crops",1.1759986404847
"REF","noAFM","2030","Urban",0.535327677526153
"RCP2.6","noAFM","2040","Afforestation",0
"RCP2.6","noAFM","2040","Regrowth",0
"RCP2.6","noAFM","2040","Forest",1.42818815033685
"RCP2.6","noAFM","2040","Energy_crops_and_plantations",0.371458029632662
"RCP2.6","noAFM","2040","Annual_crops",1.82003107404103
"RCP2.6","noAFM","2040","Pasture",4.87695292738605
"RCP2.6","noAFM","2040","Permanent_crops",1.17600255827393
"RCP2.6","noAFM","2040","Urban",0.535327677526153
"REF","noAFM","2040","Afforestation",0
"REF","noAFM","2040","Regrowth",0
"REF","noAFM","2040","Forest",1.41379669522582
"REF","noAFM","2040","Energy_crops_and_plantations",0.125971871306015
"REF","noAFM","2040","Annual_crops",2.03157122915455
"REF","noAFM","2040","Pasture",5.78993422466016
"REF","noAFM","2040","Permanent_crops",1.17599870685808
"REF","noAFM","2040","Urban",0.535327677526153
"RCP2.6","noAFM","2050","Afforestation",0
"RCP2.6","noAFM","2050","Regrowth",0
"RCP2.6","noAFM","2050","Forest",1.51741168796208
"RCP2.6","noAFM","2050","Energy_crops_and_plantations",0.601964298901359
"RCP2.6","noAFM","2050","Annual_crops",1.78137716501936
"RCP2.6","noAFM","2050","Pasture",4.63572123788728
"RCP2.6","noAFM","2050","Permanent_crops",1.17600066329972
"RCP2.6","noAFM","2050","Urban",0.535327677526153
"REF","noAFM","2050","Afforestation",0
"REF","noAFM","2050","Regrowth",0
"REF","noAFM","2050","Forest",1.46893389813568
"REF","noAFM","2050","Energy_crops_and_plantations",0.128680478447416
"REF","noAFM","2050","Annual_crops",2.12179574946591
"REF","noAFM","2050","Pasture",5.90149989358866
"REF","noAFM","2050","Permanent_crops",1.17599792279085
"REF","noAFM","2050","Urban",0.535327677526153
"RCP2.6","noAFM","2060","Afforestation",0
"RCP2.6","noAFM","2060","Regrowth",0
"RCP2.6","noAFM","2060","Forest",1.60499129443972
"RCP2.6","noAFM","2060","Energy_crops_and_plantations",0.884538405314238
"RCP2.6","noAFM","2060","Annual_crops",1.72485467361824
"RCP2.6","noAFM","2060","Pasture",4.33046958202596
"RCP2.6","noAFM","2060","Permanent_crops",1.17599747819536
"RCP2.6","noAFM","2060","Urban",0.535327677526153
"REF","noAFM","2060","Afforestation",0
"REF","noAFM","2060","Regrowth",0
"REF","noAFM","2060","Forest",1.50119069463066
"REF","noAFM","2060","Energy_crops_and_plantations",0.142769777508215
"REF","noAFM","2060","Annual_crops",2.20474350410181
"REF","noAFM","2060","Pasture",5.99993418804302
"REF","noAFM","2060","Permanent_crops",1.17599905164919
"REF","noAFM","2060","Urban",0.535327677526153
"RCP2.6","noAFM","2070","Afforestation",0
"RCP2.6","noAFM","2070","Regrowth",0
"RCP2.6","noAFM","2070","Forest",1.78911619036939
"RCP2.6","noAFM","2070","Energy_crops_and_plantations",1.22765398776797
"RCP2.6","noAFM","2070","Annual_crops",1.60415390739434
"RCP2.6","noAFM","2070","Pasture",4.03679628501445
"RCP2.6","noAFM","2070","Permanent_crops",1.1759973108457
"RCP2.6","noAFM","2070","Urban",0.535327677526153
"REF","noAFM","2070","Afforestation",0
"REF","noAFM","2070","Regrowth",0
"REF","noAFM","2070","Forest",1.54568836420318
"REF","noAFM","2070","Energy_crops_and_plantations",0.15737465720145
"REF","noAFM","2070","Annual_crops",2.231298534506
"REF","noAFM","2070","Pasture",6.05489109277536
"REF","noAFM","2070","Permanent_crops",1.17599894916552
"REF","noAFM","2070","Urban",0.535327677526153
