"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.00427215298186296,0.0372216090797209,0.0426939971753494,0.00958529718048286,1.13889430941772,1.13876535015417,2.64720084036704,0.52574238034567,0.0357737392919877,0.0332642300750499,0.0101860793719039,0,0.0934261224597523,0,0,0,0,0.0106345574154212,0.00774286272763245,2.15941029179106,0.0419131763248446,0,0,0,4.15576745036853e-09,0.153816316425333,0.0122685205836224,2.49551515096902
"RCP2.6_SFM","noAFM",0.00427218575085646,0.0372216090797209,0.0426917314469727,0.00958529718048286,1.1390424367157,1.13876535015417,2.64728287600937,0.52574238034567,0.0357805076365854,0.0333190720554374,0.0101846477488944,0,0.0944106378658427,0,0,0,0,0.0106345574154212,0.00774316855588128,2.15941029179106,0.0416316263320074,0,0,0,4.1559309777775e-09,0.153784724424671,0.0122609937527066,2.49507154085521
"REF_MFM","noAFM",0.0297245045789972,0.0372189115527763,0.0486635111827872,0.00958529718048286,2.19525960649762,1.13877177036189,5.92440361576316,0.52574238034567,0.0216525852268197,0.0329151215458839,0.0102038648834864,0,0.0654858894383046,0,0,0,0,0.0009782700384039,0.00310552626533576,0.186351446872733,0.00495259733109709,0,0,0,1.56236267780853e-08,0.0854092676971586,0.0084116460481774,1.50423845867474
"REF_SFM","noAFM",0.0297174645526769,0.0372189115527763,0.0486659079065162,0.00958529718048286,2.19522949000981,1.13877177036189,5.92427187116295,0.52574238034567,0.0216599957665364,0.032996901382797,0.0102054710659615,0,0.0662170457775719,0,0,0,0,0.0009782700384039,0.00310775194892815,0.186351446872733,0.0051339040505556,0,0,0,1.56404063998763e-08,0.0853854757998526,0.00841915802426656,1.50358640718837
"RCP2.6_MFM","AFMfree",0.00434887349786416,0.0372216090797209,0.0428180855974908,0.00958529718048286,1.14044536118838,1.13876535015417,2.64860332417358,0.52574238034567,0.0261786342152172,0.0238232441960983,0.0104403622371208,0.0080982619323515,0.0640887028675864,0,0,0,0,0.0106345574154212,0.00748627446435582,2.15941029179106,0.038103586210198,0,0,0,3.8400156542608e-09,0.155028545744609,0.0125152283028479,2.51253828167079
"RCP2.6_SFM","AFMfree",0.00433486323770143,0.0372216090797209,0.042815070742988,0.00958529718048286,1.14142775344244,1.13876535015417,2.64927997158102,0.52574238034567,0.0263548778914804,0.0241238717831782,0.0103107040129295,0.00807875237805521,0.0631790591228009,0,0,0,0,0.0106345574154212,0.00747947833816837,2.15941029179106,0.0360581524813459,0,0,0,4.0438842559113e-09,0.155097319366411,0.0125148310677724,2.51304057918488
"REF_MFM","AFMfree",0.0297567376763647,0.0372189115527763,0.0487419508258926,0.00958529718048286,2.19511332624531,1.13877177036189,5.92436421738634,0.52574238034567,0.0161512673259823,0.0212876210324458,0.0105604017281364,0.00541270147709696,0.0357763837965352,0,0,0,0,0.0009782700384039,0.00293971328037826,0.186351446872733,0.00514637421471356,0,0,0,1.57390954216024e-08,0.086327252469243,0.00853324491837038,1.51863704461479
"REF_SFM","AFMfree",0.0297619901575601,0.0372189115527763,0.0487333145194617,0.00958529718048286,2.19526720902504,1.13877177036189,5.92443486429491,0.52574238034567,0.017422677251391,0.0215955658948765,0.0100292189818781,0.00552074312604512,0.0377696227550943,0,0,0,0,0.0009782700384039,0.00294520875263853,0.186351446872733,0.00488629402210209,0,0,0,1.57689889920627e-08,0.0862996735620126,0.00858278707040821,1.51744240460784
"RCP2.6_MFM","AFM25",0.00426577838534408,0.0372216090797209,0.0427547655093291,0.00958529718048286,1.13831172152922,1.13876535015417,2.64667853909377,0.52574238034567,0.0242642660735315,0.0257347212092022,0.0102918239093443,0.0064842865729322,0.0649531811728408,0,0,0,0,0.0106345574154212,0.00768403788172426,2.15941029179106,0.0431109353598058,0,0,0,3.59346343669103e-09,0.155031280161304,0.0124877304279436,2.51058413133749
"RCP2.6_SFM","AFM25",0.004210079383443,0.0372216090797209,0.0426160635329382,0.00958529718048286,1.13588702697716,1.13876535015417,2.64449695107906,0.52574238034567,0.0244071584193208,0.0304053846950104,0.0104711917510166,0.00679293091700139,0.0784425743228764,0,0,0,0,0.0106345574154212,0.00794186940328263,2.15941029179106,0.0491185634866357,0,0,0,3.87991860495724e-09,0.154624291850225,0.0124134531751741,2.50093794642363
