"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",2.6678148220441e-10,0,0,"noAFM","2020"
"RCP2.6_SFM",2.66644509696446e-10,0,0,"noAFM","2020"
"REF_MFM",2.66038857241199e-10,0,0,"noAFM","2020"
"REF_SFM",2.6628720463385e-10,0,0,"noAFM","2020"
"RCP2.6_MFM",2.66444072019973e-10,0,0,"AFMfree","2020"
"RCP2.6_SFM",2.6775529283835e-10,0,0,"AFMfree","2020"
"REF_MFM",2.66334536024778e-10,0,0,"AFMfree","2020"
"REF_SFM",2.68231844817612e-10,0,0,"AFMfree","2020"
"RCP2.6_MFM",2.66249249695254e-10,0,0,"AFM25","2020"
"RCP2.6_SFM",2.6533449246854e-10,0,0,"AFM25","2020"
"REF_MFM",2.66604626150303e-10,0,0,"AFM25","2020"
"REF_SFM",2.64977971162842e-10,0,0,"AFM25","2020"
"RCP2.6_MFM",2.66841754566753e-10,0,0,"AFM50","2020"
"RCP2.6_SFM",2.6217100668273e-10,0,0,"AFM50","2020"
"REF_MFM",2.66244986693803e-10,0,0,"AFM50","2020"
"REF_SFM",2.6172484759818e-10,0,0,"AFM50","2020"
"RCP2.6_MFM",2.66704548327366e-10,0,0,"AFM75","2020"
"RCP2.6_SFM",2.57429232607385e-10,0,0,"AFM75","2020"
"REF_MFM",2.65949285407524e-10,0,0,"AFM75","2020"
"REF_SFM",2.5705127531742e-10,0,0,"AFM75","2020"
"RCP2.6_MFM",2.66595588274546e-10,0,0,"AFM100","2020"
"RCP2.6_SFM",2.51473318514346e-10,0,0,"AFM100","2020"
"REF_MFM",2.65891014164513e-10,0,0,"AFM100","2020"
"REF_SFM",2.51412138499619e-10,0,0,"AFM100","2020"
"RCP2.6_MFM",2.89654694842743e-10,0,0,"noAFM","2030"
"RCP2.6_SFM",2.89460083220496e-10,0,0,"noAFM","2030"
"REF_MFM",2.80006947348252e-10,0,0,"noAFM","2030"
"REF_SFM",2.80683414066055e-10,0,0,"noAFM","2030"
"RCP2.6_MFM",2.88479193456119e-10,0,0,"AFMfree","2030"
"RCP2.6_SFM",2.82066377032118e-10,0,0,"AFMfree","2030"
"REF_MFM",2.78141816573922e-10,0,0,"AFMfree","2030"
"REF_SFM",2.77276681268891e-10,0,0,"AFMfree","2030"
"RCP2.6_MFM",2.88269755373913e-10,0,0,"AFM25","2030"
"RCP2.6_SFM",2.80779679770267e-10,0,0,"AFM25","2030"
"REF_MFM",2.76637046821098e-10,0,0,"AFM25","2030"
"REF_SFM",2.75238893391071e-10,0,0,"AFM25","2030"
"RCP2.6_MFM",2.86975736481414e-10,0,0,"AFM50","2030"
