"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0.0506885529722142
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0.00178727816207213
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.00658495792244393
"RCP2.6_SFM","noAFM","Clear_cut",0.0506922839025811
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0.00178500113441085
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.00657746915263417
"REF_MFM","noAFM","Clear_cut",0.0344921979875293
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0.0111365696698204
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.0048178058716857
"REF_SFM","noAFM","Clear_cut",0.0345050920280319
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0.011130113636343
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.00481971533890738
"RCP2.6_MFM","AFMfree","Clear_cut",0.0423796218005317
"RCP2.6_MFM","AFMfree","Retention",0.00414086409357778
"RCP2.6_MFM","AFMfree","Selection",0.00252974105666042
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0.00673351280712112
"RCP2.6_SFM","AFMfree","Clear_cut",0.0424872256145453
"RCP2.6_SFM","AFMfree","Retention",0.00414351714835486
"RCP2.6_SFM","AFMfree","Selection",0.0019342878202661
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0.00672175992058014
"REF_MFM","AFMfree","Clear_cut",0.0301740146213275
"REF_MFM","AFMfree","Retention",0.00254636785630254
"REF_MFM","AFMfree","Selection",0.0111477192127294
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0.00487500685409659
"REF_SFM","AFMfree","Clear_cut",0.0315189714539105
"REF_SFM","AFMfree","Retention",0.0025700512837752
"REF_SFM","AFMfree","Selection",0.00788897848863528
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0.00490868773959266
"RCP2.6_MFM","AFM25","Clear_cut",0.0404067924545042
"RCP2.6_MFM","AFM25","Retention",0.00330870674359918
"RCP2.6_MFM","AFM25","Selection",0.00452277712902039
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0.00671232396221521
"RCP2.6_SFM","AFM25","Clear_cut",0.0406388177806798
"RCP2.6_SFM","AFM25","Retention",0.00351164030289293
"RCP2.6_SFM","AFM25","Selection",0.00141162534322734
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0.00666261629286923
"REF_MFM","AFM25","Clear_cut",0.033276578673173
"REF_MFM","AFM25","Retention",0.00203515566000635
"REF_MFM","AFM25","Selection",0.0102565971970478
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0.00485770467842328
"REF_SFM","AFM25","Clear_cut",0.0353070792170459
"REF_SFM","AFM25","Retention",0.00243120555694627
"REF_SFM","AFM25","Selection",0.00509503259656498
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0.00487263539324221
"RCP2.6_MFM","AFM50","Clear_cut",0.038163138846211
"RCP2.6_MFM","AFM50","Retention",0.00239456947326224
"RCP2.6_MFM","AFM50","Selection",0.00674940346762795
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0.00659297994131997
"RCP2.6_SFM","AFM50","Clear_cut",0.039069747866404
"RCP2.6_SFM","AFM50","Retention",0.00250373122225791
"RCP2.6_SFM","AFM50","Selection",0.00111410994141525
