"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0590607890567303,0,0
"RCP2.6_SFM","noAFM",0.0590547541896261,0,0
"REF_MFM","noAFM",0.0504465735290354,0,0
"REF_SFM","noAFM",0.0504549210032823,0,0
"RCP2.6_MFM","AFMfree",0.055783739757891,0,0
"RCP2.6_SFM","AFMfree",0.0552867905037464,0,0
"REF_MFM","AFMfree",0.0487431085444561,0,0
"REF_SFM","AFMfree",0.0468866889659137,0,0
"RCP2.6_MFM","AFM25",0.054950600289339,0,0
"RCP2.6_SFM","AFM25",0.0522246997196693,0,0
"REF_MFM","AFM25",0.0504260362086505,0,0
"REF_SFM","AFM25",0.0477059527637993,0,0
"RCP2.6_MFM","AFM50",0.0539000917284212,0,0
"RCP2.6_SFM","AFM50",0.0493049499233561,0,0
"REF_MFM","AFM50",0.050267657653659,0,0
"REF_SFM","AFM50",0.0449364375737628,0,0
"RCP2.6_MFM","AFM75",0.0527151847052867,0,0
"RCP2.6_SFM","AFM75",0.046164278361549,0,0
"REF_MFM","AFM75",0.0488561049018906,0,0
"REF_SFM","AFM75",0.0408269379304259,0,0
"RCP2.6_MFM","AFM100",0.0509649918788001,0,0
"RCP2.6_SFM","AFM100",0.0431367740848424,0,0
"REF_MFM","AFM100",0.0472082807790562,0,0
"REF_SFM","AFM100",0.0375768875611329,0,0
