"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",1.22493238443101
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.419853091533437
"RCP2.6_MFM","noAFM","Annual_crops",2.71722739126022
"RCP2.6_MFM","noAFM","Pasture",4.23053187341192
"RCP2.6_MFM","noAFM","Permanent_crops",1.26565691182347
"RCP2.6_MFM","noAFM","Urban",0.754848968190073
"RCP2.6_SFM","noAFM","Afforestation",0
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",1.22621320610417
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.419636786315249
"RCP2.6_SFM","noAFM","Annual_crops",2.71727806408102
"RCP2.6_SFM","noAFM","Pasture",4.23062366246244
"RCP2.6_SFM","noAFM","Permanent_crops",1.26565691182347
"RCP2.6_SFM","noAFM","Urban",0.754848968190073
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",1.20010495464454
"REF_MFM","noAFM","Energy_crops_and_plantations",0.0900539260317814
"REF_MFM","noAFM","Annual_crops",3.19147382585063
"REF_MFM","noAFM","Pasture",5.23861409286596
"REF_MFM","noAFM","Permanent_crops",1.26565379154999
"REF_MFM","noAFM","Urban",0.754848968190073
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",1.20033440319887
"REF_SFM","noAFM","Energy_crops_and_plantations",0.0899818400572195
"REF_SFM","noAFM","Annual_crops",3.19154229905143
"REF_SFM","noAFM","Pasture",5.23862573406029
"REF_SFM","noAFM","Permanent_crops",1.26565379154999
"REF_SFM","noAFM","Urban",0.754848968190073
"RCP2.6_MFM","AFMfree","Afforestation",0
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",1.21707962050936
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.419510006606759
"RCP2.6_MFM","AFMfree","Annual_crops",2.71764901973244
"RCP2.6_MFM","AFMfree","Pasture",4.23058366664562
"RCP2.6_MFM","AFMfree","Permanent_crops",1.26565691182347
"RCP2.6_MFM","AFMfree","Urban",0.754848968190073
"RCP2.6_SFM","AFMfree","Afforestation",0
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",1.21776449195872
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.419075223492751
"RCP2.6_SFM","AFMfree","Annual_crops",2.71779091017787
"RCP2.6_SFM","AFMfree","Pasture",4.23074155450734
"RCP2.6_SFM","AFMfree","Permanent_crops",1.26565691182347
"RCP2.6_SFM","AFMfree","Urban",0.754848968190073
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",1.1917410382094
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.0899812336008447
"REF_MFM","AFMfree","Annual_crops",3.19147375797436
"REF_MFM","AFMfree","Pasture",5.23864033822973
"REF_MFM","AFMfree","Permanent_crops",1.26565379154999
"REF_MFM","AFMfree","Urban",0.754848968190073
"REF_SFM","AFMfree","Afforestation",0
