"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.0145471267196607,0.103568859159065,0.051378130158484,0.0273140909967538,1.66225890567936,1.16207788166532,2.52877832877745,0.727534877193319,0.0395144938660032,0.0191279364425665,0.011174059106211,0,0.0640615411432959,0,0,0.00178727816207213,0,0.0206148341167377,0.0171038509021914,1.51745488887883,0.0344710439930575,0,0,0,8.08712364262512e-05,0.555077028057268,0.00650408668601768,1.77173749911789
"RCP2.6_SFM","noAFM",0.0145475556383684,0.103568859159065,0.0513775246663567,0.0273140909967538,1.66242176129805,1.16207788166532,2.52883891251961,0.727534877193319,0.0395197952853351,0.0191811280547556,0.011172488617246,0,0.064756932693923,0,0,0.00178500113441085,0,0.0206148341167377,0.0171047972933099,1.51745488887883,0.0342755857262983,0,0,0,8.07915318922903e-05,0.554983501044937,0.00649667762074188,1.77141191210593
"REF_MFM","noAFM",0.141989171196261,0.1035678093159,0.0560994656290447,0.0273140909967538,3.22213073229044,1.16207987906089,5.2248526908497,0.727534877193319,0.0232986283044169,0.0186121226538196,0.0111935696831124,0,0.0427347449714219,0,0,0.0111365696698204,0,0.00154294797572,0.00669538909172715,0.123215042053929,0.00331121525358337,0,0,0,0.000697796526023795,0.308057203285685,0.00412000934566191,1.04782956937248
"REF_SFM","noAFM",0.141950203631782,0.1035678093159,0.0561007668535945,0.0273140909967538,3.22202566843678,1.16207987906089,5.22476970119497,0.727534877193319,0.0233097603654247,0.0187991917317159,0.0111953316626072,0,0.043908451448463,0,0,0.011130113636343,0,0.00154294797572,0.00671432821021435,0.123215042053929,0.00329366576796029,0,0,0,0.000698281401757446,0.307986964765972,0.00412143393714993,1.04704854266587
"RCP2.6_MFM","AFMfree",0.0147965574770149,0.103568859159065,0.0515120108997448,0.0273140909967538,1.66461599645977,1.16207788166532,2.53002058855249,0.727534877193319,0.030926616143886,0.0140135391359512,0.0114530056566457,0.00414086409357778,0.0477653531771461,0,0,0.00252974105666042,0,0.0206148341167378,0.0165239744254962,1.51745488887883,0.0311668771916585,0,0,0,8.29883481903968e-05,0.559166276856144,0.00665052445893073,1.78123644707321
"RCP2.6_SFM","AFMfree",0.0147582838399124,0.103568859159065,0.0515155835076523,0.0273140909967538,1.66584690936956,1.16207788166532,2.53061195432892,0.727534877193319,0.0311979671366721,0.0142471400246068,0.0112892584778731,0.00414351714835486,0.0474454452604672,0,0,0.0019342878202661,0,0.0206148341167377,0.0164626043833864,1.51745488887883,0.0294381883900845,0,0,0,8.26998119070386e-05,0.559289295582019,0.00663906010867311,1.7814218993863
"REF_MFM","AFMfree",0.142033483456882,0.1035678093159,0.0561727141818931,0.0273140909967538,3.22191077788218,1.16207987906089,5.22483325862846,0.727534877193319,0.0185893264685128,0.011946175912214,0.0115846881528147,0.00254636785630254,0.0271924530541628,0,0,0.0111477192127294,0,0.00154294797572,0.00646150551909494,0.123215042053929,0.0033458101580207,0,0,0,0.000707333554860367,0.311443359726919,0.00416767329923622,1.05582978647815
"REF_SFM","AFMfree",0.142033572427964,0.1035678093159,0.0561642362160438,0.0273140909967538,3.22217351547433,1.16207987906089,5.22488647320721,0.727534877193319,0.0204779555129521,0.0120720629428569,0.0110410159409585,0.0025700512837752,0.0283460831185718,0,0,0.00788897848863528,0,0.00154294797572,0.00647946405638255,0.123215042053929,0.00321049844078757,0,0,0,0.000711504658484218,0.311331919488538,0.00419718308110845,1.05510839443689
"RCP2.6_MFM","AFM25",0.0144884605718074,0.103568859159065,0.0514372726081053,0.0273140909967538,1.6617897660967,1.16207788166532,2.52838447731334,0.727534877193319,0.029116732316393,0.0152431148835557,0.0112900601381112,0.00330870674359918,0.0472747757653787,0,0,0.00452277712902039,0,0.0206148341167378,0.0169659631602371,1.51745488887883,0.0352124130410077,0,0,0,8.27500754081402e-05,0.559160409265543,0.00662957388680707,1.78053447654519
"RCP2.6_SFM","AFM25",0.0142719281202701,0.103568859159065,0.0512952330330735,0.0273140909967538,1.65861735910899,1.16207788166532,2.52655494458308,0.727534877193319,0.0290085336582534,0.0175557789624769,0.0116302841224264,0.00351164030289293,0.0565634954103306,0,0,0.00141162534322734,0,0.0206148341167378,0.0175704147670947,1.51745488887883,0.0398427073030375,0,0,0,8.19095431533427e-05,0.55757015092294,0.00658070674971589,1.77483561688591
