"Scenario","Ecoregion","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","AA0101",2010,0,0,0,NA,7.16358444e-07,7.06580736e-07,6.86881913718e-06,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07875221050144e-09,0,2.26897017598874e-08
"RCP_MFM_AF0","AA0102",2010,0,0,0,0,2.3653347045e-05,1.8851981268e-05,1.280498928228e-05,2.86912389606e-06,0,0,0,0,1.044608824e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.54085771499021e-07,0,6.35688674112065e-06
"RCP_MFM_AF0","AA0103",2010,0,0,0,0,6.80257164e-07,3.323312964e-06,1.38807657442e-06,2.99386841355e-05,0,0,0,0,2.0215896e-07,0,0,0,0,0,0,0,0,0,0,0,0,9.27706113309891e-07,0,8.64139891543578e-06
"RCP_MFM_AF0","AA0104",2010,0,0,0,0,4.92992664e-07,7.970866609e-06,2.869221781408e-06,1.4262880771e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30835365351308e-06,0,1.60041331922578e-05
"RCP_MFM_AF0","AA0105",2010,0,0,0,0,8.1966885e-06,2.91930383105e-05,8.7518113647599e-05,4.68998651868e-05,0,0,0,0,2.720854274e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.37987288844642e-06,0,3.19678917891177e-05
"RCP_MFM_AF0","AA0106",2010,0,0,0,0,5.61072572e-07,6.467710622e-06,3.403748462084e-06,5.9692033552053e-05,0,0,0,0,6.59385139e-07,0,0,0,0,0,0,0,0,0,0,0,0,3.70002021399978e-06,0,3.53188927738683e-05
"RCP_MFM_AF0","AA0107",2010,0,0,0,0,1.369725808e-06,2.42037185e-06,1.5161710107234e-05,0,0,0,0,0,2.3177e-09,0,0,0,0,0,0,0,0,0,0,0,0,5.99646810414033e-07,0,3.51064669684788e-06
"RCP_MFM_AF0","AA0108",2010,0,0,0,0,2.29342768e-07,1.230537483e-06,1.57660091239e-06,3.109193447121e-06,0,0,0,0,1.70951883e-07,0,0,0,0,0,0,0,0,0,0,0,0,9.44550474587963e-08,0,1.53908751724729e-06
"RCP_MFM_AF0","AA0109",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_MFM_AF0","AA0110",2010,0,0,0,NA,4.9764e-08,3.096e-07,1.63602384135e-06,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06104827890432e-08,0,4.91394036326786e-07
"RCP_MFM_AF0","AA0111",2010,0,0,0,0,1.23879498e-06,3.69991846e-06,1.4563392446438e-05,1.39425334578e-05,0,0,0,0,2.3484024e-08,0,0,0,0,0,0,0,0,0,0,0,0,8.45879371704163e-07,0,5.25478547749452e-06
"RCP_MFM_AF0","AA0112",2010,0,0,0,NA,7.23779874e-07,2.20161576e-06,1.6647858292266e-05,NA,0,0,0,0,2.416e-09,0,0,0,0,0,0,0,0,0,0,0,0,2.09983676147518e-07,0,1.21134078800529e-06
"RCP_MFM_AF0","AA0113",2010,0,0,0,0,0,9.01061711e-06,0.0002862653003805,1.264756656366e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95891921343743e-06,0,1.96512801584571e-05
"RCP_MFM_AF0","AA0114",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_MFM_AF0","AA0115",2010,0,0,0,0,3.7628867691e-06,1.57773045288e-05,2.3318081856674e-05,3.04181443503e-06,0,0,0,0,2.2225355469e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.54429456155023e-06,0,1.8853364546372e-05
"RCP_MFM_AF0","AA0116",2010,0,0,0,0,1.4119332e-06,6.686089088e-06,9.169903323939e-06,1.61522934766e-06,0,0,0,0,1.36904845e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.11917111444399e-06,0,1.15797971900086e-05
"RCP_MFM_AF0","AA0117",2010,0,0,0,0,9.440514018e-06,2.957294655e-06,0.000121673007353664,1.591909760424e-05,0,1.02873372e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75723439084775e-05,0,9.64383684982005e-06
"RCP_MFM_AF0","AA0118",2010,0,0,0,0,2.396547672e-06,1.1628051e-05,6.224863790855e-06,2.0689514636963e-05,0,0,0,0,1.603137312e-06,0,0,0,0,0,0,0,0,0,0,0,0,4.64013369429477e-06,0,3.23852211383743e-05
"RCP_MFM_AF0","AA0119",2010,0,0,0,0,1.48842799e-07,3.6993452272e-05,1.2308544e-05,3.9205419704e-06,0,0,0,0,1.67653524e-07,0,0,0,0,0,0,0,0,0,0,0,0,3.14774683252579e-05,0,0.000140846734456357
"RCP_MFM_AF0","AA0120",2010,0,0,0,0,4.22278401e-06,1.1147774644e-05,4.873612734536e-05,1.35318100112e-05,0,0,0,0,4.32378e-09,0,0,0,0,0,0,0,0,0,0,0,0,2.5899045745657e-06,0,1.1643149042113e-05
"RCP_MFM_AF0","AA0121",2010,0,0,0,0,1.1730435255e-06,1.207424704e-05,9.6693923918374e-06,1.093534199106e-06,0,0,0,0,6.085828161e-07,0,0,0,0,0,0,0,0,0,0,0,0,5.17219575805614e-07,0,4.54384078350591e-06
"RCP_MFM_AF0","AA0122",2010,0,0,0,0,2.0013306885e-06,1.74118186843e-05,1.30919952366e-05,1.711936049356e-06,0,0,0,0,1.1237812984e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.08811447881912e-06,0,8.66380839461313e-06
"RCP_MFM_AF0","AA0123",2010,0,0,0,0,0.00017323710053,4.476008013e-05,3.3331134916044e-05,0.00016034100168384,0,0,0,0,1.2153253442e-06,0,0,0,0,0,0,0,0,0,0,0,0,7.52175997035904e-06,0,6.30863356606313e-05
"RCP_MFM_AF0","AA0124",2010,0,0,0,0,0.000185241893,2.38117379555e-05,2.5182973186529e-05,0.000101614168226232,0,0,0,0,2.66564235e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.34791670657806e-05,0,7.70470985061521e-05
"RCP_MFM_AF0","AA0125",2010,0,0,0,0,2.00928e-08,2.71297009e-07,3.06989621901e-06,1.8096950182304e-05,0,0,0,0,9.6547e-09,0,0,0,0,0,0,0,0,0,0,0,0,3.08648480752844e-07,0,1.09474748852969e-06
"RCP_MFM_AF0","AA0126",2010,0,0,0,0,6.9491675e-07,2.871940347e-05,1.702192912875e-05,1.469456468873e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18604959641751e-06,0,9.16304803976799e-06
"RCP_MFM_AF0","AA0127",2010,0,0,0,0,9.07429248e-07,4.902797622e-06,4.011751272846e-06,2.029771501863e-06,0,0,0,0,3.0320316e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.02686180954858e-06,0,1.47848868101031e-05
"RCP_MFM_AF0","AA0128",2010,0,0,0,0,2.058907809e-06,1.86422209946e-05,7.678822297032e-06,1.813250661273e-05,0,0,0,0,1.4327227673e-06,0,0,0,0,0,0,0,0,0,0,0,0,3.4576523646751e-06,0,2.78564477028408e-05
"RCP_MFM_AF0","AA0201",2010,0,0,0,0,8.24608512e-05,2.317953946e-05,6.1500390075924e-05,4.448313111282e-05,0,0,0,0,4.4042e-09,0,0,0,0,0,0,0,0,0,0,0,0,2.96146436815983e-07,0,2.72808773690267e-06
"RCP_MFM_AF0","AA0202",2010,0,0,0,0,0,2.93198365e-06,8.578910502318e-05,1.291911925443e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31117085293465e-07,0,4.50854543598586e-06
"RCP_MFM_AF0","AA0203",2010,0,0,0,NA,3.1341554231e-05,7.270164608e-06,1.811969350965e-05,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84647330295359e-08,0,4.68572495338166e-07
"RCP_MFM_AF0","AA0204",2010,0,0,0,0,4.7256860245e-05,3.1384599312e-05,6.7486464870507e-05,4.846095372681e-05,0,0,0,0,1.04758029e-08,0,0,0,0,0,0,0,0,0,0,0,0,4.66969412077588e-07,0,2.56249782485519e-06
"RCP_MFM_AF0","AA0401",2010,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"RCP_MFM_AF0","AA0402",2010,0,0,0,0,3.98010926664e-05,5.025561541e-06,0.00014992796884416,7.46303167896e-05,0,1.29567636e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85057917445696e-05,0,2.1938726593361e-05
"RCP_MFM_AF0","AA0403",2010,0,0,0,NA,1.40540309e-08,6.045781872e-06,5.675346262404e-06,NA,0,1.54539102e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08691885489519e-07,0,1.79745937962014e-07
"RCP_MFM_AF0","AA0404",2010,0,0,0,0,2.79968406e-08,3.3739000505e-06,4.771946017041e-06,0,0,1.47677082e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64545426042888e-07,0,5.68813165661478e-07
"RCP_MFM_AF0","AA0405",2010,0,0,0,0,5.259753798e-07,1.2944958445e-05,2.38952776214625e-05,6.350030547588e-06,0,3.647864136e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26674457689186e-07,0,1.39441742857669e-06
"RCP_MFM_AF0","AA0406",2010,0,0,0,0,8.074085184e-07,9.2826854496e-06,1.7490909169186e-05,7.468742771481e-06,0,1.5302287e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27562932962557e-07,0,8.09811234000318e-07
"RCP_MFM_AF0","AA0407",2010,0,0,0,NA,5.4762596e-08,2.359268888e-06,7.40713655016e-06,NA,0,1.40656e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22751069166396e-07,0,2.06477984194642e-07
"RCP_MFM_AF0","AA0408",2010,0,0,0,0,1.084946324e-07,4.858042476e-06,7.400708371086e-06,1.3021290955638e-06,0,2.29845654e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51309893581706e-07,0,7.6248602173504e-07
"RCP_MFM_AF0","AA0409",2010,0,0,0,0,7.39151248282e-05,7.234220392e-06,0.000121528783767636,2.2430252243e-05,0,3.52300926e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21498678051326e-05,0,1.02312313879933e-05
"RCP_MFM_AF0","AA0410",2010,0,0,0,0,5.40617549e-08,1.079374026e-06,2.7354481564572e-06,2.80649705698e-07,0,2.89249926e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33581957519279e-08,0,6.16155244997758e-08
"RCP_MFM_AF0","AA0411",2010,0,0,0,0,2.4021057348e-06,1.490484492e-07,2.889748830672e-06,2.855113474885e-06,0,4.35282294e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42377459897933e-06,0,1.26657429576155e-06
"RCP_MFM_AF0","AA0412",2010,0,0,0,0,2.4900604356e-06,1.692641439e-07,3.077952174288e-06,5.756238158536e-07,0,5.0629314e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06363215809059e-06,0,9.62930907085026e-07
"RCP_MFM_AF0","AA0413",2010,0,0,0,0,2.1797282429e-06,2.166107832e-07,2.4947718516e-06,1.0992452913664e-06,0,3.431253e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95993330272734e-06,0,2.60581808191843e-06
"RCP_MFM_AF0","AA0414",2010,0,0,0,NA,4.873788e-09,9.786304167e-07,1.294274750775e-06,NA,0,1.86814326e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49362821351012e-08,0,7.83834709720843e-08
"RCP_MFM_AF0","AA0701",2010,NA,NA,0,0,NA,NA,0.00010608392740241,6.687833607624e-07,0,8.316214665e-08,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,3.34014010315468e-06,0,3.49854084138821e-06
"RCP_MFM_AF0","AA0702",2010,0,0,0,0,6.3305336324e-06,1.116764719948e-05,0.00017461264335218,1.575735403231e-06,0,5.577096657e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35222532449473e-06,0,3.35776181000943e-06
"RCP_MFM_AF0","AA0703",2010,0,0,0,NA,1.28860056e-07,1.7138e-08,6.6220162731679e-05,NA,0,1.142610122e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04519707238199e-06,0,6.07894367481141e-06
"RCP_MFM_AF0","AA0704",2010,0,0,0,NA,5.3443436134e-07,3.29405516e-08,0.000140987858248277,NA,0,1.341054286e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75531422300396e-07,0,9.76649866547226e-07
"RCP_MFM_AF0","AA0705",2010,0,0,0,0,1.700168152e-06,7.247782113e-07,0.000123812297546658,0,0,3.07850814e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98335205419006e-06,0,2.33946944985049e-06
"RCP_MFM_AF0","AA0706",2010,0,0,0,0,3.2254377e-08,6.05752752e-07,0.000342610244498361,2.545806474e-07,0,2.069196344e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21122837166916e-06,0,2.54833634940918e-06
"RCP_MFM_AF0","AA0707",2010,0,0,0,0,2.80835720199e-06,2.0796963584e-07,0.000161233673934577,7.79016781044e-08,0,2.59839792e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89268370195631e-08,0,1.44608671773373e-07
"RCP_MFM_AF0","AA0708",2010,0,0,0,0,5.76317703e-07,5.2421012212e-06,8.840095316142e-06,5.723711237596e-06,0,0,0,0,1.052878848e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.13971984865773e-07,0,7.16254766418124e-07
"RCP_MFM_AF0","AA0709",2010,0,0,0,NA,1.46199025e-08,8.86877336e-09,6.7864094346107e-05,NA,0,6.01472512e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61714876735991e-07,0,4.02873894152322e-07
"RCP_MFM_AF0","AA0801",2010,0,0,0,0,7.14670767e-07,1.57094619264e-05,3.5239332499811e-05,3.158683924602e-06,0,1.20346723e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52068778365868e-07,0,5.22625067519043e-07
"RCP_MFM_AF0","AA0802",2010,0,0,0,NA,2.18235886275e-06,2.19964672844e-06,6.576854318473e-05,NA,0,1.12303191e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01123546988762e-08,0,7.12310554242647e-08
"RCP_MFM_AF0","AA0803",2010,0,0,0,0,1.92159089107e-05,3.17064027396e-06,9.92287589960576e-05,6.74333218944e-07,0,1.488440544e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13711741087471e-06,0,1.44527473987196e-06
"RCP_MFM_AF0","AA1001",2010,0,0,0,NA,1.0406855088e-06,4.944915609e-07,6.717720985272e-06,NA,0,2.4613e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76136627605557e-06,0,1.24474659775779e-06
"RCP_MFM_AF0","AA1002",2010,0,0,0,0,1.0989724e-06,7.498230668e-06,2.29505780856e-05,3.21688106064e-06,0,0,0,0,3.93875133e-07,0,0,0,0,0,0,0,0,0,0,0,0,7.12255519115888e-07,0,5.76999464257294e-06
"RCP_MFM_AF0","AA1003",2010,0,0,0,0,1.548033548e-07,1.26540057854e-05,2.3600244537792e-05,0,0,1.46590818e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92828944325005e-07,0,5.93733152952804e-07
"RCP_MFM_AF0","AA1101",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_MFM_AF0","AA1201",2010,0,0,0,0,8.7385469178e-07,1.66349551396e-06,1.55741741108272e-05,5.124708432162e-08,0,8.5635e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60952101438614e-07,0,4.26009579845523e-07
"RCP_MFM_AF0","AA1202",2010,0,0,0,0,1.1352343616e-05,4.74587229165e-06,3.00807356713375e-05,7.0332146864e-08,0,1.97910526e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74234615048946e-06,0,1.4096567203142e-06
"RCP_MFM_AF0","AA1203",2010,0,0,0,0,1.83722605242e-05,5.35249509e-06,1.77322831179163e-05,6.665091069182e-07,0,2.70071262e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62580228711353e-07,0,1.68459649740112e-07
"RCP_MFM_AF0","AA1204",2010,0,0,0,0,2.3568567228e-06,9.3413574e-09,1.1612608700265e-05,4.2328275648e-07,0,2.64585947e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28861916587879e-06,0,1.69026316968839e-06
"RCP_MFM_AF0","AA1205",2010,0,0,0,0,1.03249760796e-05,2.0203384e-08,8.168463068265e-06,5.82701158e-06,0,5.9706712e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.268038468261e-07,0,3.6487982622084e-07
"RCP_MFM_AF0","AA1206",2010,0,0,0,0,1.31444041844e-05,4.86527865e-07,1.3526629135152e-05,4.381918477588e-06,0,7.81e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06594737598174e-07,0,6.47387780322529e-08
"RCP_MFM_AF0","AA1207",2010,0,0,0,0,1.58189664721e-05,1.159366266e-05,8.00477330099064e-05,1.209843610731e-06,0,2.57959813e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32155121157985e-07,0,4.91225544396124e-07
"RCP_MFM_AF0","AA1208",2010,0,0,0,0,4.3625716849e-06,7.122138576e-07,8.933140854798e-06,1.9942150713e-08,0,3.51981e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39550166975015e-07,0,2.311633810359e-07
"RCP_MFM_AF0","AA1209",2010,0,0,0,0,3.06664860673e-05,8.1397157112e-06,3.86226720891584e-05,7.3319226448e-08,0,4.33113128e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3674749551106e-07,0,4.83472874341444e-07
