"Scenario","Ecoregion","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","AA0101",2060,0,0,0,NA,6.69013125e-07,2.89808505e-07,4.0093784358225e-06,NA,0,0,0,0,0,0,0,0,0,0,0,2.011613375e-07,0,0,0,0,0,8.26973298278385e-09,0,3.11422220103506e-08
"RCP_MFM_AF0","AA0102",2060,0,0,0,0,3.0581709616e-05,9.2988303875e-06,2.387907053e-06,1.382585065855e-06,0,0,0,0,9.51342182e-07,0,0,0,0,0,0,9.40441862499998e-08,0,0,0,0,0,4.39480367979357e-07,0,3.36427523934291e-06
"RCP_MFM_AF0","AA0103",2060,0,0,0,0,3.0940481e-07,1.45958011425e-06,5.92659261075e-08,1.3306081838e-05,0,0,0,0,1.50745905e-07,0,0,0,0,0,0,1.92639e-08,2.580609e-08,0,0,0,0,7.0736987561542e-07,0,4.28127469420554e-06
"RCP_MFM_AF0","AA0104",2060,0,0,0,0,1.61815335e-07,4.806839737e-06,1.9924396736425e-06,8.18826829805e-06,0,0,0,0,0,0,0,0,0,0,0,1.4536674375e-07,0,0,0,0,0,1.50869979063256e-06,0,1.13739387428146e-05
"RCP_MFM_AF0","AA0105",2060,0,0,0,0,1.05356755725e-05,3.481844456825e-05,0.00012464909002744,4.2323014307825e-05,0,0,0,0,6.87412183600001e-06,0,0,0,0,0,0,1.2307373164e-05,4.53585024000001e-07,0,0,0,0,1.73320100750205e-05,0,7.55578951414495e-05
"RCP_MFM_AF0","AA0106",2060,0,0,0,0,3.776682105e-07,3.660947398e-06,1.03701805295e-06,3.26214549937433e-05,0,0,0,0,7.40151432e-07,0,0,0,0,0,0,6.1307e-10,0,0,0,0,0,3.85800868707089e-06,0,2.54965071370878e-05
"RCP_MFM_AF0","AA0107",2060,0,0,0,0,1.221510132e-06,2.28538957375e-06,2.57684018714e-05,0,0,0,0,0,9.791225e-09,0,0,0,0,0,0,2.66426418575e-06,0,0,0,0,0,1.59302090715994e-06,0,6.7174619511685e-06
"RCP_MFM_AF0","AA0108",2060,0,0,0,0,1.1364252925e-07,5.7647373e-07,1.844235487325e-07,1.4550556904135e-06,0,0,0,0,1.346888e-07,0,0,0,0,0,0,1.68349999999999e-08,2.30704e-08,0,0,0,0,8.35021425174131e-08,0,8.95973062448996e-07
"RCP_MFM_AF0","AA0109",2060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_MFM_AF0","AA0110",2060,0,0,0,NA,3.164e-08,1.22808e-07,6.44379455025e-07,NA,0,0,0,0,0,0,0,0,0,0,0,2.98845e-08,0,0,0,0,0,1.29853006913643e-07,0,4.72265817708699e-07
"RCP_MFM_AF0","AA0111",2060,0,0,0,0,1.3923746375e-06,4.211242595e-06,4.55028861261625e-05,1.405497324375e-05,0,0,0,0,1.2434654175e-07,0,0,0,0,0,0,1.1205002515e-06,0,0,0,0,0,4.88610830221208e-06,0,2.05441434272874e-05
"RCP_MFM_AF0","AA0112",2060,0,0,0,NA,5.0093073e-07,2.105554695e-06,2.86059314546325e-05,NA,0,0,0,0,1.0164e-08,0,0,0,0,0,0,5.165468e-07,0,0,0,0,0,8.4532969516562e-07,0,3.35016039565883e-06
"RCP_MFM_AF0","AA0113",2060,0,0,0,0,0,5.36168952e-06,0.00012423741166215,7.14862457946e-06,0,0,0,0,0,0,0,0,0,0,0,0.00027783467075,0,0,0,0,0,1.24466480316851e-05,0,5.10002331708588e-05
"RCP_MFM_AF0","AA0114",2060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_MFM_AF0","AA0115",2060,0,0,0,0,6.70719387e-06,2.58732109825e-05,9.193273587462e-05,4.3566174034425e-06,0,0,0,0,8.30609506600001e-06,0,0,0,0,0,0,1.0349299795e-05,2.80168932500001e-07,0,0,0,0,1.61693830564681e-05,0,7.65955219015999e-05
"RCP_MFM_AF0","AA0116",2060,0,0,0,0,8.2925303225e-07,6.52166465675e-06,1.06053914196175e-05,1.23378267761e-06,0,0,0,0,2.4765473535e-06,0,0,0,0,0,0,1.4106333395e-06,5.44375700000001e-08,0,0,0,0,4.23391190006102e-06,0,1.77626203286317e-05
"RCP_MFM_AF0","AA0117",2060,0,0,0,0,9.533830905e-06,5.23161290025e-06,0.0002415709438076,2.02026715779e-05,0,4.7090976725e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35948712136038e-05,0,3.54635555604484e-05
"RCP_MFM_AF0","AA0118",2060,0,0,0,0,3.836498135e-06,7.426699999e-06,3.069173543495e-06,1.16349720397175e-05,0,0,0,0,1.79749525e-06,0,0,0,0,0,0,2.0596533e-08,3.92106e-10,0,0,0,0,4.58323599476313e-06,0,2.31736852753273e-05
"RCP_MFM_AF0","AA0119",2060,0,0,0,0,1.8639051e-07,2.100225876e-05,2.936691163935e-06,2.10283614776e-06,0,0,0,0,4.7587012e-07,0,0,0,0,0,0,2.7627432715e-05,0,0,0,0,0,7.13017949712479e-05,0,0.000263273564081701
"RCP_MFM_AF0","AA0120",2060,0,0,0,0,6.55707553625e-06,1.09421804395e-05,9.604943664384e-05,1.11208252051e-05,0,0,0,0,1.8606241e-08,0,0,0,0,0,0,1.4009932439e-05,0,0,0,0,0,7.41665378403831e-06,0,2.70133854726739e-05
