"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.231233902884455,0.175039656406702,0.313655366937617
"RCP2.6_SFM","noAFM",0.231233902829892,0.175039656405015,0.31365536684082
"REF_MFM","noAFM",0.231230382838318,0.175037828616489,0.31365090794736
"REF_SFM","noAFM",0.23123040696396,0.175037842706043,0.313650937132724
"RCP2.6_MFM","AFMfree",0.231232990442378,0.175039132249083,0.313654265064395
"RCP2.6_SFM","AFMfree",0.23123873215007,0.175041923796259,0.313662462820218
"REF_MFM","AFMfree",0.231230032447977,0.175037623194594,0.313650460903856
"REF_SFM","AFMfree",0.231257550603152,0.175047651424856,0.313688736586795
"RCP2.6_MFM","AFM25",0.231233125988755,0.175039210897704,0.313654428317743
"RCP2.6_SFM","AFM25",0.231231389857981,0.175035960049601,0.313654033476848
"REF_MFM","AFM25",0.231230243129199,0.175037745238767,0.313650678790782
"REF_SFM","AFM25",0.231245089843957,0.175039558153863,0.313673456989505
"RCP2.6_MFM","AFM50",0.231233285374505,0.175039299351185,0.313654622954412
"RCP2.6_SFM","AFM50",0.231224861308147,0.175029265344039,0.313647379547984
"REF_MFM","AFM50",0.23122993005249,0.175037563583919,0.313650342640989
"REF_SFM","AFM50",0.231229300484527,0.175028652712866,0.313654444177448
"RCP2.6_MFM","AFM75",0.231233397917717,0.175039365776694,0.313654761305723
"RCP2.6_SFM","AFM75",0.231181257845994,0.174989448259902,0.313597443835142
"REF_MFM","AFM75",0.231230239076461,0.175037744648523,0.313650734036184
"REF_SFM","AFM75",0.231177918642936,0.17498772510826,0.313593228441721
"RCP2.6_MFM","AFM100",0.231233798464941,0.175039595945207,0.313655244960641
"RCP2.6_SFM","AFM100",0.23109591201703,0.174908604881553,0.313508158970786
"REF_MFM","AFM100",0.231230546395797,0.175037924138665,0.313651105810178
"REF_SFM","AFM100",0.23109290804275,0.174907078769871,0.313504350800872
