"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.175634582402967,0,0
"RCP2.6_SFM","noAFM",0.176133313929987,0,0
"REF_MFM","noAFM",0.0937172345442212,0,0
"REF_SFM","noAFM",0.0947665629861125,0,0
"RCP2.6_MFM","AFMfree",0.145585428089112,0,0
"RCP2.6_SFM","AFMfree",0.143914282149941,0,0
"REF_MFM","AFMfree",0.0695306774441951,0,0
"REF_SFM","AFMfree",0.0712391074311759,0,0
"RCP2.6_MFM","AFM25",0.149756065005075,0,0
"RCP2.6_SFM","AFM25",0.167295069322088,0,0
"REF_MFM","AFM25",0.071279296889902,0,0
"REF_SFM","AFM25",0.0804450531677826,0,0
"RCP2.6_MFM","AFM50",0.157573104881611,0,0
"RCP2.6_SFM","AFM50",0.206562743582579,0,0
"REF_MFM","AFM50",0.0742183535208898,0,0
"REF_SFM","AFM50",0.109625065546583,0,0
"RCP2.6_MFM","AFM75",0.172658423310571,0,0
"RCP2.6_SFM","AFM75",0.232878420936346,0,0
"REF_MFM","AFM75",0.0822457486630819,0,0
"REF_SFM","AFM75",0.137970484650954,0,0
"RCP2.6_MFM","AFM100",0.182927486642811,0,0
"RCP2.6_SFM","AFM100",0.264393404617076,0,0
"REF_MFM","AFM100",0.0925620801654153,0,0
"REF_SFM","AFM100",0.17650077791299,0,0
