"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0619529311938591,0,0
"RCP2.6_SFM","noAFM",0.0619452933200801,0,0
"REF_MFM","noAFM",0.0313524057646405,0,0
"REF_SFM","noAFM",0.0313798267763914,0,0
"RCP2.6_MFM","AFMfree",0.0570417962833364,0,0
"RCP2.6_SFM","AFMfree",0.0570361702834549,0,0
"REF_MFM","AFMfree",0.0284292517347625,0,0
"REF_SFM","AFMfree",0.0290702554018765,0,0
"RCP2.6_MFM","AFM25",0.0560845902917609,0,0
"RCP2.6_SFM","AFM25",0.0561502391407745,0,0
"REF_MFM","AFM25",0.0288811310375329,0,0
"REF_SFM","AFM25",0.0296806643175105,0,0
"RCP2.6_MFM","AFM50",0.054766193057108,0,0
"RCP2.6_SFM","AFM50",0.0549674167697267,0,0
"REF_MFM","AFM50",0.0285274677999713,0,0
"REF_SFM","AFM50",0.0283305564982893,0,0
"RCP2.6_MFM","AFM75",0.0538697424329458,0,0
"RCP2.6_SFM","AFM75",0.0532623070319778,0,0
"REF_MFM","AFM75",0.0274217343011692,0,0
"REF_SFM","AFM75",0.0263032274279339,0,0
"RCP2.6_MFM","AFM100",0.0526946803183021,0,0
"RCP2.6_SFM","AFM100",0.0518420506000829,0,0
"REF_MFM","AFM100",0.026429687447083,0,0
"REF_SFM","AFM100",0.0245583828257206,0,0
