"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0.00351161635938442
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",0.0412666887492755
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.026717277986377
"RCP2.6_MFM","noAFM","Annual_crops",0.0086743015852725
"RCP2.6_MFM","noAFM","Pasture",0.0603784788988639
"RCP2.6_MFM","noAFM","Permanent_crops",0.0652731327458125
"RCP2.6_MFM","noAFM","Urban",0.0171391812144492
"RCP2.6_SFM","noAFM","Afforestation",0.00351150902574484
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",0.0412590472780642
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.0267163763884382
"RCP2.6_SFM","noAFM","Annual_crops",0.0086740929020497
"RCP2.6_SFM","noAFM","Pasture",0.0603756900152195
"RCP2.6_SFM","noAFM","Permanent_crops",0.0652725703418094
"RCP2.6_SFM","noAFM","Urban",0.017138865226131
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",0.0311754755398199
"REF_MFM","noAFM","Energy_crops_and_plantations",0.00628688848776018
"REF_MFM","noAFM","Annual_crops",0.0627933298634411
"REF_MFM","noAFM","Pasture",0.0684290941181929
"REF_MFM","noAFM","Permanent_crops",0.0668838262859115
"REF_MFM","noAFM","Urban",0.0182460883112699
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",0.0311930743018498
"REF_SFM","noAFM","Energy_crops_and_plantations",0.00629759497948746
"REF_SFM","noAFM","Annual_crops",0.0627772395364451
"REF_SFM","noAFM","Pasture",0.0684292913765079
"REF_SFM","noAFM","Permanent_crops",0.0668833285898462
"REF_SFM","noAFM","Urban",0.0182454033892681
"RCP2.6_MFM","AFMfree","Afforestation",0.00349015080829177
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",0.0370938401138903
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.0260566718053452
"RCP2.6_MFM","AFMfree","Annual_crops",0.00873814544889904
"RCP2.6_MFM","AFMfree","Pasture",0.0603104374072848
"RCP2.6_MFM","AFMfree","Permanent_crops",0.0649465737684193
"RCP2.6_MFM","AFMfree","Urban",0.0170260551102904
"RCP2.6_SFM","AFMfree","Afforestation",0.003490064212207
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",0.0370966920552824
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.0260203872037272
"RCP2.6_SFM","AFMfree","Annual_crops",0.00871596447662543
"RCP2.6_SFM","AFMfree","Pasture",0.0603218951748778
"RCP2.6_SFM","AFMfree","Permanent_crops",0.064957738035756
"RCP2.6_SFM","AFMfree","Urban",0.0170298711370876
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",0.028688443347249
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.00601622787606277
"REF_MFM","AFMfree","Annual_crops",0.0625436862358615
"REF_MFM","AFMfree","Pasture",0.0683182196621435
"REF_MFM","AFMfree","Permanent_crops",0.0665934300399046
"REF_MFM","AFMfree","Urban",0.0181565242387034
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Forest",0.0291469598609023
"REF_SFM","AFMfree","Energy_crops_and_plantations",0.00602925252684904
"REF_SFM","AFMfree","Annual_crops",0.0626393776796367
"REF_SFM","AFMfree","Pasture",0.0683666357784386
"REF_SFM","AFMfree","Permanent_crops",0.0666690160291315
"REF_SFM","AFMfree","Urban",0.0181726876966016
"RCP2.6_MFM","AFM25","Afforestation",0.00348300969157947
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Forest",0.0357001561116453
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",0.0263918905316047
"RCP2.6_MFM","AFM25","Annual_crops",0.00855184722375669
"RCP2.6_MFM","AFM25","Pasture",0.0601480195369539
"RCP2.6_MFM","AFM25","Permanent_crops",0.0648717044557756
"RCP2.6_MFM","AFM25","Urban",0.0170031050472317
"RCP2.6_SFM","AFM25","Afforestation",0.00348274940461228
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Forest",0.035464578786176
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",0.0268311318513669
"RCP2.6_SFM","AFM25","Annual_crops",0.00842859099805477
"RCP2.6_SFM","AFM25","Pasture",0.0600005052137571
"RCP2.6_SFM","AFM25","Permanent_crops",0.0648850830811611
"RCP2.6_SFM","AFM25","Urban",0.0170085624413434
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Forest",0.0289866412589869
"REF_MFM","AFM25","Energy_crops_and_plantations",0.0060650437034186
"REF_MFM","AFM25","Annual_crops",0.0626598951036687
"REF_MFM","AFM25","Pasture",0.0683470006584501
"REF_MFM","AFM25","Permanent_crops",0.0667850190818226
"REF_MFM","AFM25","Urban",0.0181485673595823
"REF_SFM","AFM25","Afforestation",0
"REF_SFM","AFM25","Regrowth",0
"REF_SFM","AFM25","Forest",0.0297144995857132
"REF_SFM","AFM25","Energy_crops_and_plantations",0.00617091456414657
"REF_SFM","AFM25","Annual_crops",0.0627579634857447
"REF_SFM","AFM25","Pasture",0.0684726941528544
"REF_SFM","AFM25","Permanent_crops",0.0669027446471086
"REF_SFM","AFM25","Urban",0.018201700236675
"RCP2.6_MFM","AFM50","Afforestation",0.00347688757823805
"RCP2.6_MFM","AFM50","Regrowth",0
"RCP2.6_MFM","AFM50","Forest",0.0340020117476973
"RCP2.6_MFM","AFM50","Energy_crops_and_plantations",0.0267001508329979
"RCP2.6_MFM","AFM50","Annual_crops",0.0084677627584838
"RCP2.6_MFM","AFM50","Pasture",0.0599623857128019
"RCP2.6_MFM","AFM50","Permanent_crops",0.0648160195284815
"RCP2.6_MFM","AFM50","Urban",0.0169748008833261
"RCP2.6_SFM","AFM50","Afforestation",0.00347587915921131
"RCP2.6_SFM","AFM50","Regrowth",0
"RCP2.6_SFM","AFM50","Forest",0.0337551661416991
"RCP2.6_SFM","AFM50","Energy_crops_and_plantations",0.0275860562881798
"RCP2.6_SFM","AFM50","Annual_crops",0.00818644939622913
"RCP2.6_SFM","AFM50","Pasture",0.0597082193301118
"RCP2.6_SFM","AFM50","Permanent_crops",0.0648244393899234
"RCP2.6_SFM","AFM50","Urban",0.0169872375980889
"REF_MFM","AFM50","Afforestation",0
"REF_MFM","AFM50","Regrowth",0
"REF_MFM","AFM50","Forest",0.0284588964335818
"REF_MFM","AFM50","Energy_crops_and_plantations",0.00614913794942923
"REF_MFM","AFM50","Annual_crops",0.0626867285391252
"REF_MFM","AFM50","Pasture",0.0684204588860103
"REF_MFM","AFM50","Permanent_crops",0.0668720247049026
"REF_MFM","AFM50","Urban",0.0181655343831843
"REF_SFM","AFM50","Afforestation",0
"REF_SFM","AFM50","Regrowth",0
"REF_SFM","AFM50","Forest",0.0282297939006479
"REF_SFM","AFM50","Energy_crops_and_plantations",0.0065837421871547
"REF_SFM","AFM50","Annual_crops",0.0624770891945211
"REF_SFM","AFM50","Pasture",0.068249640025781
"REF_SFM","AFM50","Permanent_crops",0.0668073499779508
"REF_SFM","AFM50","Urban",0.0181816799294351
"RCP2.6_MFM","AFM75","Afforestation",0.00347591288250418
"RCP2.6_MFM","AFM75","Regrowth",0
"RCP2.6_MFM","AFM75","Forest",0.0324990586871896
"RCP2.6_MFM","AFM75","Energy_crops_and_plantations",0.027249868783018
"RCP2.6_MFM","AFM75","Annual_crops",0.00825286669035165
"RCP2.6_MFM","AFM75","Pasture",0.0599652994636199
"RCP2.6_MFM","AFM75","Permanent_crops",0.0649994315626877
"RCP2.6_MFM","AFM75","Urban",0.0170086480825642
"RCP2.6_SFM","AFM75","Afforestation",0.0034688286309507
"RCP2.6_SFM","AFM75","Regrowth",0
"RCP2.6_SFM","AFM75","Forest",0.0319230544742756
"RCP2.6_SFM","AFM75","Energy_crops_and_plantations",0.0280952887362165
"RCP2.6_SFM","AFM75","Annual_crops",0.00803634905818346
"RCP2.6_SFM","AFM75","Pasture",0.0594862443114406
"RCP2.6_SFM","AFM75","Permanent_crops",0.0647611332768957
"RCP2.6_SFM","AFM75","Urban",0.0169642130314796
"REF_MFM","AFM75","Afforestation",0
"REF_MFM","AFM75","Regrowth",0
"REF_MFM","AFM75","Forest",0.027137942604541
"REF_MFM","AFM75","Energy_crops_and_plantations",0.0063040073236138
"REF_MFM","AFM75","Annual_crops",0.0627499314764642
"REF_MFM","AFM75","Pasture",0.068482586453563
"REF_MFM","AFM75","Permanent_crops",0.0670657534243753
"REF_MFM","AFM75","Urban",0.0181832735852539
"REF_SFM","AFM75","Afforestation",0
"REF_SFM","AFM75","Regrowth",0
"REF_SFM","AFM75","Forest",0.0260874752033174
"REF_SFM","AFM75","Energy_crops_and_plantations",0.00710470063337469
"REF_SFM","AFM75","Annual_crops",0.0619375725922667
"REF_SFM","AFM75","Pasture",0.0680694032579356
"REF_SFM","AFM75","Permanent_crops",0.0666311880860058
"REF_SFM","AFM75","Urban",0.0181725819544795
"RCP2.6_MFM","AFM100","Afforestation",0.00348176900200123
"RCP2.6_MFM","AFM100","Regrowth",0
"RCP2.6_MFM","AFM100","Forest",0.0309907808322526
"RCP2.6_MFM","AFM100","Energy_crops_and_plantations",0.0275696932032683
"RCP2.6_MFM","AFM100","Annual_crops",0.00827752834147944
"RCP2.6_MFM","AFM100","Pasture",0.0601765674351598
"RCP2.6_MFM","AFM100","Permanent_crops",0.0653848131656523
"RCP2.6_MFM","AFM100","Urban",0.0170712093689101
"RCP2.6_SFM","AFM100","Afforestation",0.00346305438992427
"RCP2.6_SFM","AFM100","Regrowth",0
"RCP2.6_SFM","AFM100","Forest",0.0304986609839181
"RCP2.6_SFM","AFM100","Energy_crops_and_plantations",0.0287892081442032
"RCP2.6_SFM","AFM100","Annual_crops",0.00791510642783502
"RCP2.6_SFM","AFM100","Pasture",0.0592654674342584
"RCP2.6_SFM","AFM100","Permanent_crops",0.0647242315119816
"RCP2.6_SFM","AFM100","Urban",0.0169429293646076
"REF_MFM","AFM100","Afforestation",0
"REF_MFM","AFM100","Regrowth",0
"REF_MFM","AFM100","Forest",0.0259132811785864
"REF_MFM","AFM100","Energy_crops_and_plantations",0.00651944963851445
"REF_MFM","AFM100","Annual_crops",0.0629124043549275
"REF_MFM","AFM100","Pasture",0.0686506722041176
"REF_MFM","AFM100","Permanent_crops",0.0674537781298552
"REF_MFM","AFM100","Urban",0.0182056492115459
"REF_SFM","AFM100","Afforestation",0
"REF_SFM","AFM100","Regrowth",0
"REF_SFM","AFM100","Forest",0.0245738482436606
"REF_SFM","AFM100","Energy_crops_and_plantations",0.00752686677173231
"REF_SFM","AFM100","Annual_crops",0.0614322802579579
"REF_SFM","AFM100","Pasture",0.0677854959524842
"REF_SFM","AFM100","Permanent_crops",0.0664916350509094
"REF_SFM","AFM100","Urban",0.0181073138648303
