"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",10.6586091635381,0,0,"2020"
"REF",10.6630075646217,0,0,"2020"
"RCP2.6",10.564360682309,0,0,"2030"
"REF",11.128879304207,0,0,"2030"
"RCP2.6",10.6104665122366,0,0,"2040"
"REF",11.4829660292747,0,0,"2040"
"RCP2.6",10.6293505480699,0,0,"2050"
"REF",11.7551052974137,0,0,"2050"
"RCP2.6",10.6217408639545,0,0,"2060"
"REF",12.0030973969399,0,0,"2060"
"RCP2.6",10.6593529876091,0,0,"2070"
"REF",12.184044826344,0,0,"2070"
"RCP2.6",10.7598678902126,0,0,"2080"
"REF",12.2844308373242,0,0,"2080"
"RCP2.6",10.8222043971845,0,0,"2090"
"REF",12.3409130518126,0,0,"2090"
"RCP2.6",10.7409447303704,0,0,"2100"
"REF",12.3657551665641,0,0,"2100"
