"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","ANZ","2000",0,0,0,0,0.0482443830917378,0.0352901152607848,0.365689579076599,0.0122277488835326,0,5.028644860964e-05,0,0,7.12837225821416e-09,0,0,0,0,0,0,0,0,0,0,0.0312165527965497,0,0.00524310179292336,0,0.0119283775170013
"RCP_MFM_AF0","ANZ","2010",0,0,0,0,0.0508474979857893,0.0353469160531762,0.371048081068779,0.0123039364838476,0,8.87851840599049e-05,0,0,7.29448308149684e-09,0,0,0,0,0,0,0,0,0,1.40643238748625e-05,0.0277941397757037,0,0.00569708167647259,0,0.0158671459998614
"RCP_MFM_AF0","ANZ","2020",0,0,0,0,0.0542064949266857,0.0354924010344102,0.376626079453634,0.0123867222587836,0,0.000164197806009948,0,0,7.32187483296128e-09,0,0,0,0,0,0,0,0,0,2.31026459422205e-05,0.0248218221547268,0,0.00604150171031679,0,0.0177371920041961
"RCP_MFM_AF0","ANZ","2030",0,0,0,0,0.0538536767430719,0.0354100551969286,0.365622847929023,0.0123238298893619,0,0.000163917703971337,0,0,7.62898278001376e-09,0,0,0,0,0,0,5.53579406086348e-09,0,0,5.1490387092351e-05,0.0248823530512742,0,0.0063093207089893,0,0.0193441957941315
"RCP_MFM_AF0","ANZ","2040",0,0,0,0,0.0540408187318092,0.0354985349973663,0.365091679695223,0.0123343650662191,0,0.000164246612072545,0,0,7.88503287105199e-09,0,0,0,0,0,0,5.81775188948238e-09,0,0,8.70935281517513e-05,0.0249550254979355,0,0.00636709241637208,0,0.020577745396912
"RCP_MFM_AF0","ANZ","2050",0,0,0,0,0.0538072872205118,0.0355512130481507,0.363417390866947,0.0123334025275146,0,0.000164355923309306,0,0,7.91145127561745e-09,0,0,0,0,0,0,1.27990233089416e-08,2.85827937171078e-10,0,0.000135941445525724,0.024422652954578,0,0.00656169460578262,0,0.0220388991626844
"RCP_MFM_AF0","ANZ","2060",0,0,0,0,0.0549415105502084,0.0354453631791542,0.353995657780894,0.0122869913147301,0,0.00016392022803681,0,0,1.25569703788478e-08,0,0,0,0,0,0,1.31053956881387e-08,1.72777361245622e-09,0,0.000195288745112224,0.023712972539022,0,0.00672590194995657,0,0.0233237538899355
"RCP_MFM_AF0","ANZ","2070",0,0,0,0,0.0569279260782135,0.0353517873554659,0.337929395300458,0.0122281048027763,0,0.000163366369320794,0,0,1.19614346726378e-08,0,0,0,0,0,0,8.18740915163412e-05,4.75732862708455e-09,0,0.000218044131513704,0.0229194496539874,0,0.00687785428337697,0,0.0248911706568178
"RCP_MFM_AF0","ANZ","2080",0,0,0,0,0.0555120970132974,0.035552986533461,0.317456382258983,0.01229570467867,0,0.000163512032065655,0,0,1.09859756990602e-08,0,0,0,0,0,0,0.010576472848724,6.45084134110423e-07,0,0.000244537284171598,0.020545592268652,0,0.00759574001506423,0,0.0303317518498388
"RCP_MFM_AF0","ANZ","2090",0,0,0,0,0.0551299064848009,0.0360291631547012,0.292328666507027,0.0124628993691703,0,0.000166747175355721,0,0,1.7799124161331e-08,0,0,0,0,0,0,0.0297054337639282,6.71991695475422e-07,0,0.000271610092037297,0.0154352725005286,0,0.0091818587433164,0,0.0432713755769662
"RCP_MFM_AF0","ANZ","2100",0,0,0,0,0.044891668315963,0.0360622756873073,0.274279037130635,0.012413563911477,0,0.000169382684490016,0,0,1.83372668697005e-08,0,0,0,0,0,0,0.0396328131762065,6.35774249760991e-07,0,0.00117234966740568,0.00836423298227239,0,0.0113094594988684,0,0.0606170764171273
"RCP_MFM_AF0","ArgentinaReg","2000",0,0,0,0,0.0292838908221147,0.00773791789645058,0.13126002671652,0.00185382561505331,0,7.0707313143468e-05,0,0,6.55709745286365e-05,0,0,0,0,0,0,0,0,0,0,0.00609393253791113,0,0.00364557171819297,0,0.0138922003611442
