"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.0450682139136928
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.0569051639196105
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.0496256236679628
"RCP2.6_MFM","noAFM","Import_Forest",0.114631390766464
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.0450662166668374
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.0568931272094306
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.0493762301071165
"RCP2.6_SFM","noAFM","Import_Forest",0.115619047894414
"REF_MFM","noAFM","EU28_Energy_crops",0.0103560339310921
"REF_MFM","noAFM","EU28_Forest_net",0.0393026046049573
"REF_MFM","noAFM","Import_Energy_plantations",0.00512538950964814
"REF_MFM","noAFM","Import_Forest",0.0843375559767157
"REF_SFM","noAFM","EU28_Energy_crops",0.0103761549264927
"REF_SFM","noAFM","EU28_Forest_net",0.0393278390449115
"REF_SFM","noAFM","Import_Energy_plantations",0.00547301467708265
"REF_SFM","noAFM","Import_Forest",0.0855608325415021
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.0439923500695932
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.0503722453544422
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.0445341430807692
"RCP2.6_MFM","AFMfree","Import_Forest",0.0822915959355597
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.0439129933207803
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.0504536121251851
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.0422508434940062
"RCP2.6_SFM","AFMfree","Import_Forest",0.0821598426522211
"REF_MFM","AFMfree","EU28_Energy_crops",0.00992477476406148
"REF_MFM","AFMfree","EU28_Forest_net",0.0352571803623464
"REF_MFM","AFMfree","Import_Energy_plantations",0.00544191579660416
"REF_MFM","AFMfree","Import_Forest",0.0527900565970489
"REF_SFM","AFMfree","EU28_Energy_crops",0.00995037563364681
"REF_SFM","AFMfree","EU28_Forest_net",0.0365215724184745
"REF_SFM","AFMfree","Import_Energy_plantations",0.00498421484901625
"REF_SFM","AFMfree","Import_Forest",0.0547223167977096
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.0445342850503326
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.0481975510027912
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.0504056803684816
"RCP2.6_MFM","AFM25","Import_Forest",0.0835374000265474
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.0452812097153697
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.0477189743293414
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.0570018328070924
"RCP2.6_SFM","AFM25","Import_Forest",0.102022256557652
"REF_MFM","AFM25","EU28_Energy_crops",0.0100072099590248
"REF_MFM","AFM25","EU28_Forest_net",0.0363059248659276
"REF_MFM","AFM25","Import_Energy_plantations",0.00513487619553654
"REF_MFM","AFM25","Import_Forest",0.0548588447264531
"REF_SFM","AFM25","EU28_Energy_crops",0.010174507403186
"REF_SFM","AFM25","EU28_Forest_net",0.0377998120496833
"REF_SFM","AFM25","Import_Energy_plantations",0.00583364094908154
"REF_SFM","AFM25","Import_Forest",0.0658446288518615
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.0450732166618781
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.0454541187915059
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.0564075824770189
"RCP2.6_MFM","AFM50","Import_Forest",0.0904027972229953
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.0466024767821104
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.0446203820049891
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.0696077778561161
"RCP2.6_SFM","AFM50","Import_Forest",0.149079411932751
"REF_MFM","AFM50","EU28_Energy_crops",0.0101437501624245
"REF_MFM","AFM50","EU28_Forest_net",0.0357455142350723
"REF_MFM","AFM50","Import_Energy_plantations",0.00573029010748285
"REF_MFM","AFM50","Import_Forest",0.0586915438994782
"REF_SFM","AFM50","EU28_Energy_crops",0.010836516406028
"REF_SFM","AFM50","EU28_Forest_net",0.0349491283762474
"REF_SFM","AFM50","Import_Energy_plantations",0.00659838333894442
"REF_SFM","AFM50","Import_Forest",0.110490989009953
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.0460044590107665
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.0429714742649277
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.0607985571717703
"RCP2.6_MFM","AFM75","Import_Forest",0.109577532095595
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.0474380928798738
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.0409952609808998
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.0828677398339742
"RCP2.6_SFM","AFM75","Import_Forest",0.176073367185863
"REF_MFM","AFM75","EU28_Energy_crops",0.0103818668277722
"REF_MFM","AFM75","EU28_Forest_net",0.033584629175535
"REF_MFM","AFM75","Import_Energy_plantations",0.00551550626206139
"REF_MFM","AFM75","Import_Forest",0.0723701224847491
"REF_SFM","AFM75","EU28_Energy_crops",0.0117432996844417
"REF_SFM","AFM75","EU28_Forest_net",0.0306321242412612
"REF_SFM","AFM75","Import_Energy_plantations",0.0101094246555957
"REF_SFM","AFM75","Import_Forest",0.150887553061725
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0.0465758669405223
"RCP2.6_MFM","AFM100","EU28_Forest_net",0.0402984531009481
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0.0688669030117818
"RCP2.6_MFM","AFM100","Import_Forest",0.118365103212717
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0.0485222363729381
"RCP2.6_SFM","AFM100","EU28_Forest_net",0.0373974935025094
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0.0909848746102133
"RCP2.6_SFM","AFM100","Import_Forest",0.215723134560028
"REF_MFM","AFM100","EU28_Energy_crops",0.0107421029594104
"REF_MFM","AFM100","EU28_Forest_net",0.0314046815317587
"REF_MFM","AFM100","Import_Energy_plantations",0.00673702872541083
"REF_MFM","AFM100","Import_Forest",0.0878458492509055
"REF_SFM","AFM100","EU28_Energy_crops",0.0124575947612495
"REF_SFM","AFM100","EU28_Forest_net",0.0270207148990107
"REF_SFM","AFM100","Import_Energy_plantations",0.0152109255239406
"REF_SFM","AFM100","Import_Forest",0.205070780783308
