"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.26623039226773,0,0
"RCP2.6_SFM","noAFM",0.266954621877799,0,0
"REF_MFM","noAFM",0.139121584022413,0,0
"REF_SFM","noAFM",0.140737841189989,0,0
"RCP2.6_MFM","AFMfree",0.221190334440364,0,0
"RCP2.6_SFM","AFMfree",0.218777291592193,0,0
"REF_MFM","AFMfree",0.103413927520061,0,0
"REF_SFM","AFMfree",0.106178479698847,0,0
"RCP2.6_MFM","AFM25",0.226674916448153,0,0
"RCP2.6_SFM","AFM25",0.252024273409455,0,0
"REF_MFM","AFM25",0.106306855746942,0,0
"REF_SFM","AFM25",0.119652589253812,0,0
"RCP2.6_MFM","AFM50",0.237337715153398,0,0
"RCP2.6_SFM","AFM50",0.309910048575966,0,0
"REF_MFM","AFM50",0.110311098404458,0,0
"REF_SFM","AFM50",0.162875017131173,0,0
"RCP2.6_MFM","AFM75",0.259352022543059,0,0
"RCP2.6_SFM","AFM75",0.347374460880611,0,0
"REF_MFM","AFM75",0.121852124750118,0,0
"REF_SFM","AFM75",0.203372401643023,0,0
"RCP2.6_MFM","AFM100",0.274106326265969,0,0
"RCP2.6_SFM","AFM100",0.392627739045689,0,0
"REF_MFM","AFM100",0.136729662467485,0,0
"REF_SFM","AFM100",0.259760015967508,0,0
