"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",14.9144972551935,0,0
"RCP2.6_SFM","noAFM",14.9150764964057,0,0
"REF_MFM","noAFM",17.23332720678,0,0
"REF_SFM","noAFM",17.2338876094837,0,0
"RCP2.6_MFM","AFMfree",14.8879529664134,0,0
"RCP2.6_SFM","AFMfree",14.8874220256942,0,0
"REF_MFM","AFMfree",17.2074083955854,0,0
"REF_SFM","AFMfree",17.2098958624245,0,0
"RCP2.6_MFM","AFM25",14.8856320944959,0,0
"RCP2.6_SFM","AFM25",14.8955401056522,0,0
"REF_MFM","AFM25",17.2102282495124,0,0
"REF_SFM","AFM25",17.218248278451,0,0
"RCP2.6_MFM","AFM50",14.8869623774697,0,0
"RCP2.6_SFM","AFM50",14.9228778934306,0,0
"REF_MFM","AFM50",17.2114735095638,0,0
"REF_SFM","AFM50",17.2449012435711,0,0
"RCP2.6_MFM","AFM75",14.8976036143468,0,0
"RCP2.6_SFM","AFM75",14.9324112850714,0,0
"REF_MFM","AFM75",17.219608361724,0,0
"REF_SFM","AFM75",17.2601115090423,0,0
"RCP2.6_MFM","AFM100",14.9027885033993,0,0
"RCP2.6_SFM","AFM100",14.9537014920375,0,0
"REF_MFM","AFM100",17.2278360030973,0,0
"REF_SFM","AFM100",17.2895220002245,0,0
