"Group","Scenario","Year","Category","PDFx100"
"RCP2.6","noAFM","2020","Afforestation",0.0713686490271832
"RCP2.6","noAFM","2020","Regrowth",0.520601334304826
"RCP2.6","noAFM","2020","Forest",1.21451905635842
"RCP2.6","noAFM","2020","Energy_crops_and_plantations",0.0454692882542761
"RCP2.6","noAFM","2020","Annual_crops",2.95588715318876
"RCP2.6","noAFM","2020","Pasture",7.3332978038524
"RCP2.6","noAFM","2020","Permanent_crops",1.796162541295
"RCP2.6","noAFM","2020","Urban",0.879277711257162
"REF","noAFM","2020","Afforestation",0.0694988583580837
"REF","noAFM","2020","Regrowth",0.520705425326299
"REF","noAFM","2020","Forest",1.21527992156439
"REF","noAFM","2020","Energy_crops_and_plantations",0.0455023379295604
"REF","noAFM","2020","Annual_crops",2.95779956150434
"REF","noAFM","2020","Pasture",7.33656370294581
"REF","noAFM","2020","Permanent_crops",1.79813070849298
"REF","noAFM","2020","Urban",0.880115805855601
"RCP2.6","noAFM","2030","Afforestation",0.112046192357527
"RCP2.6","noAFM","2030","Regrowth",0.502583060352155
"RCP2.6","noAFM","2030","Forest",1.31311372779239
"RCP2.6","noAFM","2030","Energy_crops_and_plantations",0.310707852960444
"RCP2.6","noAFM","2030","Annual_crops",2.921488392996
"RCP2.6","noAFM","2030","Pasture",6.85643919315235
"RCP2.6","noAFM","2030","Permanent_crops",1.7991429034592
"RCP2.6","noAFM","2030","Urban",0.87912619119485
"REF","noAFM","2030","Afforestation",0.115299230934162
"REF","noAFM","2030","Regrowth",0.487011819333631
"REF","noAFM","2030","Forest",1.31265007715965
"REF","noAFM","2030","Energy_crops_and_plantations",0.13748022242567
"REF","noAFM","2030","Annual_crops",3.13332134479643
"REF","noAFM","2030","Pasture",7.59691957656172
"REF","noAFM","2030","Permanent_crops",1.81705072879754
"REF","noAFM","2030","Urban",0.888086556460894
"RCP2.6","noAFM","2040","Afforestation",0.144294762023896
"RCP2.6","noAFM","2040","Regrowth",0.484924730276286
"RCP2.6","noAFM","2040","Forest",1.40396521529672
"RCP2.6","noAFM","2040","Energy_crops_and_plantations",0.400227567578364
"RCP2.6","noAFM","2040","Annual_crops",2.99185164909074
"RCP2.6","noAFM","2040","Pasture",6.65406582724268
"RCP2.6","noAFM","2040","Permanent_crops",1.80430756170902
"RCP2.6","noAFM","2040","Urban",0.880343611108071
"REF","noAFM","2040","Afforestation",0.14775451065218
