Group,Scenario,PDFx100,lower95,upper95
RCP2.6_MFM,noAFM,0.061952931,0.037132287,0.091889109
RCP2.6_SFM,noAFM,0.061945293,0.037128838,0.091879416
REF_MFM,noAFM,0.031352406,0.012848283,0.047845628
REF_SFM,noAFM,0.031379827,0.012867927,0.047882802
RCP2.6_MFM,AFMfree,0.057041796,0.03198271,0.083753775
RCP2.6_SFM,AFMfree,0.05703617,0.032063983,0.083791194
REF_MFM,AFMfree,0.028429252,0.009887453,0.042964441
REF_SFM,AFMfree,0.029070255,0.011064821,0.044179868
RCP2.6_MFM,AFM25,0.05608459,0.031427662,0.082043435
RCP2.6_SFM,AFM25,0.056150239,0.032734028,0.081988198
REF_MFM,AFM25,0.028881131,0.009847953,0.044117626
REF_SFM,AFM25,0.029680664,0.011756378,0.045574136
RCP2.6_MFM,AFM50,0.054766193,0.030655318,0.079758218
RCP2.6_SFM,AFM50,0.054967417,0.033203117,0.079709814
REF_MFM,AFM50,0.028527468,0.009290452,0.043685789
REF_SFM,AFM50,0.028330556,0.011946287,0.043102071
RCP2.6_MFM,AFM75,0.053869742,0.030243048,0.078046239
RCP2.6_SFM,AFM75,0.053262307,0.03343366,0.076664987
REF_MFM,AFM75,0.027421734,0.008617245,0.0417754
REF_SFM,AFM75,0.026303227,0.01189573,0.039279295
RCP2.6_MFM,AFM100,0.05269468,0.029724173,0.075837152
RCP2.6_SFM,AFM100,0.051842051,0.033980711,0.073873736
REF_MFM,AFM100,0.026429687,0.008163468,0.039923366
REF_SFM,AFM100,0.024558383,0.012392844,0.036070557
