"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.222960677539435,0,0
"RCP2.6_SFM","noAFM",0.222948151177457,0,0
"REF_MFM","noAFM",0.253814702606396,0,0
"REF_SFM","noAFM",0.253825932173404,0,0
"RCP2.6_MFM","AFMfree",0.217661874462421,0,0
"RCP2.6_SFM","AFMfree",0.217632612295563,0,0
"REF_MFM","AFMfree",0.250316531399925,0,0
"REF_SFM","AFMfree",0.25102392957156,0,0
"RCP2.6_MFM","AFM25",0.216149732598547,0,0
"RCP2.6_SFM","AFM25",0.216101201776472,0,0
"REF_MFM","AFM25",0.250992167165929,0,0
"REF_SFM","AFM25",0.252220516672242,0,0
"RCP2.6_MFM","AFM50",0.214400019042027,0,0
"RCP2.6_SFM","AFM50",0.214523447303443,0,0
"REF_MFM","AFM50",0.250752780896233,0,0
"REF_SFM","AFM50",0.250529295215491,0,0
"RCP2.6_MFM","AFM75",0.213451086151935,0,0
"RCP2.6_SFM","AFM75",0.212735111519442,0,0
"REF_MFM","AFM75",0.249923494867811,0,0
"REF_SFM","AFM75",0.24800292172738,0,0
"RCP2.6_MFM","AFM100",0.212952361348724,0,0
"RCP2.6_SFM","AFM100",0.211598658256728,0,0
"REF_MFM","AFM100",0.249655234717547,0,0
"REF_SFM","AFM100",0.245917440141575,0,0
