"Group","PDF","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.000697513744864748,0.000103732160323641,0.000985057226049541,"noAFM","2020"
"RCP2.6_SFM",0.000699055390332489,0.000103088061653185,0.000987020936501013,"noAFM","2020"
"REF_MFM",0.00070340806779743,0.000105365316680046,0.00099566631234852,"noAFM","2020"
"REF_SFM",0.000704016631112396,0.000103535476831484,0.000996017009903775,"noAFM","2020"
"RCP2.6_MFM",0.000699404871063553,0.000104102961442366,0.000988234439501715,"AFMfree","2020"
"RCP2.6_SFM",0.00072129359619986,0.000311116587354441,0.00106740359693512,"AFMfree","2020"
"REF_MFM",0.000710347056861921,0.000105179477005011,0.00100733162350574,"AFMfree","2020"
"REF_SFM",0.000764894337145957,0.000131420275634491,0.00107917622355019,"AFMfree","2020"
"RCP2.6_MFM",0.000697608192568809,0.000103816069874951,0.000985254072324436,"AFM25","2020"
"RCP2.6_SFM",0.00075294141219532,0.000128561631580569,0.0010580528282007,"AFM25","2020"
"REF_MFM",0.00070906678162759,0.000105349710370565,0.00100525628774165,"AFM25","2020"
"REF_SFM",0.000763469206451305,0.000131464741298026,0.00107645659151307,"AFM25","2020"
"RCP2.6_MFM",0.000699004476647624,0.000102866926369826,0.000986994171983163,"AFM50","2020"
"RCP2.6_SFM",0.000747882068284144,0.000127902376458008,0.00104930557425332,"AFM50","2020"
"REF_MFM",0.000708029947027155,0.000104777624229036,0.00100309090404484,"AFM50","2020"
"REF_SFM",0.000755139699496494,0.000128456929122312,0.0010608176144368,"AFM50","2020"
"RCP2.6_MFM",0.000697035252782075,0.000103398238622296,0.000983922754925228,"AFM75","2020"
"RCP2.6_SFM",0.000741469002258615,0.000125293032569715,0.00103713140643288,"AFM75","2020"
"REF_MFM",0.000705666620033817,0.000105652228203433,0.00099970350461776,"AFM75","2020"
"REF_SFM",0.000747487056029467,0.000125809368473927,0.00104615245733563,"AFM75","2020"
"RCP2.6_MFM",0.000697496302216611,0.000102110973224914,0.000984325998556125,"AFM100","2020"
"RCP2.6_SFM",0.000731933630095667,0.000121887515106088,0.00101911768668005,"AFM100","2020"
"REF_MFM",0.000702544552714472,0.000103596361933688,0.000993171328260277,"AFM100","2020"
"REF_SFM",0.000737882354873328,0.00012406123012894,0.00102842359514533,"AFM100","2020"
"RCP2.6_MFM",0.000774931678766637,9.9642445867301e-05,0.00107828119596552,"noAFM","2030"
"RCP2.6_SFM",0.000771215447136774,0.000104659478976796,0.00107404690351541,"noAFM","2030"
"REF_MFM",0.000743115733141812,9.57108282497843e-05,0.00104251508301987,"noAFM","2030"
"REF_SFM",0.000737612230713839,9.757224364906e-05,0.00103606657265477,"noAFM","2030"
"RCP2.6_MFM",0.000763748481626048,9.98818399279385e-05,0.00105113434218497,"AFMfree","2030"
"RCP2.6_SFM",0.00076694789444737,0.000348147155389921,0.0011157948346817,"AFMfree","2030"
"REF_MFM",0.000740637636579881,9.3096076483992e-05,0.0010264174926407,"AFMfree","2030"
"REF_SFM",0.000773699303246134,0.000114943632261588,0.00106816256674699,"AFMfree","2030"
"RCP2.6_MFM",0.000774183372832306,0.000100094292542427,0.00105698042756573,"AFM25","2030"
"RCP2.6_SFM",0.000806261038530282,0.000116769545183076,0.00109949333179265,"AFM25","2030"
"REF_MFM",0.000747093984849181,0.000100476653877964,0.00102908879418291,"AFM25","2030"
"REF_SFM",0.000774911934609019,0.000111995988399075,0.00106587176157457,"AFM25","2030"
"RCP2.6_MFM",0.000770082271990413,9.7227549133481e-05,0.00105148702463087,"AFM50","2030"
"RCP2.6_SFM",0.000815868189903973,0.000111382957644149,0.0011080762702242,"AFM50","2030"
"REF_MFM",0.000736418490374878,9.30158622738122e-05,0.00101425259581803,"AFM50","2030"
"REF_SFM",0.000769539671416339,0.000110992498238178,0.00105496063285182,"AFM50","2030"
"RCP2.6_MFM",0.00076490099768315,8.91737538867205e-05,0.00104240436848391,"AFM75","2030"
"RCP2.6_SFM",0.000852611516893742,9.39067469032072e-05,0.00114452386795411,"AFM75","2030"
"REF_MFM",0.000732615608220002,8.97113201374342e-05,0.00100720324065814,"AFM75","2030"
"REF_SFM",0.000800237614718934,9.28098457033431e-05,0.0010832553879099,"AFM75","2030"
"RCP2.6_MFM",0.00075437148127181,7.04304446109957e-05,0.0010293413371788,"AFM100","2030"
"RCP2.6_SFM",0.000875067555642057,0.000108104391441289,0.00117428216574591,"AFM100","2030"
"REF_MFM",0.000718882063857206,7.61383337576547e-05,0.000988570835667762,"AFM100","2030"
"REF_SFM",0.000838681606727415,7.98174943469128e-05,0.00112574199109826,"AFM100","2030"
"RCP2.6_MFM",0.000852238019284677,0.000116381963989098,0.00117514176963496,"noAFM","2040"
"RCP2.6_SFM",0.000855773779208879,0.000110786076969051,0.00117912856690538,"noAFM","2040"
"REF_MFM",0.000791299665512805,8.73123737535613e-05,0.00110034200523271,"noAFM","2040"
"REF_SFM",0.000786908613650858,8.83498061094761e-05,0.00109525097265604,"noAFM","2040"
"RCP2.6_MFM",0.000887783776805434,8.4494632519708e-05,0.00119449415181614,"AFMfree","2040"
"RCP2.6_SFM",0.000881547097844302,0.000417272505630935,0.00126944497861333,"AFMfree","2040"
"REF_MFM",0.000772510785202778,7.97044010599475e-05,0.00105955065408862,"AFMfree","2040"
"REF_SFM",0.000821369830773116,9.98141879617819e-05,0.00112080084552142,"AFMfree","2040"
"RCP2.6_MFM",0.000860145845747611,9.32676441114154e-05,0.00115767526724989,"AFM25","2040"
"RCP2.6_SFM",0.000920367412983465,0.000121193112221539,0.00124001699112351,"AFM25","2040"
"REF_MFM",0.000780748759698468,8.21136449806904e-05,0.0010648227517525,"AFM25","2040"
"REF_SFM",0.00083395468815661,0.000103828311375257,0.00113709080359084,"AFM25","2040"
"RCP2.6_MFM",0.00084085223541678,9.3838632263955e-05,0.00113344455294339,"AFM50","2040"
"RCP2.6_SFM",0.00093591277328634,0.00011935410809623,0.00126074640561515,"AFM50","2040"
"REF_MFM",0.000767224017488175,7.76499610616022e-05,0.00104662704518812,"AFM50","2040"
"REF_SFM",0.000844728692370962,0.000110070744624071,0.00115140708803266,"AFM50","2040"
"RCP2.6_MFM",0.000821235977257356,9.11901400838917e-05,0.00110858314057011,"AFM75","2040"
"RCP2.6_SFM",0.00104390131066045,7.479160977687e-05,0.00137935202197809,"AFM75","2040"
"REF_MFM",0.000760898876340889,7.16488982908996e-05,0.00103632242762153,"AFM75","2040"
"REF_SFM",0.000905822107578485,8.38968139560202e-05,0.00121340135483709,"AFM75","2040"
"RCP2.6_MFM",0.000837172527312406,5.23359985818237e-05,0.00112404811324981,"AFM100","2040"
"RCP2.6_SFM",0.00110059528914878,0.00010763989616444,0.00145828239993591,"AFM100","2040"
"REF_MFM",0.000745716176547501,4.8442431826989e-05,0.00101292239594033,"AFM100","2040"
"REF_SFM",0.00101230458517799,4.10124958314497e-05,0.00133758947805897,"AFM100","2040"
"RCP2.6_MFM",0.00109857328385593,6.42963575288652e-05,0.00147170077025069,"noAFM","2050"
"RCP2.6_SFM",0.0011429703650534,3.59723679288078e-05,0.00152236242844859,"noAFM","2050"
"REF_MFM",0.000957511298343406,2.93289403048372e-06,0.00129308204371885,"noAFM","2050"
"REF_SFM",0.000945963208203663,1.10063244092769e-05,0.00128061415527295,"noAFM","2050"
"RCP2.6_MFM",0.00104378542903087,8.06421003815583e-05,0.00139253587584743,"AFMfree","2050"
"RCP2.6_SFM",0.00104435518129373,0.000510101813709197,0.00149831328394155,"AFMfree","2050"
"REF_MFM",0.00091193318126224,3.22649769615366e-06,0.00122068869598949,"AFMfree","2050"
"REF_SFM",0.000965130794047368,1.28313874070163e-05,0.00128408440146811,"AFMfree","2050"
"RCP2.6_MFM",0.00101462512616944,8.08035026005994e-05,0.00135335602309164,"AFM25","2050"
"RCP2.6_SFM",0.00113416229097963,0.0001205929125228,0.00151276374940345,"AFM25","2050"
"REF_MFM",0.000856047453009573,3.99332532532762e-05,0.00115477455678377,"AFM25","2050"
"REF_SFM",0.000952903220436616,6.6365538601346e-05,0.00128321315209799,"AFM25","2050"
"RCP2.6_MFM",0.0010113692613947,6.25253074994496e-05,0.00134555953645693,"AFM50","2050"
"RCP2.6_SFM",0.00117007192638595,0.00012416865654256,0.00155823806964108,"AFM50","2050"
"REF_MFM",0.00084735376468734,2.87960543259681e-05,0.00113947967123948,"AFM50","2050"
"REF_SFM",0.000982514680350484,8.43766068598589e-05,0.00132310482345845,"AFM50","2050"
"RCP2.6_MFM",0.00102450968829488,4.70895708753098e-05,0.00135846474815929,"AFM75","2050"
"RCP2.6_SFM",0.00135575402734454,3.27031726032134e-05,0.00176121083164326,"AFM75","2050"
"REF_MFM",0.000831976722044363,3.0479798630212e-05,0.00112045334315232,"AFM75","2050"
"REF_SFM",0.00112890399707407,1.66931139094108e-05,0.001487264914167,"AFM75","2050"
"RCP2.6_MFM",0.00100868347599829,4.82868379219686e-05,0.00133870342060724,"AFM100","2050"
"RCP2.6_SFM",0.00143727877426338,8.16038410494973e-05,0.00187597482209481,"AFM100","2050"
"REF_MFM",0.000828448450013513,1.26454154610199e-05,0.00111094557199931,"AFM100","2050"
"REF_SFM",0.00127490244729629,-4.10594448410908e-05,0.00165220125370328,"AFM100","2050"
"RCP2.6_MFM",0.00126212004832201,8.6764805450068e-05,0.00168408929146189,"noAFM","2060"
"RCP2.6_SFM",0.0013373615476547,2.06844365905089e-05,0.00176672727360274,"noAFM","2060"
"REF_MFM",0.00100137365561242,-3.00823091303809e-05,0.00134176716981036,"noAFM","2060"
"REF_SFM",0.00101764788883847,-4.29739331209228e-05,0.00135894756510228,"noAFM","2060"
"RCP2.6_MFM",0.00113693763454726,0.000128699413609831,0.00151971078102981,"AFMfree","2060"
"RCP2.6_SFM",0.00122346283720421,0.000610341849278109,0.00175023141183053,"AFMfree","2060"
"REF_MFM",0.000930508922446974,-2.09316964777087e-05,0.00124085407322165,"AFMfree","2060"
"REF_SFM",0.00100158171098801,-5.91568445842762e-05,0.00131437720346908,"AFMfree","2060"
"RCP2.6_MFM",0.00118181687956883,5.92679008064963e-05,0.00156077624193195,"AFM25","2060"
"RCP2.6_SFM",0.0012941626570622,0.000179331158714267,0.0017258971963642,"AFM25","2060"
"REF_MFM",0.000879999986491076,-1.23088280061066e-06,0.00117834911238316,"AFM25","2060"
