"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.000646265295492079,0.000346108351536348,0.0010004036246325
"RCP2.6_SFM","noAFM",0.000646862012731072,0.000343085625842744,0.00100270761197784
"REF_MFM","noAFM",0.000358275490906323,0.00012808355796592,0.000595163854537439
"REF_SFM","noAFM",0.000358923216523413,0.000128516669123247,0.000596119743979537
"RCP2.6_MFM","AFMfree",0.000592216214311695,0.000295235757811338,0.00090442581310166
"RCP2.6_SFM","AFMfree",0.000590163361578732,0.000294246459645321,0.000900657336673172
"REF_MFM","AFMfree",0.000280882400882717,7.14586768860609e-05,0.000463650274981434
"REF_SFM","AFMfree",0.000274002125213791,6.70176994089823e-05,0.000450775604016914
"RCP2.6_MFM","AFM25",0.00055263075253001,0.000257234118901817,0.000845588292731579
"RCP2.6_SFM","AFM25",0.000572901167153186,0.000287968406011421,0.000878761539994594
"REF_MFM","AFM25",0.000258180734545303,4.67358906729056e-05,0.000425507193976463
"REF_SFM","AFM25",0.000262839114929496,6.39990467400255e-05,0.000433701407839793
"RCP2.6_MFM","AFM50",0.000527787246481835,0.000235189601321684,0.000803446707419043
"RCP2.6_SFM","AFM50",0.000579950345316165,0.000312110585602807,0.000889166650136184
"REF_MFM","AFM50",0.000234647136569252,2.23739360432849e-05,0.000385928587113735
"REF_SFM","AFM50",0.000257472377927778,7.00435198662613e-05,0.000426784091443018
"RCP2.6_MFM","AFM75",0.000500352815815388,0.000214280837668393,0.000756111282421418
"RCP2.6_SFM","AFM75",0.000594999466842185,0.000341914228770604,0.000912902028237281
"REF_MFM","AFM75",0.000217012585138566,6.35271225329787e-06,0.000355726686649016
"REF_SFM","AFM75",0.000257366066563418,8.68406434740313e-05,0.000425959911458107
"RCP2.6_MFM","AFM100",0.000483066879029775,0.000201812096628995,0.000724007793404226
"RCP2.6_SFM","AFM100",0.000593971566510066,0.000364310177761011,0.000901230054735725
"REF_MFM","AFM100",0.000209636215027326,-8.13157279331139e-06,0.000343251049065274
"REF_SFM","AFM100",0.000258707211886331,0.000110398697558081,0.000429044795350409
