"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.0231221064013399
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0
"RCP2.6_MFM","noAFM","Import_Forest",0.0149919512351311
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.0231221062850687
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0
"RCP2.6_SFM","noAFM","Import_Forest",0.0149919526213916
"REF_MFM","noAFM","EU28_Energy_crops",0
"REF_MFM","noAFM","EU28_Forest_net",0.0231174673629889
"REF_MFM","noAFM","Import_Energy_plantations",0
"REF_MFM","noAFM","Import_Forest",0.0150901348753931
"REF_SFM","noAFM","EU28_Energy_crops",0
"REF_SFM","noAFM","EU28_Forest_net",0.0231174973232057
"REF_SFM","noAFM","Import_Energy_plantations",0
"REF_SFM","noAFM","Import_Forest",0.0150887557223529
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.0231209622257795
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0
"RCP2.6_MFM","AFMfree","Import_Forest",0.0150021256840402
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.0231405083916528
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0
"RCP2.6_SFM","AFMfree","Import_Forest",0.0150025506579482
"REF_MFM","AFMfree","EU28_Energy_crops",0
"REF_MFM","AFMfree","EU28_Forest_net",0.0231170676632188
"REF_MFM","AFMfree","Import_Energy_plantations",0
"REF_MFM","AFMfree","Import_Forest",0.0151154879934306
"REF_SFM","AFMfree","EU28_Energy_crops",0
"REF_SFM","AFMfree","EU28_Forest_net",0.0232021208602444
"REF_SFM","AFMfree","Import_Energy_plantations",0
"REF_SFM","AFMfree","Import_Forest",0.0151182955212143
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.0231211405052517
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0
"RCP2.6_MFM","AFM25","Import_Forest",0.0150091835543007
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.0229868869765102
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0
"RCP2.6_SFM","AFM25","Import_Forest",0.0149929972774399
"REF_MFM","AFM25","EU28_Energy_crops",0
"REF_MFM","AFM25","EU28_Forest_net",0.0231173987217602
"REF_MFM","AFM25","Import_Energy_plantations",0
"REF_MFM","AFM25","Import_Forest",0.0151185016991072
"REF_SFM","AFM25","EU28_Energy_crops",0
"REF_SFM","AFM25","EU28_Forest_net",0.0230084520701069
"REF_SFM","AFM25","Import_Energy_plantations",0
"REF_SFM","AFM25","Import_Forest",0.0151086362132928
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.0231213302376001
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0
"RCP2.6_MFM","AFM50","Import_Forest",0.0149963047201215
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.0227802245806344
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0
"RCP2.6_SFM","AFM50","Import_Forest",0.014990195056437
"REF_MFM","AFM50","EU28_Energy_crops",0
"REF_MFM","AFM50","EU28_Forest_net",0.0231169299758753
"REF_MFM","AFM50","Import_Energy_plantations",0
"REF_MFM","AFM50","Import_Forest",0.0151076621443508
"REF_SFM","AFM50","EU28_Energy_crops",0
"REF_SFM","AFM50","EU28_Forest_net",0.0227868198601685
"REF_SFM","AFM50","Import_Energy_plantations",0
"REF_SFM","AFM50","Import_Forest",0.0150938349809961
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.0231214697004914
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0
"RCP2.6_MFM","AFM75","Import_Forest",0.0149923491917302
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.0225156511408982
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0
"RCP2.6_SFM","AFM75","Import_Forest",0.0149603111859636
"REF_MFM","AFM75","EU28_Energy_crops",0
"REF_MFM","AFM75","EU28_Forest_net",0.0231172888334679
"REF_MFM","AFM75","Import_Energy_plantations",0
"REF_MFM","AFM75","Import_Forest",0.0151060253485816
"REF_SFM","AFM75","EU28_Energy_crops",0
"REF_SFM","AFM75","EU28_Forest_net",0.0225117679627302
"REF_SFM","AFM75","Import_Energy_plantations",0
"REF_SFM","AFM75","Import_Forest",0.0151205967341566
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0
"RCP2.6_MFM","AFM100","EU28_Forest_net",0.0231219684342368
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0
"RCP2.6_MFM","AFM100","Import_Forest",0.0149897006665756
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0
"RCP2.6_SFM","AFM100","EU28_Forest_net",0.0221418911221578
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0
"RCP2.6_SFM","AFM100","Import_Forest",0.0149381836061176
"REF_MFM","AFM100","EU28_Energy_crops",0
"REF_MFM","AFM100","EU28_Forest_net",0.0231176704664901
"REF_MFM","AFM100","Import_Energy_plantations",0
"REF_MFM","AFM100","Import_Forest",0.0150923906811882
"REF_SFM","AFM100","EU28_Energy_crops",0
"REF_SFM","AFM100","EU28_Forest_net",0.0221378164757619
"REF_SFM","AFM100","Import_Energy_plantations",0
"REF_SFM","AFM100","Import_Forest",0.015105749785372
