"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0.0150819258511089
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0.000612032465541347
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.0117678673088833
"RCP2.6_MFM","noAFM","EP_EU",0.00630973050957073
"RCP2.6_SFM","noAFM","Clear_cut",0.0150828195785928
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0.000611997684823827
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.0117625798314905
"RCP2.6_SFM","noAFM","EP_EU",0.00630920054272119
"REF_MFM","noAFM","Clear_cut",0.0136379841982586
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0.000753371546239611
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.010485867024247
"REF_MFM","noAFM","EP_EU",0.00477813518185874
"REF_SFM","noAFM","Clear_cut",0.0136408238138799
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0.00075322131321797
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.0104784440857075
"REF_SFM","noAFM","EP_EU",0.00478845637094307
"RCP2.6_MFM","AFMfree","Clear_cut",0.0127473159448587
"RCP2.6_MFM","AFMfree","Retention",0.000199920015067406
"RCP2.6_MFM","AFMfree","Selection",0.000647116699804285
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0.011882734730679
"RCP2.6_MFM","AFMfree","EP_EU",0.00622467770590792
"RCP2.6_SFM","AFMfree","Clear_cut",0.0128144442595656
"RCP2.6_SFM","AFMfree","Retention",0.000199645657683867
"RCP2.6_SFM","AFMfree","Selection",0.000589218261798177
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0.0118664727987743
"RCP2.6_SFM","AFMfree","EP_EU",0.00622767668834021
"REF_MFM","AFMfree","Clear_cut",0.0116715039354483
"REF_MFM","AFMfree","Retention",0.000177128410443758
"REF_MFM","AFMfree","Selection",0.000764321071035253
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0.0105011257335792
"REF_MFM","AFMfree","EP_EU",0.00471405566084872
"REF_SFM","AFMfree","Clear_cut",0.0118865354223188
"REF_SFM","AFMfree","Retention",0.000166511479453377
"REF_SFM","AFMfree","Selection",0.000688238742842646
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0.0105577917009039
"REF_SFM","AFMfree","EP_EU",0.00472730758601099
"RCP2.6_MFM","AFM25","Clear_cut",0.0126165717816816
"RCP2.6_MFM","AFM25","Retention",0.000162945773138517
"RCP2.6_MFM","AFM25","Selection",0.000711596206392032
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0.0118778937752606
"RCP2.6_MFM","AFM25","EP_EU",0.00625007806375675
"RCP2.6_SFM","AFM25","Clear_cut",0.0128760612750583
"RCP2.6_SFM","AFM25","Retention",0.000179177509083082
"RCP2.6_SFM","AFM25","Selection",0.000552274241493522
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0.0118517707653412
"RCP2.6_SFM","AFM25","EP_EU",0.00631462878087525
"REF_MFM","AFM25","Clear_cut",0.0112813937695753
"REF_MFM","AFM25","Retention",0.000134863289914291
"REF_MFM","AFM25","Selection",0.000846334937858894
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0.0104707029060432
"REF_MFM","AFM25","EP_EU",0.00471935517155119
"REF_SFM","AFM25","Clear_cut",0.0115956580515811
"REF_SFM","AFM25","Retention",0.000161684620799744
"REF_SFM","AFM25","Selection",0.000669589341610053
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0.0105291048729145
"REF_SFM","AFM25","EP_EU",0.00477906619598178
"RCP2.6_MFM","AFM50","Clear_cut",0.0124970048900251
"RCP2.6_MFM","AFM50","Retention",0.000116584081948152
"RCP2.6_MFM","AFM50","Selection",0.000785466584928984
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0.0117411582136541
"RCP2.6_MFM","AFM50","EP_EU",0.00627343048909985
"RCP2.6_SFM","AFM50","Clear_cut",0.0128462662785514
"RCP2.6_SFM","AFM50","Retention",0.000135068492045195
"RCP2.6_SFM","AFM50","Selection",0.000505346723996595
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",0.011823032596299
"RCP2.6_SFM","AFM50","EP_EU",0.00640333641946055
"REF_MFM","AFM50","Clear_cut",0.0110726190743181
"REF_MFM","AFM50","Retention",0.00010362518302639
"REF_MFM","AFM50","Selection",0.000919587371621474
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",0.0104931655506363
"REF_MFM","AFM50","EP_EU",0.0047586357063261
"REF_SFM","AFM50","Clear_cut",0.011498463278453
"REF_SFM","AFM50","Retention",0.000121358892015309
"REF_SFM","AFM50","Selection",0.000627842967779846
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",0.0104983261439356
"REF_SFM","AFM50","EP_EU",0.00484202626728068
"RCP2.6_MFM","AFM75","Clear_cut",0.0124042942682116
"RCP2.6_MFM","AFM75","Retention",6.56110456364798e-05
"RCP2.6_MFM","AFM75","Selection",0.000856804561372921
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",0.0117191998365554
"RCP2.6_MFM","AFM75","EP_EU",0.00633247886668096
"RCP2.6_SFM","AFM75","Clear_cut",0.0124935614839883
"RCP2.6_SFM","AFM75","Retention",7.60832430314392e-05
"RCP2.6_SFM","AFM75","Selection",0.000458423150222061
"RCP2.6_SFM","AFM75","Timber",0
"RCP2.6_SFM","AFM75","Other_management",0.0117451492571473
"RCP2.6_SFM","AFM75","EP_EU",0.00654088819539262
"REF_MFM","AFM75","Clear_cut",0.0107701684835542
"REF_MFM","AFM75","Retention",6.17834873371518e-05
"REF_MFM","AFM75","Selection",0.00100180579079176
"REF_MFM","AFM75","Timber",0
"REF_MFM","AFM75","Other_management",0.0104609163574135
"REF_MFM","AFM75","EP_EU",0.00478673263181548
"REF_SFM","AFM75","Clear_cut",0.0112401201747496
"REF_SFM","AFM75","Retention",7.42312312407702e-05
"REF_SFM","AFM75","Selection",0.000579588856163673
"REF_SFM","AFM75","Timber",0
"REF_SFM","AFM75","Other_management",0.0104996977725199
"REF_SFM","AFM75","EP_EU",0.00503558846456711
"RCP2.6_MFM","AFM100","Clear_cut",0.0122387179835118
"RCP2.6_MFM","AFM100","Retention",0
"RCP2.6_MFM","AFM100","Selection",0.000931572872030387
"RCP2.6_MFM","AFM100","Timber",0
