"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.101973377833303,0,0
"RCP2.6_SFM","noAFM",0.101959343876268,0,0
"REF_MFM","noAFM",0.0496586385360495,0,0
"REF_SFM","noAFM",0.0497039939714042,0,0
"RCP2.6_MFM","AFMfree",0.0943645954240353,0,0
"RCP2.6_SFM","AFMfree",0.0943666054459654,0,0
"REF_MFM","AFMfree",0.0451819551264079,0,0
"REF_SFM","AFMfree",0.0464719480521213,0,0
"RCP2.6_MFM","AFM25",0.0927318360531238,0,0
"RCP2.6_SFM","AFM25",0.0930001840447111,0,0
"REF_MFM","AFM25",0.0463131348249524,0,0
"REF_SFM","AFM25",0.0479743194528693,0,0
"RCP2.6_MFM","AFM50",0.0905273354533841,0,0
"RCP2.6_SFM","AFM50",0.0912228587870995,0,0
"REF_MFM","AFM50",0.0458892643974968,0,0
"REF_SFM","AFM50",0.0457856447822754,0,0
"RCP2.6_MFM","AFM75",0.0889759332756942,0,0
"RCP2.6_SFM","AFM75",0.0884333538607737,0,0
"REF_MFM","AFM75",0.0439664960033072,0,0
"REF_SFM","AFM75",0.0423754239257028,0,0
"RCP2.6_MFM","AFM100",0.0868743200414704,0,0
"RCP2.6_SFM","AFM100",0.0859197298754475,0,0
"REF_MFM","AFM100",0.0421467844911691,0,0
"REF_SFM","AFM100",0.0394783096602601,0,0
