"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0.00559248124953974
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",0.0668098701097321
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.0450682139136928
"RCP2.6_MFM","noAFM","Annual_crops",0.0139922895927596
"RCP2.6_MFM","noAFM","Pasture",0.100611922544742
"RCP2.6_MFM","noAFM","Permanent_crops",0.114360447099187
"RCP2.6_MFM","noAFM","Urban",0.0274583725227774
"RCP2.6_SFM","noAFM","Afforestation",0.00559229127592743
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",0.0667963354653078
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.0450662166668374
"RCP2.6_SFM","noAFM","Annual_crops",0.0139918978258176
"RCP2.6_SFM","noAFM","Pasture",0.100607820238714
"RCP2.6_SFM","noAFM","Permanent_crops",0.114359427742562
"RCP2.6_SFM","noAFM","Urban",0.0274578361790147
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",0.0493666936376289
"REF_MFM","noAFM","Energy_crops_and_plantations",0.0103560339310921
"REF_MFM","noAFM","Annual_crops",0.110073354145448
"REF_MFM","noAFM","Pasture",0.113615288251378
"REF_MFM","noAFM","Permanent_crops",0.117315380063207
"REF_MFM","noAFM","Urban",0.0291521772524268
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",0.0493933920275672
"REF_SFM","noAFM","Energy_crops_and_plantations",0.0103761549264927
"REF_SFM","noAFM","Annual_crops",0.110043948899053
"REF_SFM","noAFM","Pasture",0.113615768237815
"REF_SFM","noAFM","Permanent_crops",0.117314524699857
"REF_SFM","noAFM","Urban",0.0291511104430868
"RCP2.6_MFM","AFMfree","Afforestation",0.00555971545898697
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",0.0604317079512112
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.0439923500695932
"RCP2.6_MFM","AFMfree","Annual_crops",0.0141019876051707
"RCP2.6_MFM","AFMfree","Pasture",0.100514151369476
"RCP2.6_MFM","AFMfree","Permanent_crops",0.113851753408258
"RCP2.6_MFM","AFMfree","Urban",0.0272865103567624
"RCP2.6_SFM","AFMfree","Afforestation",0.00555947611938521
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",0.0604620430839005
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.0439129933207803
"RCP2.6_SFM","AFMfree","Annual_crops",0.0140694694982844
"RCP2.6_SFM","AFMfree","Pasture",0.100536858339255
"RCP2.6_SFM","AFMfree","Permanent_crops",0.113868700073345
"RCP2.6_SFM","AFMfree","Urban",0.027290479186124
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",0.0456125703936809
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.00992477476406148
"REF_MFM","AFMfree","Annual_crops",0.109676599434598
"REF_MFM","AFMfree","Pasture",0.113447768663475
"REF_MFM","AFMfree","Permanent_crops",0.116851572451456
"REF_MFM","AFMfree","Urban",0.0290184406954907
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Forest",0.0465604225273448
"REF_SFM","AFMfree","Energy_crops_and_plantations",0.00995037563364681
"REF_SFM","AFMfree","Annual_crops",0.109844367317867
"REF_SFM","AFMfree","Pasture",0.113535449966061
"REF_SFM","AFMfree","Permanent_crops",0.116993885684783
"REF_SFM","AFMfree","Urban",0.0290443931578597
"RCP2.6_MFM","AFM25","Afforestation",0.00554700504537691
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Forest",0.0580919208291133
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",0.0445342850503326
"RCP2.6_MFM","AFM25","Annual_crops",0.0137994833842692
"RCP2.6_MFM","AFM25","Pasture",0.100244386736567
"RCP2.6_MFM","AFM25","Permanent_crops",0.113718845996177
"RCP2.6_MFM","AFM25","Urban",0.0272452915444174
"RCP2.6_SFM","AFM25","Afforestation",0.00554709668062248
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Forest",0.0578793895549576
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",0.0452812097153697
"RCP2.6_SFM","AFM25","Annual_crops",0.0135982647274873
"RCP2.6_SFM","AFM25","Pasture",0.100003812149358
"RCP2.6_SFM","AFM25","Permanent_crops",0.113748763667294
"RCP2.6_SFM","AFM25","Urban",0.0272561852628997
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Forest",0.046491929960371
"REF_MFM","AFM25","Energy_crops_and_plantations",0.0100072099590248
"REF_MFM","AFM25","Annual_crops",0.109907387988565
"REF_MFM","AFM25","Pasture",0.113522003747011
