"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.373893597032431,0,0
"RCP2.6_SFM","noAFM",0.37387182539418,0,0
"REF_MFM","noAFM",0.42987892728118,0,0
"REF_SFM","noAFM",0.429894899233872,0,0
"RCP2.6_MFM","AFMfree",0.365738176219458,0,0
"RCP2.6_SFM","AFMfree",0.365700019621075,0,0
"REF_MFM","AFMfree",0.424531726402762,0,0
"REF_SFM","AFMfree",0.425928894287563,0,0
"RCP2.6_MFM","AFM25",0.363181218586254,0,0
"RCP2.6_SFM","AFM25",0.363314721757989,0,0
"REF_MFM","AFM25",0.426154188548823,0,0
"REF_SFM","AFM25",0.428626106922128,0,0
"RCP2.6_MFM","AFM50",0.360237916709367,0,0
"RCP2.6_SFM","AFM50",0.360920892875477,0,0
"REF_MFM","AFM50",0.425977479507016,0,0
"REF_SFM","AFM50",0.425954959476116,0,0
"RCP2.6_MFM","AFM75",0.358666639556848,0,0
"RCP2.6_SFM","AFM75",0.358073815636332,0,0
"REF_MFM","AFM75",0.424636602109296,0,0
"REF_SFM","AFM75",0.421707285529743,0,0
"RCP2.6_MFM","AFM100",0.35777174755001,0,0
"RCP2.6_SFM","AFM100",0.356116843542992,0,0
"REF_MFM","AFM100",0.4241729840409,0,0
"REF_SFM","AFM100",0.418314067308626,0,0
