"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.0139922895927596,0.114360447099187,0.100611922544742,0.0274583725227774,1.93625075995707,1.68439526555213,3.89970476696565,0.844829461956558,0.0364395139996549,0.020788645205716,0.00990470619012164,0,0.093842745560748,0,0,0.000126909303359886,0,0,0,0.0255801042822506,0.0194881096314423,2.47752724251799,0.0496256236679628,0.00559248124953974,0.565073337133702,0.271335251444415,3.13040799540645e-05,0.228156047111893,0.0203074365366416,2.46907451108721
"RCP2.6_SFM","noAFM",0.0139918978258176,0.114359427742562,0.100607820238714,0.0274578361790147,1.93641613367681,1.68440614980501,3.89979225500643,0.844832987593841,0.0364433196164616,0.0208121345829506,0.00990320825587714,0,0.0948069133114634,0,0,0.000126726092918462,0,0,0,0.0255795564536485,0.0194866602131889,2.47756142090967,0.0493762301071165,0.00559229127592743,0.565078606737567,0.271288602570539,3.12891230652992e-05,0.228124816083867,0.0202917923769853,2.46870842062621
"REF_MFM","noAFM",0.110073354145448,0.117315380063207,0.113615288251378,0.0291521772524268,3.66654853391034,1.74527665936378,7.91662217289732,0.870832006228693,0.0229212609047977,0.0195959631262696,0.0100640890326716,0,0.0647415928504461,0,0,0.000693744206642146,0,0,0,0.00264354842412858,0.00771248550696355,0.228558643203176,0.00512538950964814,0,0.311445582936006,0.318808929912391,0.000318396081787387,0.133783242563045,0.0153692034117301,1.52210956299773
"REF_SFM","noAFM",0.110043948899053,0.117314524699857,0.113615768237815,0.0291511104430868,3.66643017252167,1.74530658423188,7.91643921794135,0.870840756804911,0.0229313220749944,0.0194973750805616,0.0100655529826557,0,0.0660634574609404,0,0,0.000692923328618169,0,0,0,0.00264365181026123,0.00773250311623146,0.228559090104343,0.00547301467708265,0,0.311449983425318,0.318756864006674,0.000318838110600088,0.133780456064464,0.0153847555306988,1.52139573793066
"RCP2.6_MFM","AFMfree",0.0141019876051707,0.113851753408258,0.100514151369476,0.0272865103567624,1.93837006838877,1.68362862469457,3.90084296598756,0.844728015589396,0.0283016003555601,0.0148503175400184,0.010059462596769,0.00119026950834815,0.0674412783955413,0,0,0.00017188285796243,0,0,0,0.0253752663071728,0.0186170837624204,2.4768669023328,0.0445341430807692,0.00555971545898697,0.56491407452311,0.272209396620428,3.17216987020868e-05,0.229465039751525,0.0206767709338694,2.48436396328947
"RCP2.6_SFM","AFMfree",0.0140694694982844,0.113868700073345,0.100536858339255,0.027290479186124,1.93955900019897,1.68360026248965,3.90153518321757,0.844720457935074,0.0284530555184219,0.0151339719681921,0.0100084309587154,0.00119070990807949,0.0670258706840289,0,0,0.000149299148054848,0,0,0,0.0253759155332282,0.018537077787552,2.47683643046731,0.0422508434940062,0.00555947611938521,0.564906004642051,0.272120249999312,3.16920342435722e-05,0.229483007199537,0.0206288555163853,2.48455072377743
"REF_MFM","AFMfree",0.109676599434598,0.116851572451456,0.113447768663475,0.0290184406954907,3.6654984005529,1.74432470856693,7.9141545020216,0.870648751460845,0.0179718315134201,0.0127494258850957,0.0103553900313345,0.000794494456480136,0.0400406307119531,0,0,0.000618872901483628,0,0,0,0.00263149662018594,0.00729327814387554,0.228457922181585,0.00544191579660416,0,0.311419019389177,0.3211358722071,0.000322220242469387,0.134920078709617,0.0155497612484932,1.53408544169919
"REF_SFM","AFMfree",0.109844367317867,0.116993885684783,0.113535449966061,0.0290443931578597,3.6658597599589,1.74436580386163,7.91439085587095,0.870658327518462,0.0192907735419931,0.0129674940711857,0.0100388501088703,0.000805042586240556,0.0417548227265239,0,0,0.000475891810824517,0,0,0,0.0026309804906175,0.00731939514302931,0.228466023648644,0.00498421484901625,0,0.311422150101177,0.321052156257467,0.000323444437776678,0.134868662505002,0.0156264200416397,1.53317669676793
"RCP2.6_MFM","AFM25",0.0137994833842692,0.113718845996177,0.100244386736567,0.0272452915444174,1.93550741833907,1.68357995298346,3.89871388495927,0.844722396347609,0.0262250834139768,0.0160918689365534,0.00989436982632212,0.000947184656867974,0.067445531089994,0,0,0.000410836624989806,0,0,0,0.0253443585508799,0.0191899264994527,2.47700341443989,0.0504056803684816,0.00554700504537691,0.564920226139544,0.272159323000135,3.15371163320284e-05,0.229392971738395,0.0205829091906245,2.4825082075672
"RCP2.6_SFM","AFM25",0.0135982647274873,0.113748763667294,0.100003812149358,0.0272561852628997,1.93268823109564,1.68391129394344,3.89668412292108,0.844785665212975,0.0262159588836547,0.0190796633523959,0.0101604152256163,0.000986174500731578,0.0829425932052558,0,0,0.000108678630355084,0,0,0,0.0253540702796801,0.0199271394356896,2.4774654202009,0.0570018328070924,0.00554709668062248,0.564998132976681,0.271511539407047,3.12351059526743e-05,0.22876138136104,0.0203769272086473,2.47239550741061
"REF_MFM","AFM25",0.109907387988565,0.117214789030387,0.113522003747011,0.0290108678634647,3.66583726056391,1.74436692505792,7.91431340126772,0.870649333630545,0.0191256197842016,0.0132802368817352,0.0101860050944434,0.000633370548359277,0.0415786078447179,0,0,0.000760469534965934,0,0,0,0.00262620828630701,0.00738100167271783,0.228472428145831,0.00513487619553654,0,0.311419287241478,0.321042538967806,0.000319975979919647,0.134817578088807,0.0154664890184811,1.53316158707752
"REF_SFM","AFM25",0.110097381027655,0.117438882751453,0.11374576118061,0.0290998241124306,3.66563025051354,1.7445642039841,7.91473966480857,0.870693387034106,0.0209192039655328,0.0174591181838519,0.0102699383971101,0.000750558865344463,0.0483855106680096,0,0,0.000350857445545728,0,0,0,0.00262609228619855,0.00754841511698744,0.228504236115076,0.00583364094908154,0,0.311430840273643,0.320037291549125,0.000319261556672495,0.134345621663839,0.0154599302165878,1.52799840578596
"RCP2.6_MFM","AFM50",0.0136525873533034,0.11362326564216,0.0999239810634719,0.0271961536377835,1.93281421014876,1.68365274943732,3.8966916401585,0.844730589112487,0.0238826271793616,0.0180770976632559,0.00977858145357448,0.000680689406730787,0.0723256995597394,0,0,0.000669561396953622,0,0,0,0.0253198696213237,0.0197533470405545,2.47719049958481,0.0564075824770189,0.00553601210568915,0.564944093896399,0.271825025793205,3.10024468567526e-05,0.229085221190006,0.0201902383616032,2.47898005173889
