"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",49261.9607573092
"RCP2.6_MFM","noAFM","EU28_Forest_net",38365.609573534
"RCP2.6_MFM","noAFM","Import_Energy_plantations",19168.0821759576
"RCP2.6_MFM","noAFM","Import_Forest",55613.3765128705
"RCP2.6_SFM","noAFM","EU28_Energy_crops",49296.8669556103
"RCP2.6_SFM","noAFM","EU28_Forest_net",38355.799930134
"RCP2.6_SFM","noAFM","Import_Energy_plantations",19054.2989911652
"RCP2.6_SFM","noAFM","Import_Forest",56121.9332940676
"REF_MFM","noAFM","EU28_Energy_crops",11190.2148703051
"REF_MFM","noAFM","EU28_Forest_net",25773.7677902057
"REF_MFM","noAFM","Import_Energy_plantations",3248.5355016129
"REF_MFM","noAFM","Import_Forest",43209.4777828968
"REF_SFM","noAFM","EU28_Energy_crops",11195.5884281826
"REF_SFM","noAFM","EU28_Forest_net",25778.3995376999
"REF_SFM","noAFM","Import_Energy_plantations",3583.96911887889
"REF_SFM","noAFM","Import_Forest",43414.795044669
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",48256.1704746095
"RCP2.6_MFM","AFMfree","EU28_Forest_net",33065.911744462
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",17257.9241497487
"RCP2.6_MFM","AFMfree","Import_Forest",37817.2222783353
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",48267.3241923895
"RCP2.6_SFM","AFMfree","EU28_Forest_net",33075.9044025696
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",16735.4057615077
"RCP2.6_SFM","AFMfree","Import_Forest",37143.2747154143
"REF_MFM","AFMfree","EU28_Energy_crops",10673.0541895741
"REF_MFM","AFMfree","EU28_Forest_net",22374.451826563
"REF_MFM","AFMfree","Import_Energy_plantations",3520.17421779901
"REF_MFM","AFMfree","Import_Forest",24930.0744855074
"REF_SFM","AFMfree","EU28_Energy_crops",10710.748587989
"REF_SFM","AFMfree","EU28_Forest_net",23298.3173869918
"REF_SFM","AFMfree","Import_Energy_plantations",3269.56929417862
"REF_SFM","AFMfree","Import_Forest",25929.0679246894
"RCP2.6_MFM","AFM25","EU28_Energy_crops",48775.5981593485
"RCP2.6_MFM","AFM25","EU28_Forest_net",31566.6480035693
