"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",243.687406244428
"RCP2.6_MFM","noAFM","EU28_Forest_net",64.2230883074019
"RCP2.6_MFM","noAFM","Import_Energy_plantations",112.606649881647
"RCP2.6_MFM","noAFM","Import_Forest",284.668880907978
"RCP2.6_SFM","noAFM","EU28_Energy_crops",243.888127210774
"RCP2.6_SFM","noAFM","EU28_Forest_net",64.1569645369704
"RCP2.6_SFM","noAFM","Import_Energy_plantations",111.973562248274
"RCP2.6_SFM","noAFM","Import_Forest",287.553817901255
"REF_MFM","noAFM","EU28_Energy_crops",58.5713689877017
"REF_MFM","noAFM","EU28_Forest_net",43.6748122605113
"REF_MFM","noAFM","Import_Energy_plantations",16.7058734605074
"REF_MFM","noAFM","Import_Forest",211.16601184335
"REF_SFM","noAFM","EU28_Energy_crops",58.6084871933135
"REF_SFM","noAFM","EU28_Forest_net",43.7002646783833
"REF_SFM","noAFM","Import_Energy_plantations",18.3416589365367
"REF_SFM","noAFM","Import_Forest",212.153955934409
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",240.180955408278
"RCP2.6_MFM","AFMfree","EU28_Forest_net",65.4515595268624
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",101.758386186725
"RCP2.6_MFM","AFMfree","Import_Forest",189.227879010147
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",240.277109271912
"RCP2.6_SFM","AFMfree","EU28_Forest_net",65.3656015583715
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",98.1175295869067
"RCP2.6_SFM","AFMfree","Import_Forest",184.442251928708
"REF_MFM","AFMfree","EU28_Energy_crops",56.2568079047606
"REF_MFM","AFMfree","EU28_Forest_net",44.2580967564008
"REF_MFM","AFMfree","Import_Energy_plantations",18.0543731074667
"REF_MFM","AFMfree","Import_Forest",114.163415222006
"REF_SFM","AFMfree","EU28_Energy_crops",56.3764420918892
"REF_SFM","AFMfree","EU28_Forest_net",44.4189698872906
"REF_SFM","AFMfree","Import_Energy_plantations",16.8258605781385
"REF_SFM","AFMfree","Import_Forest",119.599048071346
"RCP2.6_MFM","AFM25","EU28_Energy_crops",243.303819136453
"RCP2.6_MFM","AFM25","EU28_Forest_net",65.282192554485
"RCP2.6_MFM","AFM25","Import_Energy_plantations",114.21561236116
"RCP2.6_MFM","AFM25","Import_Forest",196.932887215063
"RCP2.6_SFM","AFM25","EU28_Energy_crops",246.511682042194
"RCP2.6_SFM","AFM25","EU28_Forest_net",64.7162010651876
"RCP2.6_SFM","AFM25","Import_Energy_plantations",131.258876920173
"RCP2.6_SFM","AFM25","Import_Forest",240.629617015779
"REF_MFM","AFM25","EU28_Energy_crops",56.6393461658964
"REF_MFM","AFM25","EU28_Forest_net",44.1235542240869
"REF_MFM","AFM25","Import_Energy_plantations",16.8559429680161
"REF_MFM","AFM25","Import_Forest",120.733846480204
"REF_SFM","AFM25","EU28_Energy_crops",57.7735414476304
"REF_SFM","AFM25","EU28_Forest_net",44.0257529088658
"REF_SFM","AFM25","Import_Energy_plantations",18.961310260975
"REF_SFM","AFM25","Import_Forest",145.867328175014
"RCP2.6_MFM","AFM50","EU28_Energy_crops",245.378413306774
"RCP2.6_MFM","AFM50","EU28_Forest_net",64.3643752355405
"RCP2.6_MFM","AFM50","Import_Energy_plantations",129.979447708471
"RCP2.6_MFM","AFM50","Import_Forest",209.988492700469
"RCP2.6_SFM","AFM50","EU28_Energy_crops",252.090878656103
"RCP2.6_SFM","AFM50","EU28_Forest_net",64.2699974200283
"RCP2.6_SFM","AFM50","Import_Energy_plantations",161.266201143279
"RCP2.6_SFM","AFM50","Import_Forest",382.318458534518
"REF_MFM","AFM50","EU28_Energy_crops",57.3974585176206
"REF_MFM","AFM50","EU28_Forest_net",43.9786980102379
"REF_MFM","AFM50","Import_Energy_plantations",18.8145764584923
"REF_MFM","AFM50","Import_Forest",127.766116776248
"REF_SFM","AFM50","EU28_Energy_crops",61.3130728786681
"REF_SFM","AFM50","EU28_Forest_net",43.5982534216229
"REF_SFM","AFM50","Import_Energy_plantations",21.1995713306608
"REF_SFM","AFM50","Import_Forest",285.7058517385
"RCP2.6_MFM","AFM75","EU28_Energy_crops",249.958898232954
"RCP2.6_MFM","AFM75","EU28_Forest_net",63.9900902171474
"RCP2.6_MFM","AFM75","Import_Energy_plantations",140.005550831274
"RCP2.6_MFM","AFM75","Import_Forest",265.856043301344
"RCP2.6_SFM","AFM75","EU28_Energy_crops",256.086085523208
"RCP2.6_SFM","AFM75","EU28_Forest_net",62.6656557834399
"RCP2.6_SFM","AFM75","Import_Energy_plantations",192.193308790531
"RCP2.6_SFM","AFM75","Import_Forest",433.800853031843
"REF_MFM","AFM75","EU28_Energy_crops",58.865724900765
"REF_MFM","AFM75","EU28_Forest_net",43.4622231854944
"REF_MFM","AFM75","Import_Energy_plantations",18.0283367510206
"REF_MFM","AFM75","Import_Forest",172.121691025086
"REF_SFM","AFM75","EU28_Energy_crops",65.2639176946788
"REF_SFM","AFM75","EU28_Forest_net",43.095170681069
"REF_SFM","AFM75","Import_Energy_plantations",29.9714576254947
"REF_SFM","AFM75","Import_Forest",390.859407870321
"RCP2.6_MFM","AFM100","EU28_Energy_crops",252.579510177005
"RCP2.6_MFM","AFM100","EU28_Forest_net",63.809911153196
"RCP2.6_MFM","AFM100","Import_Energy_plantations",159.851362958834
"RCP2.6_MFM","AFM100","Import_Forest",298.614370434628
"RCP2.6_SFM","AFM100","EU28_Energy_crops",259.672184095393
"RCP2.6_SFM","AFM100","EU28_Forest_net",61.5669524357144
"RCP2.6_SFM","AFM100","Import_Energy_plantations",211.834557752049
"RCP2.6_SFM","AFM100","Import_Forest",573.055629114108
"REF_MFM","AFM100","EU28_Energy_crops",60.7105692941272
"REF_MFM","AFM100","EU28_Forest_net",43.3289944404595
"REF_MFM","AFM100","Import_Energy_plantations",21.0202888114499
"REF_MFM","AFM100","Import_Forest",215.344166521171
"REF_SFM","AFM100","EU28_Energy_crops",69.0160707833198
"REF_SFM","AFM100","EU28_Forest_net",42.4911939673546
"REF_SFM","AFM100","Import_Energy_plantations",44.9666104097431
"REF_SFM","AFM100","Import_Forest",544.069285364266
