"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",162409.029019671,0,0
"RCP2.6_SFM","noAFM",162828.899170977,0,0
"REF_MFM","noAFM",83421.9959450205,0,0
"REF_SFM","noAFM",83972.7521294304,0,0
"RCP2.6_MFM","AFMfree",136397.228647155,0,0
"RCP2.6_SFM","AFMfree",135221.909071881,0,0
"REF_MFM","AFMfree",61497.7547194436,0,0
"REF_SFM","AFMfree",63207.7031938489,0,0
"RCP2.6_MFM","AFM25",138892.600215396,0,0
"RCP2.6_SFM","AFM25",150341.678086354,0,0
"REF_MFM","AFM25",62977.5969423071,0,0
"REF_SFM","AFM25",70522.7089961957,0,0
"RCP2.6_MFM","AFM50",142930.283409163,0,0
"RCP2.6_SFM","AFM50",179216.794850385,0,0
"REF_MFM","AFM50",64664.1373578529,0,0
"REF_SFM","AFM50",94791.4092895434,0,0
"RCP2.6_MFM","AFM75",152969.208967945,0,0
"RCP2.6_SFM","AFM75",194750.039288258,0,0
"REF_MFM","AFM75",70706.1592514827,0,0
"REF_SFM","AFM75",114804.018043373,0,0
"RCP2.6_MFM","AFM100",161674.94989652,0,0
"RCP2.6_SFM","AFM100",220281.084029175,0,0
"REF_MFM","AFM100",78929.6853991067,0,0
"REF_SFM","AFM100",143805.317050447,0,0
