"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",130.027922138891,0,0,"noAFM","2020"
"RCP2.6_SFM",129.955049256695,0,0,"noAFM","2020"
"REF_MFM",131.254395254942,0,0,"noAFM","2020"
"REF_SFM",131.517753619439,0,0,"noAFM","2020"
"RCP2.6_MFM",130.854383764998,0,0,"AFMfree","2020"
"RCP2.6_SFM",130.725547999122,0,0,"AFMfree","2020"
"REF_MFM",132.20149877004,0,0,"AFMfree","2020"
"REF_SFM",132.265450830297,0,0,"AFMfree","2020"
"RCP2.6_MFM",130.741800462589,0,0,"AFM25","2020"
"RCP2.6_SFM",130.650530519628,0,0,"AFM25","2020"
"REF_MFM",131.960742167443,0,0,"AFM25","2020"
"REF_SFM",132.239562285794,0,0,"AFM25","2020"
"RCP2.6_MFM",130.221731288155,0,0,"AFM50","2020"
"RCP2.6_SFM",130.521752227102,0,0,"AFM50","2020"
"REF_MFM",132.440283498283,0,0,"AFM50","2020"
"REF_SFM",131.806153948065,0,0,"AFM50","2020"
"RCP2.6_MFM",130.03111032731,0,0,"AFM75","2020"
"RCP2.6_SFM",130.224175542891,0,0,"AFM75","2020"
"REF_MFM",132.225718853622,0,0,"AFM75","2020"
"REF_SFM",132.06660665657,0,0,"AFM75","2020"
"RCP2.6_MFM",130.050610824278,0,0,"AFM100","2020"
"RCP2.6_SFM",130.207407402895,0,0,"AFM100","2020"
"REF_MFM",131.615816203636,0,0,"AFM100","2020"
"REF_SFM",131.590740317084,0,0,"AFM100","2020"
"RCP2.6_MFM",163.359683712485,0,0,"noAFM","2030"
"RCP2.6_SFM",163.080021305388,0,0,"noAFM","2030"
"REF_MFM",151.215799509273,0,0,"noAFM","2030"
"REF_SFM",151.955176176702,0,0,"noAFM","2030"
"RCP2.6_MFM",164.581057405317,0,0,"AFMfree","2030"
"RCP2.6_SFM",158.746192584243,0,0,"AFMfree","2030"
"REF_MFM",151.932005283744,0,0,"AFMfree","2030"
"REF_SFM",150.816854562214,0,0,"AFMfree","2030"
"RCP2.6_MFM",164.709980067583,0,0,"AFM25","2030"
"RCP2.6_SFM",160.121377174487,0,0,"AFM25","2030"
"REF_MFM",149.377200013725,0,0,"AFM25","2030"
"REF_SFM",152.901670787209,0,0,"AFM25","2030"
"RCP2.6_MFM",162.506802576682,0,0,"AFM50","2030"
"RCP2.6_SFM",165.195649032513,0,0,"AFM50","2030"
"REF_MFM",151.942843969996,0,0,"AFM50","2030"
"REF_SFM",152.274741251872,0,0,"AFM50","2030"
"RCP2.6_MFM",160.957234562138,0,0,"AFM75","2030"
"RCP2.6_SFM",182.876904210343,0,0,"AFM75","2030"
"REF_MFM",151.568599403429,0,0,"AFM75","2030"
"REF_SFM",168.105290335078,0,0,"AFM75","2030"
"RCP2.6_MFM",163.56662014536,0,0,"AFM100","2030"
"RCP2.6_SFM",205.962973133174,0,0,"AFM100","2030"
"REF_MFM",151.523580495532,0,0,"AFM100","2030"
"REF_SFM",190.784148261982,0,0,"AFM100","2030"
"RCP2.6_MFM",239.274188037996,0,0,"noAFM","2040"
"RCP2.6_SFM",239.051713978956,0,0,"noAFM","2040"
"REF_MFM",194.120374300201,0,0,"noAFM","2040"
"REF_SFM",194.522295632493,0,0,"noAFM","2040"
"RCP2.6_MFM",222.631849608085,0,0,"AFMfree","2040"
"RCP2.6_SFM",216.446238078119,0,0,"AFMfree","2040"
"REF_MFM",168.938271042304,0,0,"AFMfree","2040"
"REF_SFM",169.243957327047,0,0,"AFMfree","2040"
"RCP2.6_MFM",220.850826113108,0,0,"AFM25","2040"
"RCP2.6_SFM",216.885259661863,0,0,"AFM25","2040"
