"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",87627.5703308431,0,0
"RCP2.6_SFM","noAFM",87652.6668857443,0,0
"REF_MFM","noAFM",36963.9826605108,0,0
"REF_SFM","noAFM",36973.9879658825,0,0
"RCP2.6_MFM","AFMfree",81322.0822190715,0,0
"RCP2.6_SFM","AFMfree",81343.228594959,0,0
"REF_MFM","AFMfree",33047.5060161372,0,0
"REF_SFM","AFMfree",34009.0659749808,0,0
"RCP2.6_MFM","AFM25",80342.2461629178,0,0
"RCP2.6_SFM","AFM25",81076.9207883413,0,0
"REF_MFM","AFM25",33445.5469097522,0,0
"REF_SFM","AFM25",34870.0583786975,0,0
"RCP2.6_MFM","AFM50",78874.8514525865,0,0
"RCP2.6_SFM","AFM50",80202.4368462287,0,0
"REF_MFM","AFM50",32873.4763934311,0,0
"REF_SFM","AFM50",34281.6814804111,0,0
"RCP2.6_MFM","AFM75",78236.2255426669,0,0
"RCP2.6_SFM","AFM75",78800.6022464384,0,0
"REF_MFM","AFM75",31910.6392901061,0,0
"REF_SFM","AFM75",32500.8310323116,0,0
"RCP2.6_MFM","AFM100",76960.3605083662,0,0
"RCP2.6_SFM","AFM100",77864.4776248413,0,0
"REF_MFM","AFM100",30926.3601875783,0,0
"REF_SFM","AFM100",31255.5467948218,0,0
