"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",59.7988576691351,0,0,"noAFM","2020"
"RCP2.6_SFM",59.7988467017418,0,0,"noAFM","2020"
"REF_MFM",60.6652029909595,0,0,"noAFM","2020"
"REF_SFM",60.6628667933239,0,0,"noAFM","2020"
"RCP2.6_MFM",60.4220503720035,0,0,"AFMfree","2020"
"RCP2.6_SFM",60.2484161210563,0,0,"AFMfree","2020"
"REF_MFM",61.0017992116221,0,0,"AFMfree","2020"
"REF_SFM",61.1352295836917,0,0,"AFMfree","2020"
"RCP2.6_MFM",60.4316696734673,0,0,"AFM25","2020"
"RCP2.6_SFM",60.2560164406785,0,0,"AFM25","2020"
"REF_MFM",60.6610233847846,0,0,"AFM25","2020"
"REF_SFM",61.2808650645949,0,0,"AFM25","2020"
"RCP2.6_MFM",59.8106333783328,0,0,"AFM50","2020"
"RCP2.6_SFM",60.2555070236693,0,0,"AFM50","2020"
"REF_MFM",61.2305711351861,0,0,"AFM50","2020"
"REF_SFM",61.1232278450451,0,0,"AFM50","2020"
"RCP2.6_MFM",59.8138774382445,0,0,"AFM75","2020"
"RCP2.6_SFM",60.4147368407058,0,0,"AFM75","2020"
"REF_MFM",61.2502659989862,0,0,"AFM75","2020"
"REF_SFM",61.7112557389546,0,0,"AFM75","2020"
"RCP2.6_MFM",59.808505280443,0,0,"AFM100","2020"
"RCP2.6_SFM",60.2947126216383,0,0,"AFM100","2020"
"REF_MFM",60.9955399120624,0,0,"AFM100","2020"
"REF_SFM",61.1705825388251,0,0,"AFM100","2020"
"RCP2.6_MFM",80.2366875123351,0,0,"noAFM","2030"
"RCP2.6_SFM",80.2404975829689,0,0,"noAFM","2030"
"REF_MFM",72.5077013872482,0,0,"noAFM","2030"
"REF_SFM",72.5042540453332,0,0,"noAFM","2030"
"RCP2.6_MFM",80.5001008388828,0,0,"AFMfree","2030"
"RCP2.6_SFM",80.6143739379837,0,0,"AFMfree","2030"
"REF_MFM",72.8312337912347,0,0,"AFMfree","2030"
"REF_SFM",73.3576354156457,0,0,"AFMfree","2030"
"RCP2.6_MFM",80.6827452971987,0,0,"AFM25","2030"
"RCP2.6_SFM",80.9424576065464,0,0,"AFM25","2030"
"REF_MFM",72.6068126573995,0,0,"AFM25","2030"
"REF_SFM",73.4302222813317,0,0,"AFM25","2030"
"RCP2.6_MFM",80.2039699786481,0,0,"AFM50","2030"
"RCP2.6_SFM",80.9314532083801,0,0,"AFM50","2030"
"REF_MFM",72.9335562370887,0,0,"AFM50","2030"
"REF_SFM",73.1988864566544,0,0,"AFM50","2030"
"RCP2.6_MFM",80.2403534414048,0,0,"AFM75","2030"
"RCP2.6_SFM",81.1857641916771,0,0,"AFM75","2030"
"REF_MFM",72.7869817333303,0,0,"AFM75","2030"
"REF_SFM",73.8492357252456,0,0,"AFM75","2030"
"RCP2.6_MFM",80.2044267598204,0,0,"AFM100","2030"
"RCP2.6_SFM",81.0660831634113,0,0,"AFM100","2030"
"REF_MFM",72.6033235870082,0,0,"AFM100","2030"
"REF_SFM",73.4263826928691,0,0,"AFM100","2030"
"RCP2.6_MFM",98.4038319698635,0,0,"noAFM","2040"
"RCP2.6_SFM",98.4270842431929,0,0,"noAFM","2040"
"REF_MFM",80.9451301084757,0,0,"noAFM","2040"
"REF_SFM",80.9223203704403,0,0,"noAFM","2040"
"RCP2.6_MFM",98.4338151076497,0,0,"AFMfree","2040"
"RCP2.6_SFM",98.5525900640478,0,0,"AFMfree","2040"
"REF_MFM",80.4303110012971,0,0,"AFMfree","2040"
"REF_SFM",81.1404802508622,0,0,"AFMfree","2040"
"RCP2.6_MFM",98.6108354016878,0,0,"AFM25","2040"
"RCP2.6_SFM",99.3339016915702,0,0,"AFM25","2040"
"REF_MFM",80.3989290368733,0,0,"AFM25","2040"
"REF_SFM",81.7301929672081,0,0,"AFM25","2040"
"RCP2.6_MFM",98.4575152463405,0,0,"AFM50","2040"
"RCP2.6_SFM",99.5684061183358,0,0,"AFM50","2040"
"REF_MFM",80.9269939667918,0,0,"AFM50","2040"
"REF_SFM",81.7680801154284,0,0,"AFM50","2040"
"RCP2.6_MFM",98.5479175872692,0,0,"AFM75","2040"
"RCP2.6_SFM",100.314634268131,0,0,"AFM75","2040"
"REF_MFM",80.9758947940199,0,0,"AFM75","2040"
"REF_SFM",82.4452797448206,0,0,"AFM75","2040"
"RCP2.6_MFM",98.7537153906882,0,0,"AFM100","2040"
"RCP2.6_SFM",100.38201342483,0,0,"AFM100","2040"
"REF_MFM",80.9828284027721,0,0,"AFM100","2040"
"REF_SFM",82.18015567216,0,0,"AFM100","2040"
"RCP2.6_MFM",119.838479758446,0,0,"noAFM","2050"
"RCP2.6_SFM",119.804101100919,0,0,"noAFM","2050"
"REF_MFM",89.3812023618629,0,0,"noAFM","2050"
"REF_SFM",89.4036260129843,0,0,"noAFM","2050"
"RCP2.6_MFM",119.909814346064,0,0,"AFMfree","2050"
"RCP2.6_SFM",119.93118210367,0,0,"AFMfree","2050"
"REF_MFM",88.773063582555,0,0,"AFMfree","2050"
"REF_SFM",89.189879679237,0,0,"AFMfree","2050"
"RCP2.6_MFM",120.109802209976,0,0,"AFM25","2050"
"RCP2.6_SFM",120.648330823792,0,0,"AFM25","2050"
"REF_MFM",88.7927771464153,0,0,"AFM25","2050"
"REF_SFM",89.7438988634107,0,0,"AFM25","2050"
"RCP2.6_MFM",119.765574025767,0,0,"AFM50","2050"
"RCP2.6_SFM",121.402060108105,0,0,"AFM50","2050"
"REF_MFM",89.3545779703957,0,0,"AFM50","2050"
"REF_SFM",90.2284160800914,0,0,"AFM50","2050"
"RCP2.6_MFM",120.293160128007,0,0,"AFM75","2050"
"RCP2.6_SFM",122.093039562029,0,0,"AFM75","2050"
"REF_MFM",89.5400025506025,0,0,"AFM75","2050"
"REF_SFM",91.4255068717328,0,0,"AFM75","2050"
"RCP2.6_MFM",120.462929393031,0,0,"AFM100","2050"
"RCP2.6_SFM",122.597259112355,0,0,"AFM100","2050"
"REF_MFM",89.6599857665418,0,0,"AFM100","2050"
"REF_SFM",92.0915098220453,0,0,"AFM100","2050"
"RCP2.6_MFM",142.657205843608,0,0,"noAFM","2060"
"RCP2.6_SFM",142.538430555257,0,0,"noAFM","2060"
"REF_MFM",91.957579629013,0,0,"noAFM","2060"
"REF_SFM",91.9378696816883,0,0,"noAFM","2060"
"RCP2.6_MFM",142.489756517856,0,0,"AFMfree","2060"
"RCP2.6_SFM",142.58809989474,0,0,"AFMfree","2060"
