"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",48.3435809880065
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",64.2230883074019
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",243.687406244428
"RCP2.6_MFM","noAFM","Annual_crops",73.7340572377305
"RCP2.6_MFM","noAFM","Pasture",647.464273945584
"RCP2.6_MFM","noAFM","Permanent_crops",402.183204949017
"RCP2.6_MFM","noAFM","Urban",188.961274811308
"RCP2.6_SFM","noAFM","Afforestation",48.3372406527275
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",64.1569645369704
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",243.888127210774
"RCP2.6_SFM","noAFM","Annual_crops",73.7321070685621
"RCP2.6_SFM","noAFM","Pasture",646.913996933417
"RCP2.6_SFM","noAFM","Permanent_crops",402.166441788323
"RCP2.6_SFM","noAFM","Urban",188.930843053368
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",43.6748122605113
"REF_MFM","noAFM","Energy_crops_and_plantations",58.5713689877017
"REF_MFM","noAFM","Annual_crops",397.884672597621
"REF_MFM","noAFM","Pasture",824.680018555801
"REF_MFM","noAFM","Permanent_crops",410.553921520374
"REF_MFM","noAFM","Urban",196.544333406785
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",43.7002646783833
"REF_SFM","noAFM","Energy_crops_and_plantations",58.6084871933135
"REF_SFM","noAFM","Annual_crops",397.78010512023
"REF_SFM","noAFM","Pasture",824.69395672863
"REF_SFM","noAFM","Permanent_crops",410.542704133287
"REF_SFM","noAFM","Urban",196.538925832637
"RCP2.6_MFM","AFMfree","Afforestation",48.3398494876922
"RCP2.6_MFM","AFMfree","Regrowth",0
