"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",3251.47356688832
"RCP2.6_MFM","noAFM","EU28_Forest_net",856.916150217449
"RCP2.6_MFM","noAFM","Import_Energy_plantations",1502.48858235527
"RCP2.6_MFM","noAFM","Clear_cut_im",0
"RCP2.6_MFM","noAFM","Pulp_Timber_Plantation_im",3798.28139604212
"RCP2.6_MFM","noAFM","Selection_im",0
"RCP2.6_MFM","noAFM","Selective_im",0
"RCP2.6_SFM","noAFM","EU28_Energy_crops",3254.15174762179
"RCP2.6_SFM","noAFM","EU28_Forest_net",856.033873636095
"RCP2.6_SFM","noAFM","Import_Energy_plantations",1494.04141745183
"RCP2.6_SFM","noAFM","Clear_cut_im",0
"RCP2.6_SFM","noAFM","Pulp_Timber_Plantation_im",3836.77454806972
"RCP2.6_SFM","noAFM","Selection_im",0
"RCP2.6_SFM","noAFM","Selective_im",0
"REF_MFM","noAFM","EU28_Energy_crops",781.506360853756
"REF_MFM","noAFM","EU28_Forest_net",582.744507779048
"REF_MFM","noAFM","Import_Energy_plantations",222.903213611856
"REF_MFM","noAFM","Clear_cut_im",0
"REF_MFM","noAFM","Pulp_Timber_Plantation_im",2817.54693980857
"REF_MFM","noAFM","Selection_im",0
"REF_MFM","noAFM","Selective_im",0
"REF_SFM","noAFM","EU28_Energy_crops",782.001621836904
"REF_SFM","noAFM","EU28_Forest_net",583.084114430042
"REF_SFM","noAFM","Import_Energy_plantations",244.729180404224
"REF_SFM","noAFM","Clear_cut_im",0
"REF_SFM","noAFM","Pulp_Timber_Plantation_im",2830.72888526546
"REF_SFM","noAFM","Selection_im",0
"REF_SFM","noAFM","Selective_im",0
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",3204.6876767882
"RCP2.6_MFM","AFMfree","EU28_Forest_net",873.307402269895
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",1357.74231419854
"RCP2.6_MFM","AFMfree","Clear_cut_im",0
"RCP2.6_MFM","AFMfree","Pulp_Timber_Plantation_im",2524.83070915324
"RCP2.6_MFM","AFMfree","Selection_im",0
"RCP2.6_MFM","AFMfree","Selective_im",0
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",3205.97063905028
"RCP2.6_SFM","AFMfree","EU28_Forest_net",872.160481849513
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",1309.16307418945
"RCP2.6_SFM","AFMfree","Clear_cut_im",0
"RCP2.6_SFM","AFMfree","Pulp_Timber_Plantation_im",2460.97701972345
"RCP2.6_SFM","AFMfree","Selection_im",0
"RCP2.6_SFM","AFMfree","Selective_im",0
"REF_MFM","AFMfree","EU28_Energy_crops",750.623623431606
"REF_MFM","AFMfree","EU28_Forest_net",590.52715912566
"REF_MFM","AFMfree","Import_Energy_plantations",240.895981578898
"REF_MFM","AFMfree","Clear_cut_im",0
"REF_MFM","AFMfree","Pulp_Timber_Plantation_im",1523.2601988784
"REF_MFM","AFMfree","Selection_im",0
"REF_MFM","AFMfree","Selective_im",0
"REF_SFM","AFMfree","EU28_Energy_crops",752.219879073783
"REF_SFM","AFMfree","EU28_Forest_net",592.673657956978
"REF_SFM","AFMfree","Import_Energy_plantations",224.50417833694
"REF_SFM","AFMfree","Clear_cut_im",0
"REF_SFM","AFMfree","Pulp_Timber_Plantation_im",1595.78678858328
"REF_SFM","AFMfree","Selection_im",0
"REF_SFM","AFMfree","Selective_im",0
"RCP2.6_MFM","AFM25","EU28_Energy_crops",3246.35543886766
"RCP2.6_MFM","AFM25","EU28_Forest_net",871.047571767055
"RCP2.6_MFM","AFM25","Import_Energy_plantations",1523.95665513291
"RCP2.6_MFM","AFM25","Clear_cut_im",0
"RCP2.6_MFM","AFM25","Pulp_Timber_Plantation_im",2627.63713192674
"RCP2.6_MFM","AFM25","Selection_im",0
"RCP2.6_MFM","AFM25","Selective_im",0
"RCP2.6_SFM","AFM25","EU28_Energy_crops",3289.15732840706
"RCP2.6_SFM","AFM25","EU28_Forest_net",863.495657636998
"RCP2.6_SFM","AFM25","Import_Energy_plantations",1751.36161241467
"RCP2.6_SFM","AFM25","Clear_cut_im",0
"RCP2.6_SFM","AFM25","Pulp_Timber_Plantation_im",3210.67408117302
"RCP2.6_SFM","AFM25","Selection_im",0
"RCP2.6_SFM","AFM25","Selective_im",0
"REF_MFM","AFM25","EU28_Energy_crops",755.727756893305
"REF_MFM","AFM25","EU28_Forest_net",588.731984339311
"REF_MFM","AFM25","Import_Energy_plantations",224.905561802025
"REF_MFM","AFM25","Clear_cut_im",0
"REF_MFM","AFM25","Pulp_Timber_Plantation_im",1610.92818258067
"REF_MFM","AFM25","Selection_im",0
"REF_MFM","AFM25","Selective_im",0
"REF_SFM","AFM25","EU28_Energy_crops",770.861103483027
"REF_SFM","AFM25","EU28_Forest_net",587.427040451773
"REF_SFM","AFM25","Import_Energy_plantations",252.997067256273
"REF_SFM","AFM25","Clear_cut_im",0
"REF_SFM","AFM25","Pulp_Timber_Plantation_im",1946.27933032352
"REF_SFM","AFM25","Selection_im",0
"REF_SFM","AFM25","Selective_im",0
"RCP2.6_MFM","AFM50","EU28_Energy_crops",3274.03634454423
"RCP2.6_MFM","AFM50","EU28_Forest_net",858.801314162807
"RCP2.6_MFM","AFM50","Import_Energy_plantations",1734.29043780345
"RCP2.6_MFM","AFM50","Clear_cut_im",0
"RCP2.6_MFM","AFM50","Pulp_Timber_Plantation_im",2801.83553138339
"RCP2.6_MFM","AFM50","Selection_im",0
"RCP2.6_MFM","AFM50","Selective_im",0
"RCP2.6_SFM","AFM50","EU28_Energy_crops",3363.59946144205
"RCP2.6_SFM","AFM50","EU28_Forest_net",857.542049364646
"RCP2.6_SFM","AFM50","Import_Energy_plantations",2151.74349110155
"RCP2.6_SFM","AFM50","Clear_cut_im",0
"RCP2.6_SFM","AFM50","Pulp_Timber_Plantation_im",5101.20067842815
"RCP2.6_SFM","AFM50","Selection_im",0
"RCP2.6_SFM","AFM50","Selective_im",0
"REF_MFM","AFM50","EU28_Energy_crops",765.843102246402
"REF_MFM","AFM50","EU28_Forest_net",586.799196110372
"REF_MFM","AFM50","Import_Energy_plantations",251.039226728138
"REF_MFM","AFM50","Clear_cut_im",0
"REF_MFM","AFM50","Pulp_Timber_Plantation_im",1704.75839455259
"REF_MFM","AFM50","Selection_im",0
"REF_MFM","AFM50","Selective_im",0
"REF_SFM","AFM50","EU28_Energy_crops",818.088381513332
"REF_SFM","AFM50","EU28_Forest_net",581.722998113065
"REF_SFM","AFM50","Import_Energy_plantations",282.861748472416
"REF_SFM","AFM50","Clear_cut_im",0
"REF_SFM","AFM50","Pulp_Timber_Plantation_im",3812.11749572834
"REF_SFM","AFM50","Selection_im",0
"REF_SFM","AFM50","Selective_im",0
"RCP2.6_MFM","AFM75","EU28_Energy_crops",3335.15286217857
"RCP2.6_MFM","AFM75","EU28_Forest_net",853.80730211047
"RCP2.6_MFM","AFM75","Import_Energy_plantations",1868.06677768534
"RCP2.6_MFM","AFM75","Clear_cut_im",0
"RCP2.6_MFM","AFM75","Pulp_Timber_Plantation_im",3547.26537047541
"RCP2.6_MFM","AFM75","Selection_im",0
"RCP2.6_MFM","AFM75","Selective_im",0
"RCP2.6_SFM","AFM75","EU28_Energy_crops",3416.90672800474
"RCP2.6_SFM","AFM75","EU28_Forest_net",836.135631593541
"RCP2.6_SFM","AFM75","Import_Energy_plantations",2564.39786075118
"RCP2.6_SFM","AFM75","Clear_cut_im",0
"RCP2.6_SFM","AFM75","Pulp_Timber_Plantation_im",5788.12023429664
"RCP2.6_SFM","AFM75","Selection_im",0
"RCP2.6_SFM","AFM75","Selective_im",0
"REF_MFM","AFM75","EU28_Energy_crops",785.433894431847
"REF_MFM","AFM75","EU28_Forest_net",579.90797318467
"REF_MFM","AFM75","Import_Energy_plantations",240.548583549319
"REF_MFM","AFM75","Clear_cut_im",0
"REF_MFM","AFM75","Pulp_Timber_Plantation_im",2296.5861768615
"REF_MFM","AFM75","Selection_im",0
"REF_MFM","AFM75","Selective_im",0
"REF_SFM","AFM75","EU28_Energy_crops",870.803733874428
"REF_SFM","AFM75","EU28_Forest_net",575.010463156588
"REF_SFM","AFM75","Import_Energy_plantations",399.903317665343
"REF_SFM","AFM75","Clear_cut_im",0
"REF_SFM","AFM75","Pulp_Timber_Plantation_im",5215.1609007863
"REF_SFM","AFM75","Selection_im",0
"REF_SFM","AFM75","Selective_im",0
"RCP2.6_MFM","AFM100","EU28_Energy_crops",3370.11917659126
"RCP2.6_MFM","AFM100","EU28_Forest_net",851.403207977034
"RCP2.6_MFM","AFM100","Import_Energy_plantations",2132.8655809582
"RCP2.6_MFM","AFM100","Clear_cut_im",0
"RCP2.6_MFM","AFM100","Pulp_Timber_Plantation_im",3984.35334482283
"RCP2.6_MFM","AFM100","Selection_im",0
"RCP2.6_MFM","AFM100","Selective_im",0
"RCP2.6_SFM","AFM100","EU28_Energy_crops",3464.75534232344
"RCP2.6_SFM","AFM100","EU28_Forest_net",821.475846961923
"RCP2.6_SFM","AFM100","Import_Energy_plantations",2826.46721756887
"RCP2.6_SFM","AFM100","Clear_cut_im",0
"RCP2.6_SFM","AFM100","Pulp_Timber_Plantation_im",7646.16957083182
"RCP2.6_SFM","AFM100","Selection_im",0
"RCP2.6_SFM","AFM100","Selective_im",0
"REF_MFM","AFM100","EU28_Energy_crops",810.049293612642
"REF_MFM","AFM100","EU28_Forest_net",578.130328005928
"REF_MFM","AFM100","Import_Energy_plantations",280.469616760715
"REF_MFM","AFM100","Clear_cut_im",0
"REF_MFM","AFM100","Pulp_Timber_Plantation_im",2873.29524335316
"REF_MFM","AFM100","Selection_im",0
"REF_MFM","AFM100","Selective_im",0
"REF_SFM","AFM100","EU28_Energy_crops",920.867981242211
"REF_SFM","AFM100","EU28_Forest_net",566.951719580448
"REF_SFM","AFM100","Import_Energy_plantations",599.980718713023
"REF_SFM","AFM100","Clear_cut_im",0
"REF_SFM","AFM100","Pulp_Timber_Plantation_im",7259.41043561078
"REF_SFM","AFM100","Selection_im",0
"REF_SFM","AFM100","Selective_im",0
