"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",150603.931205708
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",785.734416288259
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",73669.2005830917
"RCP2.6_MFM","noAFM","EP_EU",260460.115322541
"RCP2.6_SFM","noAFM","Clear_cut",150637.631392328
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",784.105925581911
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",73588.0611432505
"RCP2.6_SFM","noAFM","EP_EU",260654.58718993
"REF_MFM","noAFM","Clear_cut",91554.0173537602
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",5086.86151485906
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",57364.9998593913
"REF_MFM","noAFM","EP_EU",59110.4864454456
"REF_SFM","noAFM","Clear_cut",91574.2131514721
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",5084.14030238575
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",57377.1798133487
"REF_SFM","noAFM","EP_EU",59138.507601614
"RCP2.6_MFM","AFMfree","Clear_cut",109245.959632162
"RCP2.6_MFM","AFMfree","Retention",6058.96519936874
"RCP2.6_MFM","AFMfree","Selection",1076.97763718435
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",74733.8966818053
"RCP2.6_MFM","AFMfree","EP_EU",254805.409575494
"RCP2.6_SFM","AFMfree","Clear_cut",109701.333914608
"RCP2.6_SFM","AFMfree","Retention",6047.30567066833
"RCP2.6_SFM","AFMfree","Selection",839.734680067373
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",74552.8387441146
"RCP2.6_SFM","AFMfree","EP_EU",254867.877534684
"REF_MFM","AFMfree","Clear_cut",65115.8324752544
"REF_MFM","AFMfree","Retention",4393.5792743262
"REF_MFM","AFMfree","Selection",4979.728051579
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",57764.6914741474
"REF_MFM","AFMfree","EP_EU",56334.5518742073
"REF_SFM","AFMfree","Clear_cut",70570.7278226245
"REF_SFM","AFMfree","Retention",4486.74275699088
"REF_SFM","AFMfree","Selection",3595.72906409891
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",58087.2329861931
"REF_SFM","AFMfree","EP_EU",56532.7115664078
"RCP2.6_MFM","AFM25","Clear_cut",101332.979651065
"RCP2.6_MFM","AFM25","Retention",4824.34460878012
"RCP2.6_MFM","AFM25","Selection",2140.83633535041
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",74511.0429290663
"RCP2.6_MFM","AFM25","EP_EU",257531.945182546
"RCP2.6_SFM","AFM25","Clear_cut",102139.895532377
"RCP2.6_SFM","AFM25","Retention",4996.10006253633
"RCP2.6_SFM","AFM25","Selection",614.831335312246
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",73939.7655524985
"RCP2.6_SFM","AFM25","EP_EU",261325.033961839
"REF_MFM","AFM25","Clear_cut",67673.5257916473
"REF_MFM","AFM25","Retention",3607.2950062666
"REF_MFM","AFM25","Selection",5185.20329652368
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",57532.1421145974
"REF_MFM","AFM25","EP_EU",56851.1639021398
"REF_SFM","AFM25","Clear_cut",75170.8313637178
"REF_SFM","AFM25","Retention",3985.31431979039
"REF_SFM","AFM25","Selection",2709.55696298418
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",57661.9950124493
"REF_SFM","AFM25","EP_EU",57843.7629130329
"RCP2.6_MFM","AFM50","Clear_cut",92656.4492291749
"RCP2.6_MFM","AFM50","Retention",3504.82858881146
"RCP2.6_MFM","AFM50","Selection",3257.85025991152
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",73158.7536252456
"RCP2.6_MFM","AFM50","EP_EU",259658.916248225
"RCP2.6_SFM","AFM50","Clear_cut",92854.9690085562
"RCP2.6_SFM","AFM50","Retention",3485.41182122269
"RCP2.6_SFM","AFM50","Selection",538.693155068113
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",73460.6405247433
"RCP2.6_SFM","AFM50","EP_EU",266635.880371376
"REF_MFM","AFM50","Clear_cut",64245.855769545
"REF_MFM","AFM50","Retention",2821.75199870934
"REF_MFM","AFM50","Selection",5753.21004061507
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",57410.2326290628
"REF_MFM","AFM50","EP_EU",57540.677575814
"REF_SFM","AFM50","Clear_cut",68804.8456752248
"REF_SFM","AFM50","Retention",2980.50759947434
"REF_SFM","AFM50","Selection",2421.28029599303
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",57152.113395386
"REF_SFM","AFM50","EP_EU",61721.9152124126
"RCP2.6_MFM","AFM75","Clear_cut",85783.6649955393
"RCP2.6_MFM","AFM75","Retention",1848.01503769647
"RCP2.6_MFM","AFM75","Selection",4330.9653520152
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",72776.5355867215
"RCP2.6_MFM","AFM75","EP_EU",264015.149056472
"RCP2.6_SFM","AFM75","Clear_cut",83290.4399726661
