"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",856.916150217449
"RCP2.6_MFM","noAFM","EP_EU",3251.47356688832
"RCP2.6_SFM","noAFM","Clear_cut",0
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",856.033873636095
"RCP2.6_SFM","noAFM","EP_EU",3254.15174762179
"REF_MFM","noAFM","Clear_cut",0
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",582.744507779048
"REF_MFM","noAFM","EP_EU",781.506360853756
"REF_SFM","noAFM","Clear_cut",0
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",583.084114430042
"REF_SFM","noAFM","EP_EU",782.001621836904
"RCP2.6_MFM","AFMfree","Clear_cut",0
"RCP2.6_MFM","AFMfree","Retention",0
"RCP2.6_MFM","AFMfree","Selection",0
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",873.307402269895
"RCP2.6_MFM","AFMfree","EP_EU",3204.6876767882
"RCP2.6_SFM","AFMfree","Clear_cut",0
"RCP2.6_SFM","AFMfree","Retention",0
"RCP2.6_SFM","AFMfree","Selection",0
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",872.160481849513
"RCP2.6_SFM","AFMfree","EP_EU",3205.97063905028
"REF_MFM","AFMfree","Clear_cut",0
"REF_MFM","AFMfree","Retention",0
"REF_MFM","AFMfree","Selection",0
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",590.52715912566
"REF_MFM","AFMfree","EP_EU",750.623623431606
"REF_SFM","AFMfree","Clear_cut",0
"REF_SFM","AFMfree","Retention",0
"REF_SFM","AFMfree","Selection",0
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",592.673657956978
"REF_SFM","AFMfree","EP_EU",752.219879073783
"RCP2.6_MFM","AFM25","Clear_cut",0
"RCP2.6_MFM","AFM25","Retention",0
"RCP2.6_MFM","AFM25","Selection",0
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",871.047571767055
"RCP2.6_MFM","AFM25","EP_EU",3246.35543886766
"RCP2.6_SFM","AFM25","Clear_cut",0
"RCP2.6_SFM","AFM25","Retention",0
"RCP2.6_SFM","AFM25","Selection",0
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",863.495657636998
"RCP2.6_SFM","AFM25","EP_EU",3289.15732840706
"REF_MFM","AFM25","Clear_cut",0
"REF_MFM","AFM25","Retention",0
"REF_MFM","AFM25","Selection",0
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",588.731984339311
"REF_MFM","AFM25","EP_EU",755.727756893305
"REF_SFM","AFM25","Clear_cut",0
"REF_SFM","AFM25","Retention",0
"REF_SFM","AFM25","Selection",0
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",587.427040451773
