"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",155370.311888009,0,0,"noAFM","2020"
"RCP2.6_SFM",155370.278055141,0,0,"noAFM","2020"
"REF_MFM",160411.382904315,0,0,"noAFM","2020"
"REF_SFM",160408.18949803,0,0,"noAFM","2020"
"RCP2.6_MFM",156450.32978572,0,0,"AFMfree","2020"
"RCP2.6_SFM",156417.850656989,0,0,"AFMfree","2020"
"REF_MFM",160947.984904228,0,0,"AFMfree","2020"
"REF_SFM",162402.361382907,0,0,"AFMfree","2020"
"RCP2.6_MFM",156459.533365884,0,0,"AFM25","2020"
"RCP2.6_SFM",154674.140712357,0,0,"AFM25","2020"
"REF_MFM",160407.861194611,0,0,"AFM25","2020"
"REF_SFM",160468.909814555,0,0,"AFM25","2020"
"RCP2.6_MFM",155389.983590398,0,0,"AFM50","2020"
"RCP2.6_SFM",152349.787395706,0,0,"AFM50","2020"
"REF_MFM",161391.469726688,0,0,"AFM50","2020"
"REF_SFM",157590.354943799,0,0,"AFM50","2020"
"RCP2.6_MFM",155393.049377102,0,0,"AFM75","2020"
"RCP2.6_SFM",149509.788540779,0,0,"AFM75","2020"
"REF_MFM",161403.968827067,0,0,"AFM75","2020"
"REF_SFM",155200.60236213,0,0,"AFM75","2020"
"RCP2.6_MFM",155387.972127163,0,0,"AFM100","2020"
"RCP2.6_SFM",144735.009202538,0,0,"AFM100","2020"
"REF_MFM",160941.906079561,0,0,"AFM100","2020"
"REF_SFM",149560.244841458,0,0,"AFM100","2020"
"RCP2.6_MFM",181976.311652016,0,0,"noAFM","2030"
"RCP2.6_SFM",181984.206620836,0,0,"noAFM","2030"
"REF_MFM",179782.796792626,0,0,"noAFM","2030"
"REF_SFM",179810.406762774,0,0,"noAFM","2030"
"RCP2.6_MFM",178316.349360508,0,0,"AFMfree","2030"
"RCP2.6_SFM",177845.307756469,0,0,"AFMfree","2030"
"REF_MFM",176085.307638797,0,0,"AFMfree","2030"
"REF_SFM",176810.238954546,0,0,"AFMfree","2030"
"RCP2.6_MFM",178153.312269976,0,0,"AFM25","2030"
"RCP2.6_SFM",177274.277046432,0,0,"AFM25","2030"
"REF_MFM",174975.165986631,0,0,"AFM25","2030"
"REF_SFM",175742.161925727,0,0,"AFM25","2030"
"RCP2.6_MFM",176241.747881084,0,0,"AFM50","2030"
"RCP2.6_SFM",175502.338060992,0,0,"AFM50","2030"
"REF_MFM",175069.087236332,0,0,"AFM50","2030"
"REF_SFM",173294.706412812,0,0,"AFM50","2030"
"RCP2.6_MFM",175986.955960491,0,0,"AFM75","2030"
"RCP2.6_SFM",173817.6112366,0,0,"AFM75","2030"
"REF_MFM",174524.714942165,0,0,"AFM75","2030"
"REF_SFM",170446.73727707,0,0,"AFM75","2030"
"RCP2.6_MFM",175589.074071881,0,0,"AFM100","2030"
"RCP2.6_SFM",169473.200462321,0,0,"AFM100","2030"
"REF_MFM",173532.316131073,0,0,"AFM100","2030"
"REF_SFM",164773.006223874,0,0,"AFM100","2030"
"RCP2.6_MFM",202383.907468931,0,0,"noAFM","2040"
