"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",797.884503092802,0,0,"noAFM","2020"
"RCP2.6_SFM",797.884356757011,0,0,"noAFM","2020"
"REF_MFM",809.44397987136,0,0,"noAFM","2020"
"REF_SFM",809.412808441633,0,0,"noAFM","2020"
"RCP2.6_MFM",806.199641867031,0,0,"AFMfree","2020"
"RCP2.6_SFM",803.882873897926,0,0,"AFMfree","2020"
"REF_MFM",813.935117641118,0,0,"AFMfree","2020"
"REF_SFM",815.715453090089,0,0,"AFMfree","2020"
"RCP2.6_MFM",806.327990331663,0,0,"AFM25","2020"
"RCP2.6_SFM",803.984283481345,0,0,"AFM25","2020"
"REF_MFM",809.388212200773,0,0,"AFM25","2020"
"REF_SFM",817.658638927451,0,0,"AFM25","2020"
"RCP2.6_MFM",798.041624085543,0,0,"AFM50","2020"
"RCP2.6_SFM",803.977486429477,0,0,"AFM50","2020"
"REF_MFM",816.987576829627,0,0,"AFM50","2020"
"REF_SFM",815.555316230464,0,0,"AFM50","2020"
"RCP2.6_MFM",798.084908944679,0,0,"AFM75","2020"
"RCP2.6_SFM",806.102058844332,0,0,"AFM75","2020"
"REF_MFM",817.250361558786,0,0,"AFM75","2020"
"REF_SFM",823.401257812368,0,0,"AFM75","2020"
"RCP2.6_MFM",798.013229290166,0,0,"AFM100","2020"
"RCP2.6_SFM",804.500599082012,0,0,"AFM100","2020"
"REF_MFM",813.85160102703,0,0,"AFM100","2020"
"REF_SFM",816.187160680149,0,0,"AFM100","2020"
"RCP2.6_MFM",1070.58248336131,0,0,"noAFM","2030"
"RCP2.6_SFM",1070.63332039119,0,0,"noAFM","2030"
"REF_MFM",967.45612787226,0,0,"noAFM","2030"
"REF_SFM",967.410130660975,0,0,"noAFM","2030"
"RCP2.6_MFM",1074.09715603822,0,0,"AFMfree","2030"
"RCP2.6_SFM",1075.62187972772,0,0,"AFMfree","2030"
"REF_MFM",971.772957682246,0,0,"AFMfree","2030"
"REF_SFM",978.79663196118,0,0,"AFMfree","2030"
"RCP2.6_MFM",1076.53414544816,0,0,"AFM25","2030"
"RCP2.6_SFM",1079.9994361739,0,0,"AFM25","2030"
"REF_MFM",968.77855023312,0,0,"AFM25","2030"
"REF_SFM",979.765144362861,0,0,"AFM25","2030"
"RCP2.6_MFM",1070.14593968596,0,0,"AFM50","2030"
"RCP2.6_SFM",1079.85260663393,0,0,"AFM50","2030"
"REF_MFM",973.138226134649,0,0,"AFM50","2030"
"REF_SFM",976.678475541503,0,0,"AFM50","2030"
"RCP2.6_MFM",1070.63139713839,0,0,"AFM75","2030"
"RCP2.6_SFM",1083.24582851889,0,0,"AFM75","2030"
"REF_MFM",971.182511098344,0,0,"AFM75","2030"
"REF_SFM",985.35595907936,0,0,"AFM75","2030"
"RCP2.6_MFM",1070.15203442812,0,0,"AFM100","2030"
"RCP2.6_SFM",1081.64894788456,0,0,"AFM100","2030"
"REF_MFM",968.731996246909,0,0,"AFM100","2030"
"REF_SFM",979.713913482341,0,0,"AFM100","2030"
"RCP2.6_MFM",1312.98315108496,0,0,"noAFM","2040"
"RCP2.6_SFM",1313.29340163613,0,0,"noAFM","2040"
"REF_MFM",1080.03509484628,0,0,"noAFM","2040"
"REF_SFM",1079.73074895728,0,0,"noAFM","2040"
"RCP2.6_MFM",1313.38321024874,0,0,"AFMfree","2040"
"RCP2.6_SFM",1314.96800134274,0,0,"AFMfree","2040"
"REF_MFM",1073.16596383734,0,0,"AFMfree","2040"
"REF_SFM",1082.64161372243,0,0,"AFMfree","2040"
"RCP2.6_MFM",1315.74515753086,0,0,"AFM25","2040"
"RCP2.6_SFM",1325.39289011128,0,0,"AFM25","2040"
"REF_MFM",1072.74724040238,0,0,"AFM25","2040"
