"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",1103807.64171891
"RCP2.6_MFM","noAFM","Regrowth",548088.743397857
"RCP2.6_MFM","noAFM","Forest",6735451.37112527
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",5472891.7318108
"RCP2.6_MFM","noAFM","Annual_crops",4647386.91461664
"RCP2.6_MFM","noAFM","Pasture",7731992.87509983
"RCP2.6_MFM","noAFM","Permanent_crops",4252206.64830885
"RCP2.6_MFM","noAFM","Urban",2008336.61981639
"RCP2.6_SFM","noAFM","Afforestation",1103820.43243695
"RCP2.6_SFM","noAFM","Regrowth",548003.327876962
"RCP2.6_SFM","noAFM","Forest",6737020.58768492
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",5472569.30583255
"RCP2.6_SFM","noAFM","Annual_crops",4647822.02029189
"RCP2.6_SFM","noAFM","Pasture",7731880.2645844
"RCP2.6_SFM","noAFM","Permanent_crops",4252223.52337323
"RCP2.6_SFM","noAFM","Urban",2008337.82892621
"REF_MFM","noAFM","Afforestation",602836.79012329
"REF_MFM","noAFM","Regrowth",654718.88080929
"REF_MFM","noAFM","Forest",4445490.24751333
"REF_MFM","noAFM","Energy_crops_and_plantations",538672.220150909
"REF_MFM","noAFM","Annual_crops",8939675.77873443
"REF_MFM","noAFM","Pasture",15172535.1002493
"REF_MFM","noAFM","Permanent_crops",4408005.46743378
"REF_MFM","noAFM","Urban",2078043.61801412
"REF_SFM","noAFM","Afforestation",602845.671413396
"REF_SFM","noAFM","Regrowth",654771.422191643
"REF_SFM","noAFM","Forest",4445692.55826247
"REF_SFM","noAFM","Energy_crops_and_plantations",540501.793133772
"REF_SFM","noAFM","Annual_crops",8938764.32908873
"REF_SFM","noAFM","Pasture",15171719.7138351
"REF_SFM","noAFM","Permanent_crops",4408023.27472331
"REF_SFM","noAFM","Urban",2078057.9393482
"RCP2.6_MFM","AFMfree","Afforestation",1103092.57750458
"RCP2.6_MFM","AFMfree","Regrowth",550295.825015949
"RCP2.6_MFM","AFMfree","Forest",6654341.79287038
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",5454634.27291861
"RCP2.6_MFM","AFMfree","Annual_crops",4650991.46190725
"RCP2.6_MFM","AFMfree","Pasture",7732701.40505478
"RCP2.6_MFM","AFMfree","Permanent_crops",4246538.79973359
"RCP2.6_MFM","AFMfree","Urban",2007060.16616993
"RCP2.6_SFM","AFMfree","Afforestation",1103050.28760716
"RCP2.6_SFM","AFMfree","Regrowth",550161.790854683
"RCP2.6_SFM","AFMfree","Forest",6652532.52026645
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",5451667.8860369
"RCP2.6_SFM","AFMfree","Annual_crops",4651888.83317914
"RCP2.6_SFM","AFMfree","Pasture",7733456.29490182
"RCP2.6_SFM","AFMfree","Permanent_crops",4246449.58373325
"RCP2.6_SFM","AFMfree","Urban",2007070.5928689
"REF_MFM","AFMfree","Afforestation",602730.874533711
"REF_MFM","AFMfree","Regrowth",661633.509434049
"REF_MFM","AFMfree","Forest",4364261.53679064
"REF_MFM","AFMfree","Energy_crops_and_plantations",537088.174363421
"REF_MFM","AFMfree","Annual_crops",8932873.64736699
"REF_MFM","AFMfree","Pasture",15161819.9280864
"REF_MFM","AFMfree","Permanent_crops",4401463.58121102
"REF_MFM","AFMfree","Urban",2076449.18882736
"REF_SFM","AFMfree","Afforestation",602738.787083401
"REF_SFM","AFMfree","Regrowth",661486.326772553
"REF_SFM","AFMfree","Forest",4369784.61673865
"REF_SFM","AFMfree","Energy_crops_and_plantations",535990.706424902
"REF_SFM","AFMfree","Annual_crops",8935057.74681846
"REF_SFM","AFMfree","Pasture",15162943.2924054
"REF_SFM","AFMfree","Permanent_crops",4402081.57948703
"REF_SFM","AFMfree","Urban",2076705.01885623
"RCP2.6_MFM","AFM25","Afforestation",1103058.36136946
"RCP2.6_MFM","AFM25","Regrowth",550165.585565073
"RCP2.6_MFM","AFM25","Forest",6645388.16082672
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",5468853.77201428
"RCP2.6_MFM","AFM25","Annual_crops",4644801.49397302
"RCP2.6_MFM","AFM25","Pasture",7727624.56899896
"RCP2.6_MFM","AFM25","Permanent_crops",4245897.30800296
"RCP2.6_MFM","AFM25","Urban",2006851.22047793
"RCP2.6_SFM","AFM25","Afforestation",1103212.23846537
"RCP2.6_SFM","AFM25","Regrowth",548963.218464622
"RCP2.6_SFM","AFM25","Forest",6661873.18585881
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",5488982.35486522
"RCP2.6_SFM","AFM25","Annual_crops",4638650.73944884
"RCP2.6_SFM","AFM25","Pasture",7722431.37643749
"RCP2.6_SFM","AFM25","Permanent_crops",4246769.69133457
"RCP2.6_SFM","AFM25","Urban",2007025.21086299
"REF_MFM","AFM25","Afforestation",602733.920046673
"REF_MFM","AFM25","Regrowth",661311.646389459
"REF_MFM","AFM25","Forest",4369176.94019458
"REF_MFM","AFM25","Energy_crops_and_plantations",536417.724020943
"REF_MFM","AFM25","Annual_crops",8934256.68458168
"REF_MFM","AFM25","Pasture",15162275.4358166
"REF_MFM","AFM25","Permanent_crops",4402502.29881628
"REF_MFM","AFM25","Urban",2076399.91828996
"REF_SFM","AFM25","Afforestation",602764.102781231
"REF_SFM","AFM25","Regrowth",658504.794737335
"REF_SFM","AFM25","Forest",4389729.56471523
"REF_SFM","AFM25","Energy_crops_and_plantations",539667.521564878
"REF_SFM","AFM25","Annual_crops",8935036.60339047
"REF_SFM","AFM25","Pasture",15164777.9534122
"REF_SFM","AFM25","Permanent_crops",4404061.76859854
"REF_SFM","AFM25","Urban",2077058.05169269
"RCP2.6_MFM","AFM50","Afforestation",1103020.0045182
"RCP2.6_MFM","AFM50","Regrowth",549356.244605736
"RCP2.6_MFM","AFM50","Forest",6640901.26069532
"RCP2.6_MFM","AFM50","Energy_crops_and_plantations",5485211.03657091
"RCP2.6_MFM","AFM50","Annual_crops",4639235.11055523
"RCP2.6_MFM","AFM50","Pasture",7722129.41197681
"RCP2.6_MFM","AFM50","Permanent_crops",4245170.14479455
"RCP2.6_MFM","AFM50","Urban",2006536.63153018
"RCP2.6_SFM","AFM50","Afforestation",1103784.16051677
"RCP2.6_SFM","AFM50","Regrowth",546167.824218116
"RCP2.6_SFM","AFM50","Forest",6723735.18230182
"RCP2.6_SFM","AFM50","Energy_crops_and_plantations",5523464.24339952
"RCP2.6_SFM","AFM50","Annual_crops",4628410.80749871
"RCP2.6_SFM","AFM50","Pasture",7716882.92695153
"RCP2.6_SFM","AFM50","Permanent_crops",4249559.10887362
"RCP2.6_SFM","AFM50","Urban",2007445.35607812
"REF_MFM","AFM50","Afforestation",602740.696526739
"REF_MFM","AFM50","Regrowth",660291.952865451
"REF_MFM","AFM50","Forest",4368693.76858819
"REF_MFM","AFM50","Energy_crops_and_plantations",539087.122903351
"REF_MFM","AFM50","Annual_crops",8932557.19415979
"REF_MFM","AFM50","Pasture",15161902.283046
"REF_MFM","AFM50","Permanent_crops",4402325.83762003
"REF_MFM","AFM50","Urban",2076389.63059096
"REF_SFM","AFM50","Afforestation",602924.580030047
"REF_SFM","AFM50","Regrowth",651343.168328323
"REF_SFM","AFM50","Forest",4463950.14581844
"REF_SFM","AFM50","Energy_crops_and_plantations",545970.071000566
"REF_SFM","AFM50","Annual_crops",8937051.20598993
"REF_SFM","AFM50","Pasture",15174170.5473732
"REF_SFM","AFM50","Permanent_crops",4408553.21373891
"REF_SFM","AFM50","Urban",2078107.07089342
"RCP2.6_MFM","AFM75","Afforestation",1103273.54795154
"RCP2.6_MFM","AFM75","Regrowth",548198.753737112
"RCP2.6_MFM","AFM75","Forest",6659870.08502997
"RCP2.6_MFM","AFM75","Energy_crops_and_plantations",5499666.60818275
"RCP2.6_MFM","AFM75","Annual_crops",4635131.15548849
"RCP2.6_MFM","AFM75","Pasture",7720098.56332691
"RCP2.6_MFM","AFM75","Permanent_crops",4247287.68185912
"RCP2.6_MFM","AFM75","Urban",2007043.00487967
"RCP2.6_SFM","AFM75","Afforestation",1103996.00930465
"RCP2.6_SFM","AFM75","Regrowth",544227.496647344
"RCP2.6_SFM","AFM75","Forest",6735099.94157714
"RCP2.6_SFM","AFM75","Energy_crops_and_plantations",5554936.8190675
"RCP2.6_SFM","AFM75","Annual_crops",4616365.91741017
"RCP2.6_SFM","AFM75","Pasture",7706197.98457791
"RCP2.6_SFM","AFM75","Permanent_crops",4250164.13869355
"RCP2.6_SFM","AFM75","Urban",2007367.71896307
"REF_MFM","AFM75","Afforestation",602774.711737644
"REF_MFM","AFM75","Regrowth",658288.501640158
"REF_MFM","AFM75","Forest",4386974.17006426
"REF_MFM","AFM75","Energy_crops_and_plantations",540002.125560517
"REF_MFM","AFM75","Annual_crops",8934479.63702783
"REF_MFM","AFM75","Pasture",15165332.1920353
"REF_MFM","AFM75","Permanent_crops",4404123.76177494
"REF_MFM","AFM75","Urban",2076749.18070633
"REF_SFM","AFM75","Afforestation",603046.935831243
"REF_SFM","AFM75","Regrowth",643955.532078858
"REF_SFM","AFM75","Forest",4505925.13464459
"REF_SFM","AFM75","Energy_crops_and_plantations",558038.840989213
"REF_SFM","AFM75","Annual_crops",8931639.0441269
"REF_SFM","AFM75","Pasture",15176547.4849811
"REF_SFM","AFM75","Permanent_crops",4410143.72200935
"REF_SFM","AFM75","Urban",2078624.84588505
"RCP2.6_MFM","AFM100","Afforestation",1103500.3828676
"RCP2.6_MFM","AFM100","Regrowth",547289.519977253
"RCP2.6_MFM","AFM100","Forest",6668272.18594029
"RCP2.6_MFM","AFM100","Energy_crops_and_plantations",5520512.67329459
"RCP2.6_MFM","AFM100","Annual_crops",4627978.32106143
"RCP2.6_MFM","AFM100","Pasture",7717439.51526229
"RCP2.6_MFM","AFM100","Permanent_crops",4250241.12583259
"RCP2.6_MFM","AFM100","Urban",2007440.05845763
"RCP2.6_SFM","AFM100","Afforestation",1104565.40347481
"RCP2.6_SFM","AFM100","Regrowth",540255.012502862
"RCP2.6_SFM","AFM100","Forest",6795891.30794141
"RCP2.6_SFM","AFM100","Energy_crops_and_plantations",5580635.26469222
"RCP2.6_SFM","AFM100","Annual_crops",4610647.25587857
"RCP2.6_SFM","AFM100","Pasture",7701697.44020191
"RCP2.6_SFM","AFM100","Permanent_crops",4253213.95577375
"RCP2.6_SFM","AFM100","Urban",2007926.43544216
"REF_MFM","AFM100","Afforestation",602829.062295555
"REF_MFM","AFM100","Regrowth",655055.907680645
"REF_MFM","AFM100","Forest",4405642.34350057
"REF_MFM","AFM100","Energy_crops_and_plantations",544868.786340513
"REF_MFM","AFM100","Annual_crops",8935119.77176765
"REF_MFM","AFM100","Pasture",15168400.2898281
"REF_MFM","AFM100","Permanent_crops",4407617.42688364
"REF_MFM","AFM100","Urban",2077241.37795983
"REF_SFM","AFM100","Afforestation",603246.351708663
"REF_SFM","AFM100","Regrowth",635693.298861306
"REF_SFM","AFM100","Forest",4584518.23259023
"REF_SFM","AFM100","Energy_crops_and_plantations",576227.120033587
"REF_SFM","AFM100","Annual_crops",8924737.18336203
"REF_SFM","AFM100","Pasture",15182679.0714648
"REF_SFM","AFM100","Permanent_crops",4414224.63004982
"REF_SFM","AFM100","Urban",2079555.26104116
