"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.000341448675197521
"RCP2.6_MFM","noAFM","EU28_Forest_net",-0.000128032889497399
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.000452571673776332
"RCP2.6_MFM","noAFM","Import_Forest",0.000668906857704472
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.000341437490795975
"RCP2.6_SFM","noAFM","EU28_Forest_net",-0.000128033890835552
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.000450139793479107
"RCP2.6_SFM","noAFM","Import_Forest",0.000678044731357888
"REF_MFM","noAFM","EU28_Energy_crops",7.91034237107565e-05
"REF_MFM","noAFM","EU28_Forest_net",-0.000269725159468736
"REF_MFM","noAFM","Import_Energy_plantations",4.85878674716859e-05
"REF_MFM","noAFM","Import_Forest",0.000427271062979084
"REF_SFM","noAFM","EU28_Energy_crops",7.92377057754182e-05
"REF_SFM","noAFM","EU28_Forest_net",-0.000269578124267811
"REF_SFM","noAFM","Import_Energy_plantations",5.13956915963142e-05
"REF_SFM","noAFM","Import_Forest",0.000439330541431991
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.000332260101155202
"RCP2.6_MFM","AFMfree","EU28_Forest_net",-0.000198069401966295
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.000406318779251758
"RCP2.6_MFM","AFMfree","Import_Forest",0.000497666612257224
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.000331961909792701
"RCP2.6_SFM","AFMfree","EU28_Forest_net",-0.000188610398961148
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.000385702183883367
"RCP2.6_SFM","AFMfree","Import_Forest",0.000492135248396726
"REF_MFM","AFMfree","EU28_Energy_crops",7.54181064941225e-05
"REF_MFM","AFMfree","EU28_Forest_net",-0.000319143361402044
"REF_MFM","AFMfree","Import_Energy_plantations",5.12088513964728e-05
"REF_MFM","AFMfree","Import_Forest",0.00028104324575253
"REF_SFM","AFMfree","EU28_Energy_crops",7.60176356462135e-05
"REF_SFM","AFMfree","EU28_Forest_net",-0.000270797077519725
"REF_SFM","AFMfree","Import_Energy_plantations",4.74448819075132e-05
"REF_SFM","AFMfree","Import_Forest",0.000294514106039112
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.000335708820500135
"RCP2.6_MFM","AFM25","EU28_Forest_net",-0.000213566954311075
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.000459819776541761
"RCP2.6_MFM","AFM25","Import_Forest",0.000487671139916011
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.000343044239406537
"RCP2.6_SFM","AFM25","EU28_Forest_net",-0.000163699656911725
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.000521108529271842
"RCP2.6_SFM","AFM25","Import_Forest",0.000595702866366498
"REF_MFM","AFM25","EU28_Energy_crops",7.61490769245674e-05
"REF_MFM","AFM25","EU28_Forest_net",-0.000290927299435481
"REF_MFM","AFM25","Import_Energy_plantations",4.8430503405499e-05
"REF_MFM","AFM25","Import_Forest",0.000292138196992462
"REF_SFM","AFM25","EU28_Energy_crops",7.81547104318913e-05
"REF_SFM","AFM25","EU28_Forest_net",-0.000208809374900087
"REF_SFM","AFM25","Import_Energy_plantations",5.49043148586971e-05
"REF_SFM","AFM25","Import_Forest",0.000311874183457402
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.000338863497951091
"RCP2.6_MFM","AFM50","EU28_Forest_net",-0.000227147836792219
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.000515585143368581
"RCP2.6_MFM","AFM50","Import_Forest",0.00051555690130652
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.000353469038431047
"RCP2.6_SFM","AFM50","EU28_Forest_net",-0.00013230716594428
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.000637718095063703
"RCP2.6_SFM","AFM50","Import_Forest",0.000905725520199348
"REF_MFM","AFM50","EU28_Energy_crops",7.72372689881714e-05
"REF_MFM","AFM50","EU28_Forest_net",-0.00027976136472903
"REF_MFM","AFM50","Import_Energy_plantations",5.39211761586284e-05
"REF_MFM","AFM50","Import_Forest",0.000289498369543541
"REF_SFM","AFM50","EU28_Energy_crops",8.3583433475285e-05
"REF_SFM","AFM50","EU28_Forest_net",-0.000186210879074283
"REF_SFM","AFM50","Import_Energy_plantations",6.15981599305531e-05
"REF_SFM","AFM50","Import_Forest",0.000596543710455086
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.000345113273269956
"RCP2.6_MFM","AFM75","EU28_Forest_net",-0.000236361339124371
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.000556180090787094
"RCP2.6_MFM","AFM75","Import_Forest",0.000659572105232307
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.00036092342143212
"RCP2.6_SFM","AFM75","EU28_Forest_net",-9.52088148060655e-05
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.000762499082797284
"RCP2.6_SFM","AFM75","Import_Forest",0.00103051029231718
"REF_MFM","AFM75","EU28_Energy_crops",7.9149084530107e-05
"REF_MFM","AFM75","EU28_Forest_net",-0.000284352544382914
"REF_MFM","AFM75","Import_Energy_plantations",5.21944043797579e-05
"REF_MFM","AFM75","Import_Forest",0.000388807184118752
"REF_SFM","AFM75","EU28_Energy_crops",9.04288035648533e-05
"REF_SFM","AFM75","EU28_Forest_net",-0.000173842725254661
"REF_SFM","AFM75","Import_Energy_plantations",9.39011409746697e-05
"REF_SFM","AFM75","Import_Forest",0.000775001587470133
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0.000348587911928225
"RCP2.6_MFM","AFM100","EU28_Forest_net",-0.000238909961848725
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0.000631078650432094
"RCP2.6_MFM","AFM100","Import_Forest",0.00066884878058738
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0.000371277572811246
"RCP2.6_SFM","AFM100","EU28_Forest_net",-5.14522936866967e-05
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0.000837921283312738
"RCP2.6_SFM","AFM100","Import_Forest",0.00130690297520179
"REF_MFM","AFM100","EU28_Energy_crops",8.18590650117111e-05
"REF_MFM","AFM100","EU28_Forest_net",-0.000285129918240731
"REF_MFM","AFM100","Import_Energy_plantations",6.29147938164581e-05
"REF_MFM","AFM100","Import_Forest",0.000451588146810108
"REF_SFM","AFM100","EU28_Energy_crops",9.61453760251576e-05
"REF_SFM","AFM100","EU28_Forest_net",-0.000134464283787233
"REF_SFM","AFM100","Import_Energy_plantations",0.000140832784855534
"REF_SFM","AFM100","Import_Forest",0.00110295418813296
