"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","Afforestation",4.45275733513369e-05
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",-0.000157138554443329
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.000341448675197521
"RCP2.6_MFM","noAFM","Annual_crops",0.000111445334473695
"RCP2.6_MFM","noAFM","Pasture",0.000768281187652322
"RCP2.6_MFM","noAFM","Permanent_crops",0.000842303155169364
"RCP2.6_MFM","noAFM","Urban",0.000215713083652512
"RCP2.6_SFM","noAFM","Afforestation",4.45258896820861e-05
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",-0.00015713045989994
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.000341437490795975
"RCP2.6_SFM","noAFM","Annual_crops",0.000111442477149888
"RCP2.6_SFM","noAFM","Pasture",0.000768242230770081
"RCP2.6_SFM","noAFM","Permanent_crops",0.000842295383679161
"RCP2.6_SFM","noAFM","Urban",0.000215708820551058
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",-0.000305116679506107
"REF_MFM","noAFM","Energy_crops_and_plantations",7.91034237107565e-05
"REF_MFM","noAFM","Annual_crops",0.000795182193832285
"REF_MFM","noAFM","Pasture",0.000858102643005735
"REF_MFM","noAFM","Permanent_crops",0.000846092576673675
"REF_MFM","noAFM","Urban",0.000227882051786271
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",-0.000304973655467347
"REF_SFM","noAFM","Energy_crops_and_plantations",7.92377057754182e-05
"REF_SFM","noAFM","Annual_crops",0.000794988514492005
"REF_SFM","noAFM","Pasture",0.000858111806138074
"REF_SFM","noAFM","Permanent_crops",0.000846097431239153
"REF_SFM","noAFM","Urban",0.000227873074553368
"RCP2.6_MFM","AFMfree","Afforestation",4.41845052611529e-05
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",-0.000229745431762523
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.000332260101155202
"RCP2.6_MFM","AFMfree","Annual_crops",0.000111911948314278
"RCP2.6_MFM","AFMfree","Pasture",0.000766383345734855
"RCP2.6_MFM","AFMfree","Permanent_crops",0.0008367287468986
"RCP2.6_MFM","AFMfree","Urban",0.000213853939599513
"RCP2.6_SFM","AFMfree","Afforestation",4.42105371510885e-05
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",-0.000219514616716164
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.000331961909792701
"RCP2.6_SFM","AFMfree","Annual_crops",0.000111616098714188
"RCP2.6_SFM","AFMfree","Pasture",0.000766942582429559
"RCP2.6_SFM","AFMfree","Permanent_crops",0.000837225089315508
"RCP2.6_SFM","AFMfree","Urban",0.000213887220859035
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",-0.00035695267232249
"REF_MFM","AFMfree","Energy_crops_and_plantations",7.54181064941225e-05
"REF_MFM","AFMfree","Annual_crops",0.000790377563735328
"REF_MFM","AFMfree","Pasture",0.000855596121331322
"REF_MFM","AFMfree","Permanent_crops",0.000840292697683881
"REF_MFM","AFMfree","Urban",0.000226242786778865
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Forest",-0.000303818745477774
"REF_SFM","AFMfree","Energy_crops_and_plantations",7.60176356462135e-05
"REF_SFM","AFMfree","Annual_crops",0.000796474998804722
"REF_SFM","AFMfree","Pasture",0.000861015712394083
"REF_SFM","AFMfree","Permanent_crops",0.000845972907940355
"REF_SFM","AFMfree","Urban",0.000228047159700875
"RCP2.6_MFM","AFM25","Afforestation",4.39937839563035e-05
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Forest",-0.000246290622440828
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",0.000335708820500135
"RCP2.6_MFM","AFM25","Annual_crops",0.000109372165984574
"RCP2.6_MFM","AFM25","Pasture",0.000763670089788697
"RCP2.6_MFM","AFM25","Permanent_crops",0.000834049967676925
"RCP2.6_MFM","AFM25","Urban",0.000213300951057652
"RCP2.6_SFM","AFM25","Afforestation",4.4232988675398e-05
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Forest",-0.000195127489337888
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",0.000343044239406537
"RCP2.6_SFM","AFM25","Annual_crops",0.000108333032863725
"RCP2.6_SFM","AFM25","Pasture",0.000764900841306704
"RCP2.6_SFM","AFM25","Permanent_crops",0.000837577941783303
"RCP2.6_SFM","AFM25","Urban",0.000214576273193623
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Forest",-0.000327801005667905
"REF_MFM","AFM25","Energy_crops_and_plantations",7.61490769245674e-05
"REF_MFM","AFM25","Annual_crops",0.000794126179928417
"REF_MFM","AFM25","Pasture",0.000857971542831215
"REF_MFM","AFM25","Permanent_crops",0.000846080700996501
"REF_MFM","AFM25","Urban",0.000226380117713965
