"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","EU_Forest_net",107.114972953426
"RCP2.6_MFM","noAFM","EU_Energy_crops",33.62441029853
"RCP2.6_MFM","noAFM","Import_Energy_plantations",7.8233409425918
"RCP2.6_MFM","noAFM","Import_Forest",83.593475412
"RCP2.6_SFM","noAFM","EU_Forest_net",107.11884256905
"RCP2.6_SFM","noAFM","EU_Energy_crops",33.62286468943
"RCP2.6_SFM","noAFM","Import_Energy_plantations",7.802335906429
"RCP2.6_SFM","noAFM","Import_Forest",83.8288809931
"REF_MFM","noAFM","EU_Forest_net",107.066899801764
"REF_MFM","noAFM","EU_Energy_crops",9.834919806057
"REF_MFM","noAFM","Import_Energy_plantations",1.0760553180415
"REF_MFM","noAFM","Import_Forest",79.14221986751
"REF_SFM","noAFM","EU_Forest_net",107.062558374362
"REF_SFM","noAFM","EU_Energy_crops",9.836049854615
"REF_SFM","noAFM","Import_Energy_plantations",1.6999616821856
"REF_SFM","noAFM","Import_Forest",77.26082499528
"RCP2.6_MFM","AFMfree","EU_Forest_net",106.427661800863
"RCP2.6_MFM","AFMfree","EU_Energy_crops",32.756214943966
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",6.8987507873414
"RCP2.6_MFM","AFMfree","Import_Forest",60.9847754127
"RCP2.6_SFM","AFMfree","EU_Forest_net",105.140173565817
"RCP2.6_SFM","AFMfree","EU_Energy_crops",32.904627581265
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",6.778858474553
"RCP2.6_SFM","AFMfree","Import_Forest",62.4470826957
"REF_MFM","AFMfree","EU_Forest_net",106.103202339474
"REF_MFM","AFMfree","EU_Energy_crops",9.394307633919
"REF_MFM","AFMfree","Import_Energy_plantations",1.480826048681
"REF_MFM","AFMfree","Import_Forest",54.73216689081
"REF_SFM","AFMfree","EU_Forest_net",100.263857376233
"REF_SFM","AFMfree","EU_Energy_crops",9.389392334522
"REF_SFM","AFMfree","Import_Energy_plantations",1.12735394888
"REF_SFM","AFMfree","Import_Forest",56.74194551541
"RCP2.6_MFM","AFM25","EU_Forest_net",106.829151861913
"RCP2.6_MFM","AFM25","EU_Energy_crops",33.544898255513
"RCP2.6_MFM","AFM25","Import_Energy_plantations",7.99773191749
"RCP2.6_MFM","AFM25","Import_Forest",65.3614730912
"RCP2.6_SFM","AFM25","EU_Forest_net",89.1462019990899
"RCP2.6_SFM","AFM25","EU_Energy_crops",34.19496427237
"RCP2.6_SFM","AFM25","Import_Energy_plantations",9.058733190316
"RCP2.6_SFM","AFM25","Import_Forest",79.0807268383
"REF_MFM","AFM25","EU_Forest_net",106.595046951546
"REF_MFM","AFM25","EU_Energy_crops",9.461366302075
"REF_MFM","AFM25","Import_Energy_plantations",1.313080642931
"REF_MFM","AFM25","Import_Forest",58.68790744756
"REF_SFM","AFM25","EU_Forest_net",87.463699031008
"REF_SFM","AFM25","EU_Energy_crops",9.725065047269
"REF_SFM","AFM25","Import_Energy_plantations",1.517541062082
"REF_SFM","AFM25","Import_Forest",70.50790527984
"RCP2.6_MFM","AFM50","EU_Forest_net",107.094587573779
"RCP2.6_MFM","AFM50","EU_Energy_crops",33.919624614198
"RCP2.6_MFM","AFM50","Import_Energy_plantations",9.03756471382
"RCP2.6_MFM","AFM50","Import_Forest",75.1246917486
"RCP2.6_SFM","AFM50","EU_Forest_net",72.951490030972
"RCP2.6_SFM","AFM50","EU_Energy_crops",35.088865758904
"RCP2.6_SFM","AFM50","Import_Energy_plantations",11.228422379076
