"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Sum",107.114972953426
"RCP2.6_SFM","noAFM","Sum",107.11884256905
"REF_MFM","noAFM","Sum",107.066899801764
"REF_SFM","noAFM","Sum",107.062558374362
"RCP2.6_MFM","AFMfree","Sum",106.427661800863
"RCP2.6_SFM","AFMfree","Sum",105.140173565817
"REF_MFM","AFMfree","Sum",106.103202339474
"REF_SFM","AFMfree","Sum",100.263857376233
"RCP2.6_MFM","AFM25","Sum",106.829151861913
"RCP2.6_SFM","AFM25","Sum",89.1462019990899
"REF_MFM","AFM25","Sum",106.595046951546
"REF_SFM","AFM25","Sum",87.463699031008
"RCP2.6_MFM","AFM50","Sum",107.094587573779
"RCP2.6_SFM","AFM50","Sum",72.951490030972
"REF_MFM","AFM50","Sum",107.029992081932
"REF_SFM","AFM50","Sum",72.079317920521
"RCP2.6_MFM","AFM75","Sum",107.392531201205
"RCP2.6_SFM","AFM75","Sum",56.298949334476
"REF_MFM","AFM75","Sum",107.336911030367
"REF_SFM","AFM75","Sum",56.228575281597
"RCP2.6_MFM","AFM100","Sum",107.534529203629
"RCP2.6_SFM","AFM100","Sum",39.417932008891
"REF_MFM","AFM100","Sum",107.464467780279
"REF_SFM","AFM100","Sum",39.356116421864
