"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Clear_cut",140.838955134308
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",25.4436260923849
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0
"RCP2.6_SFM","noAFM","Clear_cut",142.610777064092
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",25.6777171894111
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0
"REF_MFM","noAFM","Clear_cut",119.587790401096
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",37.9389258601533
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0
"REF_SFM","noAFM","Clear_cut",119.568751359096
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",37.9389358271533
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0
"RCP2.6_MFM","AFMfree","Clear_cut",99.0696474855917
"RCP2.6_MFM","AFMfree","Retention",35.2030136635763
"RCP2.6_MFM","AFMfree","Selection",19.240058896653
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0
"RCP2.6_SFM","AFMfree","Clear_cut",98.6784219797106
"RCP2.6_SFM","AFMfree","Retention",35.1577576514287
"RCP2.6_SFM","AFMfree","Selection",19.3875742890167
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0
"REF_MFM","AFMfree","Clear_cut",85.6623470022619
"REF_MFM","AFMfree","Retention",29.7728102355448
"REF_MFM","AFMfree","Selection",28.7550073560643
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0
"REF_SFM","AFMfree","Clear_cut",84.7344666479375
"REF_SFM","AFMfree","Retention",29.8804720563034
"REF_SFM","AFMfree","Selection",29.5870616707852
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0
"RCP2.6_MFM","AFM25","Clear_cut",88.442827486281
"RCP2.6_MFM","AFM25","Retention",28.6223602674051
"RCP2.6_MFM","AFM25","Selection",44.9569969745769
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0
"RCP2.6_SFM","AFM25","Clear_cut",93.0546194372815
"RCP2.6_SFM","AFM25","Retention",25.6444325205832
"RCP2.6_SFM","AFM25","Selection",15.3709468638472
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0
"REF_MFM","AFM25","Clear_cut",72.5429388464731
"REF_MFM","AFM25","Retention",26.5968259235793
"REF_MFM","AFM25","Selection",51.2290621076806
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0
"REF_SFM","AFM25","Clear_cut",74.396955134387
"REF_SFM","AFM25","Retention",24.2476659347431
"REF_SFM","AFM25","Selection",25.0517297455779
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0
"RCP2.6_MFM","AFM50","Clear_cut",73.8248313066013
"RCP2.6_MFM","AFM50","Retention",22.7309747885066
"RCP2.6_MFM","AFM50","Selection",68.4598276325981
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0
"RCP2.6_SFM","AFM50","Clear_cut",83.0006312489617
"RCP2.6_SFM","AFM50","Retention",18.0256639236842
"RCP2.6_SFM","AFM50","Selection",6.71122734970211
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",0
"REF_MFM","AFM50","Clear_cut",57.1844395862863
"REF_MFM","AFM50","Retention",22.0982459369823
"REF_MFM","AFM50","Selection",74.2657483234423
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",0
"REF_SFM","AFM50","Clear_cut",65.246800631095
"REF_SFM","AFM50","Retention",16.4323669540928
"REF_SFM","AFM50","Selection",22.6911752881722
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",0
"RCP2.6_MFM","AFM75","Clear_cut",61.0692656628665
"RCP2.6_MFM","AFM75","Retention",12.6946413684886
"RCP2.6_MFM","AFM75","Selection",94.2510567766
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",0
"RCP2.6_SFM","AFM75","Clear_cut",74.4958520391062
"RCP2.6_SFM","AFM75","Retention",8.59573255257788
"RCP2.6_SFM","AFM75","Selection",1.68819363187388
"RCP2.6_SFM","AFM75","Timber",0
"RCP2.6_SFM","AFM75","Other_management",0
"REF_MFM","AFM75","Clear_cut",45.8665227693201
"REF_MFM","AFM75","Retention",12.1457743979026
"REF_MFM","AFM75","Selection",99.3267233281923
"REF_MFM","AFM75","Timber",0
"REF_MFM","AFM75","Other_management",0
"REF_SFM","AFM75","Clear_cut",59.5862534203505
"REF_SFM","AFM75","Retention",8.64959029249653
"REF_SFM","AFM75","Selection",16.921118132379
"REF_SFM","AFM75","Timber",0
"REF_SFM","AFM75","Other_management",0
"RCP2.6_MFM","AFM100","Clear_cut",50.5764197195782
"RCP2.6_MFM","AFM100","Retention",0
"RCP2.6_MFM","AFM100","Selection",119.606954345731
"RCP2.6_MFM","AFM100","Timber",0
"RCP2.6_MFM","AFM100","Other_management",0
"RCP2.6_SFM","AFM100","Clear_cut",62.8901307902923
"RCP2.6_SFM","AFM100","Retention",0
"RCP2.6_SFM","AFM100","Selection",0.912487786803669
"RCP2.6_SFM","AFM100","Timber",0
"RCP2.6_SFM","AFM100","Other_management",0
"REF_MFM","AFM100","Clear_cut",38.7898266712584
"REF_MFM","AFM100","Retention",0
"REF_MFM","AFM100","Selection",126.895766560254
"REF_MFM","AFM100","Timber",0
"REF_MFM","AFM100","Other_management",0
"REF_SFM","AFM100","Clear_cut",54.9458603337064
"REF_SFM","AFM100","Retention",0
"REF_SFM","AFM100","Selection",9.12621078565257
"REF_SFM","AFM100","Timber",0
"REF_SFM","AFM100","Other_management",0
