"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Sum",166.282581226693
"RCP2.6_SFM","noAFM","Sum",168.288494253503
"REF_MFM","noAFM","Sum",157.526716261249
"REF_SFM","noAFM","Sum",157.507687186249
"RCP2.6_MFM","AFMfree","Sum",153.512720045821
"RCP2.6_SFM","AFMfree","Sum",153.223753920156
"REF_MFM","AFMfree","Sum",144.190164593871
"REF_SFM","AFMfree","Sum",144.202000375026
"RCP2.6_MFM","AFM25","Sum",162.022184728263
"RCP2.6_SFM","AFM25","Sum",134.069998821712
"REF_MFM","AFM25","Sum",150.368826877733
"REF_SFM","AFM25","Sum",123.696350814708
"RCP2.6_MFM","AFM50","Sum",165.015633727706
"RCP2.6_SFM","AFM50","Sum",107.737522522348
"REF_MFM","AFM50","Sum",153.548433846711
"REF_SFM","AFM50","Sum",104.37034287336
"RCP2.6_MFM","AFM75","Sum",168.014963807955
"RCP2.6_SFM","AFM75","Sum",84.779778223558
"REF_MFM","AFM75","Sum",157.339020495415
"REF_SFM","AFM75","Sum",85.156961845226
"RCP2.6_MFM","AFM100","Sum",170.183374065309
"RCP2.6_SFM","AFM100","Sum",63.802618577096
"REF_MFM","AFM100","Sum",165.685593231513
"REF_SFM","AFM100","Sum",64.072071119359
