"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Clear_cut",171.168061629308
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",25.4502433737849
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0
"RCP2.6_SFM","noAFM","Clear_cut",172.782760099092
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",25.6842648154111
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0
"REF_MFM","noAFM","Clear_cut",148.607223938096
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",37.9459493059533
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0
"REF_SFM","noAFM","Clear_cut",148.607223938096
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",37.9459493059533
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0
"RCP2.6_MFM","AFMfree","Clear_cut",129.651307118592
"RCP2.6_MFM","AFMfree","Retention",35.2030136635763
"RCP2.6_MFM","AFMfree","Selection",19.293385162653
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0
"RCP2.6_SFM","AFMfree","Clear_cut",129.181441638711
"RCP2.6_SFM","AFMfree","Retention",35.1577576514287
"RCP2.6_SFM","AFMfree","Selection",19.4321783520167
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0
"REF_MFM","AFMfree","Clear_cut",115.043274398262
"REF_MFM","AFMfree","Retention",29.7728102355448
"REF_MFM","AFMfree","Selection",28.7620308018643
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0
"REF_SFM","AFMfree","Clear_cut",114.127093294937
"REF_SFM","AFMfree","Retention",29.8804720563034
"REF_SFM","AFMfree","Selection",29.7344776047852
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0
"RCP2.6_MFM","AFM25","Clear_cut",119.006784432281
"RCP2.6_MFM","AFM25","Retention",28.6223602674051
"RCP2.6_MFM","AFM25","Selection",45.0173581305769
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0
"RCP2.6_SFM","AFM25","Clear_cut",122.817016986282
"RCP2.6_SFM","AFM25","Retention",25.6444325205832
"RCP2.6_SFM","AFM25","Selection",15.3857299388472
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0
"REF_MFM","AFM25","Clear_cut",101.737626095473
"REF_MFM","AFM25","Retention",26.5968259235793
"REF_MFM","AFM25","Selection",51.2518006136806
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0
"REF_SFM","AFM25","Clear_cut",103.290710358387
"REF_SFM","AFM25","Retention",24.2476659347431
"REF_SFM","AFM25","Selection",25.0890467715779
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0
"RCP2.6_MFM","AFM50","Clear_cut",104.469950044601
"RCP2.6_MFM","AFM50","Retention",22.7309747885066
"RCP2.6_MFM","AFM50","Selection",68.4716053735981
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0
"RCP2.6_SFM","AFM50","Clear_cut",112.385516533962
"RCP2.6_SFM","AFM50","Retention",18.0256639236842
"RCP2.6_SFM","AFM50","Selection",6.71330948490211
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",0
"REF_MFM","AFM50","Clear_cut",86.3025482682863
"REF_MFM","AFM50","Retention",22.0982459369823
"REF_MFM","AFM50","Selection",74.2747352394423
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",0
"REF_SFM","AFM50","Clear_cut",93.877130035095
"REF_SFM","AFM50","Retention",16.4323669540928
"REF_SFM","AFM50","Selection",22.6934280763722
