"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",198.558545984352,0,0
"RCP2.6_SFM","noAFM",200.447082034076,0,0
"REF_MFM","noAFM",165.860381156328,0,0
"REF_SFM","noAFM",165.8625707438,0,0
"RCP2.6_MFM","AFMfree",185.04053290326,0,0
"RCP2.6_SFM","AFMfree",184.718934277408,0,0
"REF_MFM","AFMfree",152.21324382849,0,0
"REF_SFM","AFMfree",152.220403128084,0,0
"RCP2.6_MFM","AFM25",193.928787159796,0,0
"RCP2.6_SFM","AFM25",166.501449501099,0,0
"REF_MFM","AFM25",158.482196360703,0,0
"REF_SFM","AFM25",131.940325444865,0,0
"RCP2.6_MFM","AFM50",197.34068003231,0,0
"RCP2.6_SFM","AFM50",141.339838897314,0,0
"REF_MFM","AFM50",161.751257152142,0,0
"REF_SFM","AFM50",112.978101581162,0,0
"RCP2.6_MFM","AFM75",200.762852341003,0,0
"RCP2.6_SFM","AFM75",119.615733950896,0,0
"REF_MFM","AFM75",165.669340391354,0,0
"REF_SFM","AFM75",94.673304088913,0,0
"RCP2.6_MFM","AFM100",203.580629796835,0,0
"RCP2.6_SFM","AFM100",100.116904413939,0,0
"REF_MFM","AFM100",174.242827079178,0,0
"REF_SFM","AFM100",73.818409747699,0,0
