"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Afforestation",29.613489412
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Annual_crops",19.7351629618572
"RCP2.6_MFM","noAFM","Energy_crops",32.275964757659
"RCP2.6_MFM","noAFM","Forest_net",166.282581226693
"RCP2.6_MFM","noAFM","Permanent_crops",62.262402588
"RCP2.6_MFM","noAFM","Pasture",83.9495371439926
"RCP2.6_MFM","noAFM","Urban",17.7620054856958
"RCP2.6_SFM","noAFM","Afforestation",29.613489412
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Annual_crops",19.8084489893742
"RCP2.6_SFM","noAFM","Energy_crops",32.158587780573
"RCP2.6_SFM","noAFM","Forest_net",168.288494253503
"RCP2.6_SFM","noAFM","Permanent_crops",62.262402588
"RCP2.6_SFM","noAFM","Pasture",84.0011182798674
"RCP2.6_SFM","noAFM","Urban",17.7620054856958
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Annual_crops",65.4467400832159
"REF_MFM","noAFM","Energy_crops",8.333664895079
"REF_MFM","noAFM","Forest_net",157.526716261249
"REF_MFM","noAFM","Permanent_crops",62.262401814
"REF_MFM","noAFM","Pasture",99.4371551340269
"REF_MFM","noAFM","Urban",17.7620054856958
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Annual_crops",65.4364551895746
"REF_SFM","noAFM","Energy_crops",8.354883557551
"REF_SFM","noAFM","Forest_net",157.507687186249
"REF_SFM","noAFM","Permanent_crops",62.262401814
"REF_SFM","noAFM","Pasture",99.4310497069955
"REF_SFM","noAFM","Urban",17.7620054856958
"RCP2.6_MFM","AFMfree","Afforestation",29.613489412
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Annual_crops",20.0635528935472
"RCP2.6_MFM","AFMfree","Energy_crops",31.527812857439
"RCP2.6_MFM","AFMfree","Forest_net",153.512720045821
"RCP2.6_MFM","AFMfree","Permanent_crops",62.262402588
"RCP2.6_MFM","AFMfree","Pasture",84.3046886822674
"RCP2.6_MFM","AFMfree","Urban",17.7620054856958
"RCP2.6_SFM","AFMfree","Afforestation",29.613489412
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Annual_crops",20.0614450253472
"RCP2.6_SFM","AFMfree","Energy_crops",31.495180357252
"RCP2.6_SFM","AFMfree","Forest_net",153.223753920156
"RCP2.6_SFM","AFMfree","Permanent_crops",62.262402588
"RCP2.6_SFM","AFMfree","Pasture",84.3309889533177
"RCP2.6_SFM","AFMfree","Urban",17.7620054856958
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Annual_crops",65.6265126189984
"REF_MFM","AFMfree","Energy_crops",8.023079234619
"REF_MFM","AFMfree","Forest_net",144.190164593871
"REF_MFM","AFMfree","Permanent_crops",62.262401814
"REF_MFM","AFMfree","Pasture",99.5358669760103
"REF_MFM","AFMfree","Urban",17.7620054856958
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Annual_crops",65.6390434609196
"REF_SFM","AFMfree","Energy_crops",8.018402753058
"REF_SFM","AFMfree","Forest_net",144.202000375026
"REF_SFM","AFMfree","Permanent_crops",62.262401814
"REF_SFM","AFMfree","Pasture",99.534931385603
"REF_SFM","AFMfree","Urban",17.7620054856958
"RCP2.6_MFM","AFM25","Afforestation",29.613489412
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Annual_crops",19.9339182106673
"RCP2.6_MFM","AFM25","Energy_crops",31.906602431533
"RCP2.6_MFM","AFM25","Forest_net",162.022184728263
"RCP2.6_MFM","AFM25","Permanent_crops",62.262402588
"RCP2.6_MFM","AFM25","Pasture",84.0883268593118
"RCP2.6_MFM","AFM25","Urban",17.7620054856958
"RCP2.6_SFM","AFM25","Afforestation",29.613489412
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Annual_crops",19.7258582126383
"RCP2.6_SFM","AFM25","Energy_crops",32.431450679387
"RCP2.6_SFM","AFM25","Forest_net",134.069998821712
"RCP2.6_SFM","AFM25","Permanent_crops",62.262402588
"RCP2.6_SFM","AFM25","Pasture",83.8308053693095
"RCP2.6_SFM","AFM25","Urban",17.7620054856958
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Annual_crops",65.5690784801444
"REF_MFM","AFM25","Energy_crops",8.11336948297
"REF_MFM","AFM25","Forest_net",150.368826877733
"REF_MFM","AFM25","Permanent_crops",62.262401814
"REF_MFM","AFM25","Pasture",99.5122807403915
"REF_MFM","AFM25","Urban",17.7620054856958
"REF_SFM","AFM25","Afforestation",0
"REF_SFM","AFM25","Regrowth",0
"REF_SFM","AFM25","Annual_crops",65.5100577812857
"REF_SFM","AFM25","Energy_crops",8.243974630157
"REF_SFM","AFM25","Forest_net",123.696350814708
"REF_SFM","AFM25","Permanent_crops",62.262401814
"REF_SFM","AFM25","Pasture",99.4610466865199
"REF_SFM","AFM25","Urban",17.7620054856958
"RCP2.6_MFM","AFM50","Afforestation",29.613489412
"RCP2.6_MFM","AFM50","Regrowth",0
"RCP2.6_MFM","AFM50","Annual_crops",19.7499972158683
"RCP2.6_MFM","AFM50","Energy_crops",32.325046304604
"RCP2.6_MFM","AFM50","Forest_net",165.015633727706
"RCP2.6_MFM","AFM50","Permanent_crops",62.262402588
"RCP2.6_MFM","AFM50","Pasture",83.9089506954883
"RCP2.6_MFM","AFM50","Urban",17.7620054856958
"RCP2.6_SFM","AFM50","Afforestation",29.613489412
"RCP2.6_SFM","AFM50","Regrowth",0
"RCP2.6_SFM","AFM50","Annual_crops",19.1807581477662
"RCP2.6_SFM","AFM50","Energy_crops",33.602316374966
"RCP2.6_SFM","AFM50","Forest_net",107.737522522348
"RCP2.6_SFM","AFM50","Permanent_crops",62.262402588
"RCP2.6_SFM","AFM50","Pasture",83.3709896953675
"RCP2.6_SFM","AFM50","Urban",17.7620054856958
"REF_MFM","AFM50","Afforestation",0
"REF_MFM","AFM50","Regrowth",0
"REF_MFM","AFM50","Annual_crops",65.5163901385773
"REF_MFM","AFM50","Energy_crops",8.202823305431
"REF_MFM","AFM50","Forest_net",153.548433846711
"REF_MFM","AFM50","Permanent_crops",62.262401814
"REF_MFM","AFM50","Pasture",99.4829041039969
"REF_MFM","AFM50","Urban",17.7620054856958
"REF_SFM","AFM50","Afforestation",0
"REF_SFM","AFM50","Regrowth",0
"REF_SFM","AFM50","Annual_crops",65.2947982750826
"REF_SFM","AFM50","Energy_crops",8.607758707802
