"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",213.343487622763,0,0
"RCP2.6_SFM","noAFM",213.32951193773,0,0
"REF_MFM","noAFM",211.467021635324,0,0
"REF_SFM","noAFM",211.517625048227,0,0
"RCP2.6_MFM","AFMfree",212.016688081435,0,0
"RCP2.6_SFM","AFMfree",211.696308621442,0,0
"REF_MFM","AFMfree",210.516820064304,0,0
"REF_SFM","AFMfree",209.62706046981,0,0
"RCP2.6_MFM","AFM25",212.07324235289,0,0
"RCP2.6_SFM","AFM25",210.679806587975,0,0
"REF_MFM","AFM25",211.132888038546,0,0
"REF_SFM","AFM25",208.377899785343,0,0
"RCP2.6_MFM","AFM50",213.286880796705,0,0
"RCP2.6_SFM","AFM50",209.568172389103,0,0
"REF_MFM","AFM50",210.136951555084,0,0
"REF_SFM","AFM50",207.387757164452,0,0
"RCP2.6_MFM","AFM75",213.272654166118,0,0
"RCP2.6_SFM","AFM75",207.95411063324,0,0
"REF_MFM","AFM75",210.40441870172,0,0
"REF_SFM","AFM75",205.147917711325,0,0
"RCP2.6_MFM","AFM100",213.729415565447,0,0
"RCP2.6_SFM","AFM100",207.736737712043,0,0
"REF_MFM","AFM100",211.040036161486,0,0
"REF_SFM","AFM100",205.569522183345,0,0
