"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Clear_cut",107.239296304209
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",19.511386025696
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",41.1326445057685
"RCP2.6_SFM","noAFM","Clear_cut",108.478644150109
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",19.353591248901
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",40.5288465422759
"REF_MFM","noAFM","Clear_cut",92.808361870992
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",30.219021372246
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",41.514454050403
"REF_SFM","noAFM","Clear_cut",92.789322828992
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",30.219031339246
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",42.0858967451605
"RCP2.6_MFM","AFMfree","Clear_cut",77.084911550939
"RCP2.6_MFM","AFMfree","Retention",27.63466218318
"RCP2.6_MFM","AFMfree","Selection",15.341026845575
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",45.9943972028475
"RCP2.6_SFM","AFMfree","Clear_cut",76.827014644707
"RCP2.6_SFM","AFMfree","Retention",27.609318656211
"RCP2.6_SFM","AFMfree","Selection",15.503902714848
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",63.3315395564651
"REF_MFM","AFMfree","Clear_cut",68.178739221142
"REF_MFM","AFMfree","Retention",23.491507521111
"REF_MFM","AFMfree","Selection",23.764760898435
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",45.7098416992812
"REF_SFM","AFMfree","Clear_cut",67.5052315697161
"REF_SFM","AFMfree","Retention",23.571607802795
"REF_SFM","AFMfree","Selection",24.303060240052
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",59.5174165166624
"RCP2.6_MFM","AFM25","Clear_cut",66.292804491007
"RCP2.6_MFM","AFM25","Retention",22.346165784299
"RCP2.6_MFM","AFM25","Selection",35.619409774884
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",43.4274969335912
"RCP2.6_SFM","AFM25","Clear_cut",74.541585343321
"RCP2.6_SFM","AFM25","Retention",21.673692291777
"RCP2.6_SFM","AFM25","Selection",12.262771367306
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",61.8472896532487
"REF_MFM","AFM25","Clear_cut",56.106210839862
"REF_MFM","AFM25","Retention",20.852842234069
"REF_MFM","AFM25","Selection",41.908676733549
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",43.9996211268937
"REF_SFM","AFM25","Clear_cut",61.459204562247
"REF_SFM","AFM25","Retention",20.852185291447
"REF_SFM","AFM25","Selection",20.863968396468
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",58.5983456695774
"RCP2.6_MFM","AFM50","Clear_cut",53.747951797607
"RCP2.6_MFM","AFM50","Retention",17.660230422336
"RCP2.6_MFM","AFM50","Selection",54.464944982673
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",41.8041736351547
"RCP2.6_SFM","AFM50","Clear_cut",69.612814608307
"RCP2.6_SFM","AFM50","Retention",15.93061508527
"RCP2.6_SFM","AFM50","Selection",5.29853594312
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",60.8134113170039
"REF_MFM","AFM50","Clear_cut",43.1182989775421
"REF_MFM","AFM50","Retention",17.299571736968
"REF_MFM","AFM50","Selection",60.368772597244
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",42.5615651451759
"REF_SFM","AFM50","Clear_cut",55.554018936431
"REF_SFM","AFM50","Retention",14.953559826563
"REF_SFM","AFM50","Selection",18.747211250062
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",56.8644840142334
"RCP2.6_MFM","AFM75","Clear_cut",42.731383254697
"RCP2.6_MFM","AFM75","Retention",9.843681585941
"RCP2.6_MFM","AFM75","Selection",74.857272112103
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",40.3447513548939
"RCP2.6_SFM","AFM75","Clear_cut",63.174348751607
"RCP2.6_SFM","AFM75","Retention",7.816427296459
"RCP2.6_SFM","AFM75","Selection",1.269748677329
"RCP2.6_SFM","AFM75","Timber",0
"RCP2.6_SFM","AFM75","Other_management",59.5454638789438
"REF_MFM","AFM75","Clear_cut",32.98451581288
"REF_MFM","AFM75","Retention",9.550052113206
"REF_MFM","AFM75","Selection",80.282400576875
"REF_MFM","AFM75","Timber",0
"REF_MFM","AFM75","Other_management",40.9971379346982
"REF_SFM","AFM75","Clear_cut",50.820244964337
"REF_SFM","AFM75","Retention",7.935187526049
"REF_SFM","AFM75","Selection",13.98522845824
"REF_SFM","AFM75","Timber",0
"REF_SFM","AFM75","Other_management",55.9679817744062
"RCP2.6_MFM","AFM100","Clear_cut",33.474742151367
"RCP2.6_MFM","AFM100","Retention",0
"RCP2.6_MFM","AFM100","Selection",94.905518426051
"RCP2.6_MFM","AFM100","Timber",0
"RCP2.6_MFM","AFM100","Other_management",39.0571592818249
"RCP2.6_SFM","AFM100","Clear_cut",52.896542155121
"RCP2.6_SFM","AFM100","Retention",0
"RCP2.6_SFM","AFM100","Selection",0.707973511392
"RCP2.6_SFM","AFM100","Timber",0
"RCP2.6_SFM","AFM100","Other_management",58.7140724318004
"REF_MFM","AFM100","Clear_cut",25.525780567715
"REF_MFM","AFM100","Retention",0
"REF_MFM","AFM100","Selection",101.585341199805
"REF_MFM","AFM100","Timber",0
"REF_MFM","AFM100","Other_management",38.6286494381454
"REF_SFM","AFM100","Clear_cut",46.510568998881
"REF_SFM","AFM100","Retention",0
"REF_SFM","AFM100","Selection",7.441044001424
"REF_SFM","AFM100","Timber",0
"REF_SFM","AFM100","Other_management",54.0007323982854
