"Group","Scenario","Values","lower95","upper95"
"RCP2.6_MFM","noAFM",187.628272538685,0,0
"RCP2.6_SFM","noAFM",187.624726719173,0,0
"REF_MFM","noAFM",155.885691787327,0,0
"REF_SFM","noAFM",155.943043631724,0,0
"RCP2.6_MFM","AFMfree",188.603208639059,0,0
"RCP2.6_SFM","AFMfree",187.527811484539,0,0
"REF_MFM","AFMfree",159.339757086548,0,0
"REF_SFM","AFMfree",155.087106203395,0,0
"RCP2.6_MFM","AFM25",189.499156740965,0,0
"RCP2.6_SFM","AFM25",171.733313354265,0,0
"REF_MFM","AFM25",160.217866312206,0,0
"REF_SFM","AFM25",141.601291297908,0,0
"RCP2.6_MFM","AFM50",188.671029963791,0,0
"RCP2.6_SFM","AFM50",154.851674673967,0,0
"REF_MFM","AFM50",160.644065623207,0,0
"REF_SFM","AFM50",125.688351115488,0,0
"RCP2.6_MFM","AFM75",188.807271196689,0,0
"RCP2.6_SFM","AFM75",136.133008195613,0,0
"REF_MFM","AFM75",159.91440474827,0,0
"REF_SFM","AFM75",108.334139336605,0,0
"RCP2.6_MFM","AFM100",188.349563235657,0,0
"RCP2.6_SFM","AFM100",118.349443597579,0,0
"REF_MFM","AFM100",160.088656185363,0,0
"REF_SFM","AFM100",90.2620281864091,0,0
